,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,2694025000.0,11621842000.0,5875042000.0,1961837000.0,375821000.0,,
Repurchase Of Capital Stock,-413461000.0,-90873000.0,0.0,-774602000.0,-1056521000.0,,
Repayment Of Debt,-332106000.0,-351316000.0,-333985000.0,-334530000.0,-351137000.0,,
Issuance Of Debt,15233000.0,41586000.0,,42919000.0,7763000.0,28800000.0,
Issuance Of Capital Stock,14865000.0,,27000.0,,23693000.0,14000.0,0.0
Capital Expenditure,-466855000.0,-1630202000.0,-1043944000.0,-1088203000.0,-828151000.0,,
End Cash Position,17991875000.0,18638200000.0,18307699000.0,16404025000.0,19118354000.0,,
Beginning Cash Position,18638228000.0,18307699000.0,16404025000.0,19118354000.0,28595666000.0,,
Effect Of Exchange Rate Changes,-185421000.0,-150864000.0,-622114000.0,-843360000.0,-1069962000.0,,
Changes In Cash,-460932000.0,481331000.0,2525788000.0,-1870969000.0,-8407350000.0,,
Financing Cash Flow,-1204516000.0,-10736314000.0,-3223205000.0,-3959748000.0,-8826875000.0,,
Cash Flow From Continuing Financing Activities,-1204516000.0,-10736314000.0,-3223205000.0,-3959748000.0,-8826875000.0,,
Net Other Financing Charges,-487523000.0,-645954000.0,-807502000.0,-812975000.0,-839235000.0,,
Cash Dividends Paid,-1524000.0,-9689757000.0,-2081745000.0,-2080560000.0,-6611438000.0,,
Common Stock Dividend Paid,-1524000.0,,,,-6611438000.0,,
Net Common Stock Issuance,-398596000.0,-90873000.0,27000.0,-774602000.0,-1032828000.0,,
Common Stock Payments,-413461000.0,-90873000.0,0.0,-774602000.0,-1056521000.0,,
Common Stock Issuance,14865000.0,,27000.0,,23693000.0,14000.0,0.0
Net Issuance Payments Of Debt,-316873000.0,-309730000.0,-333985000.0,-291611000.0,-343374000.0,,
Net Long Term Debt Issuance,-316873000.0,-309730000.0,-333985000.0,-291611000.0,-343374000.0,,
Long Term Debt Payments,-332106000.0,-351316000.0,-333985000.0,-334530000.0,-351137000.0,,
Long Term Debt Issuance,15233000.0,41586000.0,,42919000.0,7763000.0,28800000.0,
Investing Cash Flow,-2417296000.0,-2034399000.0,-1169993000.0,-961261000.0,-784447000.0,,
Cash Flow From Continuing Investing Activities,-2417296000.0,-2034399000.0,-1169993000.0,-961261000.0,-784447000.0,,
Net Other Investing Changes,,-513000.0,4979000.0,1115000.0,619000.0,-176000.0,
Net Investment Purchase And Sale,32978000.0,-172644000.0,-411267000.0,91166000.0,51245000.0,,
Sale Of Investment,32978000.0,,,,51245000.0,,32060000.0
Purchase Of Investment,,-172644000.0,-411267000.0,,,-11436000.0,0.0
Net Business Purchase And Sale,-2017094000.0,-293211000.0,241824000.0,57000.0,-40270000.0,,
Sale Of Business,,,,100000.0,,6927000.0,
Purchase Of Business,-2017094000.0,,,,-40270000.0,,-186000.0
Net PPE Purchase And Sale,-433180000.0,-1568031000.0,-1005529000.0,-1053599000.0,-796041000.0,,
Sale Of PPE,33675000.0,62171000.0,38415000.0,34604000.0,32110000.0,,
Purchase Of PPE,-466855000.0,-1630202000.0,-1043944000.0,-1088203000.0,-828151000.0,,
Operating Cash Flow,3160880000.0,13252044000.0,6918986000.0,3050040000.0,1203972000.0,,
Cash Flow From Continuing Operating Activities,3160880000.0,13252044000.0,6918986000.0,3050040000.0,1203972000.0,,
Taxes Refund Paid,-1299197000.0,-442044000.0,-1048162000.0,-1036137000.0,-1686915000.0,,
Interest Received Cfo,433721000.0,369322000.0,336721000.0,282825000.0,366632000.0,,
Interest Paid Cfo,-201521000.0,-279727000.0,-227871000.0,-141796000.0,-237506000.0,,
Dividend Received Cfo,81115000.0,16808000.0,14980000.0,2459000.0,4553000.0,,
Change In Working Capital,-3584681000.0,4300511000.0,693606000.0,-2265212000.0,-4344905000.0,,
Change In Payables And Accrued Expense,-3314921000.0,5392801000.0,311273000.0,-2931174000.0,-4045100000.0,,
Change In Payable,-3314921000.0,5392801000.0,311273000.0,-2931174000.0,-4045100000.0,,
Change In Inventory,-242706000.0,4971000.0,519315000.0,457223000.0,-1012409000.0,,
Change In Receivables,-27054000.0,-1097261000.0,-136982000.0,208739000.0,712604000.0,,
Other Non Cash Items,158033000.0,296476000.0,181331000.0,119403000.0,21090000.0,,
Stock Based Compensation,93123000.0,148094000.0,99999000.0,107141000.0,98966000.0,,
Provisionand Write Offof Assets,51624000.0,246378000.0,75245000.0,80482000.0,119095000.0,,
