,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,-162792056.482829,-216780713.90527,1959955.2,-148716896.0,-163048076.612349,
Tax Rate For Calcs,0.212089,0.236408,0.0672,0.184,0.216561,
Normalized EBITDA,7918207000.0,9512628000.0,7503795000.0,6498220000.0,7908808000.0,
Total Unusual Items,-767564000.0,-916977000.0,29166000.0,-808244000.0,-752896000.0,
Total Unusual Items Excluding Goodwill,-767564000.0,-916977000.0,29166000.0,-808244000.0,-752896000.0,
Net Income From Continuing Operation Net Minority Interest,3768263000.0,4346604000.0,4745128000.0,2717722000.0,3693946000.0,
Reconciled Depreciation,1603492000.0,1817099000.0,1599347000.0,1702403000.0,1713251000.0,
Reconciled Cost Of Revenue,10881613000.0,11752240000.0,10120005000.0,10046123000.0,10945732000.0,
EBITDA,7150643000.0,8595651000.0,7532961000.0,5689976000.0,7155912000.0,
EBIT,5547151000.0,6778552000.0,5933614000.0,3987573000.0,5442661000.0,
Net Interest Income,-168855000.0,-235482000.0,-162352000.0,-136632000.0,-23283000.0,
Interest Expense,615670000.0,846765000.0,719722000.0,567897000.0,586316000.0,
Interest Income,566591000.0,-47956000.0,389716000.0,249477000.0,564187000.0,
Normalized Income,4373034943.517171,5046800286.09473,4717921955.2,3377249104.0,4283793923.387651,
Net Income From Continuing And Discontinued Operation,3768263000.0,4346604000.0,4745128000.0,2717722000.0,3693946000.0,
Total Expenses,16596228000.0,17415093000.0,15576498000.0,15867732000.0,16867573000.0,
Total Operating Income As Reported,5988366000.0,6903297000.0,6305277000.0,4399118000.0,5710008000.0,
Diluted Average Shares,15674970882.0,15666800000.0,,15673137255.0,15739011504.0,15809800000.0
Basic Average Shares,15610037283.0,15600500000.0,,15601159587.0,15665589483.0,15728200000.0
Diluted EPS,0.2404,0.28,,0.1734,0.2347,0.31
Basic EPS,0.2414,0.28,,0.1742,0.2358,0.31
Diluted NI Availto Com Stockholders,3768263000.0,4346604000.0,4745128000.0,2717722000.0,3693946000.0,
Net Income Common Stockholders,3768263000.0,4346604000.0,4745128000.0,2717722000.0,3693946000.0,
Net Income,3768263000.0,,,,,
Minority Interests,-117304000.0,-182861000.0,-118592000.0,-72844000.0,-110703000.0,
Net Income Including Noncontrolling Interests,3885567000.0,4529465000.0,4863720000.0,2790566000.0,3804649000.0,
Net Income Continuous Operations,3885567000.0,4529465000.0,4863720000.0,2790566000.0,3804649000.0,
Tax Provision,1045914000.0,1402322000.0,350172000.0,629110000.0,1051696000.0,
Pretax Income,4931481000.0,5931787000.0,5213892000.0,3419676000.0,4856345000.0,
Other Income Expense,-767916000.0,-1225304000.0,105480000.0,-666154000.0,-750177000.0,
Other Non Operating Income Expenses,,,81706000.0,147547000.0,,
Special Income Charges,76161000.0,-177343000.0,836367000.0,-50140000.0,13416000.0,
Gain On Sale Of Ppe,28451000.0,13252000.0,9870000.0,29488000.0,32590000.0,
Gain On Sale Of Business,,-22467000.0,884467000.0,,,
Other Special Charges,-10822000.0,64089000.0,19414000.0,28590000.0,-2193000.0,
Restructuring And Mergern Acquisition,-36888000.0,104039000.0,38556000.0,51038000.0,21367000.0,
Earnings From Equity Interest,-352000.0,113930000.0,-5392000.0,-5457000.0,2719000.0,
Gain On Sale Of Security,-843725000.0,-739634000.0,-807201000.0,-758104000.0,-766312000.0,
Net Non Operating Interest Income Expense,-168855000.0,-235482000.0,-162352000.0,-136632000.0,-23283000.0,
Total Other Finance Cost,119776000.0,-659239000.0,-167654000.0,-181788000.0,1154000.0,
Interest Expense Non Operating,615670000.0,846765000.0,719722000.0,567897000.0,586316000.0,
Interest Income Non Operating,566591000.0,-47956000.0,389716000.0,249477000.0,564187000.0,
Operating Income,5868252000.0,7392573000.0,5270764000.0,4222462000.0,5629805000.0,
Operating Expense,5714615000.0,5662853000.0,5456493000.0,5821609000.0,5921841000.0,
Other Operating Expenses,-574571000.0,-1076723000.0,-475553000.0,-408820000.0,-582608000.0,
Other Taxes,54775000.0,49330000.0,97461000.0,50829000.0,68980000.0,
Selling General And Administration,6234411000.0,6690246000.0,5834585000.0,6179600000.0,6435469000.0,
Selling And Marketing Expense,4774229000.0,5097551000.0,4479574000.0,4753253000.0,4946622000.0,
General And Administrative Expense,1460182000.0,1592695000.0,1355011000.0,1426347000.0,1488847000.0,
Other Gand A,1460182000.0,1592695000.0,1355011000.0,1426347000.0,1488847000.0,
Gross Profit,11582867000.0,13055426000.0,10727257000.0,10044071000.0,11551646000.0,
Cost Of Revenue,10881613000.0,11752240000.0,10120005000.0,10046123000.0,10945732000.0,
Total Revenue,22464480000.0,24807666000.0,20847262000.0,20090194000.0,22497378000.0,
Excise Taxes,7125037000.0,7751287000.0,6626253000.0,6247115000.0,6940245000.0,
Operating Revenue,33633409000.0,37028601000.0,31023012000.0,29647661000.0,33653426000.0,
