,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-1383120.0,,19065840.0,-32732140.0,521936.604681,-25671020.0
Tax Rate For Calcs,0.34,,0.34,0.34,0.023036,0.34
Normalized EBITDA,77419000.0,,2279000.0,94850000.0,147000000.0,305861000.0
Total Unusual Items,-4068000.0,,56076000.0,-96271000.0,22657000.0,-75503000.0
Total Unusual Items Excluding Goodwill,-4068000.0,,56076000.0,-96271000.0,22657000.0,-75503000.0
Net Income From Continuing Operation Net Minority Interest,2511000.0,,-1093000.0,-19625000.0,97457000.0,232851000.0
Reconciled Depreciation,785000.0,,16199000.0,9408000.0,41106000.0,27915000.0
Reconciled Cost Of Revenue,174339000.0,,100109000.0,79488000.0,277323000.0,165481000.0
EBITDA,73351000.0,,58355000.0,-1421000.0,169657000.0,230358000.0
EBIT,72566000.0,,42156000.0,-10829000.0,128551000.0,202443000.0
Net Interest Income,2991000.0,,-72458000.0,20536000.0,-24331000.0,30693000.0
Interest Expense,89738000.0,,33180000.0,33299000.0,28796000.0,-2224000.0
Interest Income,93525000.0,,3727000.0,55340000.0,9672000.0,-18834000.0
Normalized Income,5195880.0,,-38103160.0,43913860.0,75321936.604681,282682980.0
Net Income From Continuing And Discontinued Operation,2511000.0,,-1093000.0,-19625000.0,97457000.0,232851000.0
Total Expenses,207153000.0,,144292000.0,121506000.0,351144000.0,223510000.0
Rent Expense Supplemental,150000.0,,91000.0,224000.0,747000.0,26050000.0
Diluted Average Shares,99615457.0,102683444.0,102683444.0,99615457.0,102683444.0,
Basic Average Shares,99615457.0,102683444.0,102683444.0,99615457.0,102683444.0,
Diluted EPS,0.0252,0.5968,-0.0581,-0.197,0.9491,
Basic EPS,0.0252,0.5968,-0.0581,-0.197,0.9491,
Diluted NI Availto Com Stockholders,2511000.0,,-1093000.0,-19625000.0,97457000.0,232851000.0
Net Income Common Stockholders,2511000.0,,-1093000.0,-19625000.0,97457000.0,232851000.0
Net Income,2511000.0,,-1093000.0,-19625000.0,97457000.0,232851000.0
Net Income Including Noncontrolling Interests,2511000.0,,-1093000.0,-19625000.0,97457000.0,232851000.0
Net Income Continuous Operations,2511000.0,,-1093000.0,-19625000.0,97457000.0,232851000.0
Tax Provision,-19683000.0,,10069000.0,-24503000.0,2298000.0,-28184000.0
Pretax Income,-17172000.0,,8976000.0,-44128000.0,99755000.0,204667000.0
Other Income Expense,-4068000.0,,55430000.0,-96271000.0,22657000.0,-74999000.0
Other Non Operating Income Expenses,,,-646000.0,,,
Special Income Charges,,,957000.0,-2980000.0,-1446000.0,-9852000.0
Gain On Sale Of Ppe,,,-577000.0,-5000.0,-161000.0,-6509000.0
Other Special Charges,,,-1557000.0,-28000.0,-145000.0,1484000.0
Restructuring And Mergern Acquisition,,,23000.0,3003000.0,1430000.0,1859000.0
Gain On Sale Of Security,-4068000.0,,55119000.0,-96271000.0,24103000.0,-65651000.0
Net Non Operating Interest Income Expense,2991000.0,,-72458000.0,20536000.0,-24331000.0,30693000.0
Total Other Finance Cost,796000.0,,43005000.0,1505000.0,5207000.0,-47303000.0
Interest Expense Non Operating,89738000.0,,33180000.0,33299000.0,28796000.0,-2224000.0
Interest Income Non Operating,93525000.0,,3727000.0,55340000.0,9672000.0,-18834000.0
Operating Income,-16095000.0,,26007000.0,31608000.0,101430000.0,248973000.0
Operating Expense,32814000.0,,28751000.0,33198000.0,33250000.0,30499000.0
Other Operating Expenses,3705000.0,,-257000.0,3741000.0,1487000.0,10431000.0
Other Taxes,,,-282000.0,495000.0,3041000.0,
Provision For Doubtful Accounts,,,-202000.0,-17000.0,16000.0,
Depreciation Amortization Depletion Income Statement,785000.0,,767000.0,588000.0,535000.0,385000.0
Depreciation And Amortization In Income Statement,785000.0,,767000.0,588000.0,535000.0,385000.0
Selling General And Administration,28324000.0,,28725000.0,28869000.0,28171000.0,23837000.0
Selling And Marketing Expense,13883000.0,,15409000.0,10651000.0,13579000.0,8671000.0
General And Administrative Expense,14441000.0,,13316000.0,18218000.0,14592000.0,15166000.0
Other Gand A,3786000.0,,3872000.0,5545000.0,4136000.0,-1460000.0
Insurance And Claims,,,138000.0,216000.0,215000.0,
Rent And Landing Fees,150000.0,,91000.0,224000.0,238000.0,126000.0
Salaries And Wages,10505000.0,,9215000.0,12449000.0,10003000.0,17168000.0
Gross Profit,16719000.0,,54758000.0,64806000.0,134680000.0,279472000.0
Cost Of Revenue,174339000.0,,115541000.0,88308000.0,317894000.0,193011000.0
Total Revenue,191058000.0,,170299000.0,153114000.0,452574000.0,472483000.0
Operating Revenue,197473000.0,,173506000.0,155677000.0,459627000.0,479388000.0
