,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,344760.0,571100.0,-386962.942869,-677960.0,-716380.0,,
Tax Rate For Calcs,0.34,0.05,0.157558,0.34,0.34,,
Normalized EBITDA,262865000.0,,204551000.0,208681000.0,90312000.0,155248000.0,
Total Unusual Items,1014000.0,,-2456000.0,-1994000.0,-2107000.0,-2777000.0,
Total Unusual Items Excluding Goodwill,1014000.0,,-2456000.0,-1994000.0,-2107000.0,-2777000.0,
Net Income From Continuing Operation Net Minority Interest,197253000.0,,87892000.0,112362000.0,2201000.0,57396000.0,
Reconciled Depreciation,64269000.0,,68416000.0,62563000.0,69542000.0,60112000.0,
Reconciled Cost Of Revenue,622570000.0,,498571000.0,532002000.0,749056000.0,543067000.0,
EBITDA,263879000.0,,202095000.0,206687000.0,88205000.0,152471000.0,
EBIT,199610000.0,,133679000.0,144124000.0,18663000.0,92359000.0,
Net Interest Income,-31757000.0,,-32298000.0,-38243000.0,-38572000.0,-39404000.0,
Interest Expense,29704000.0,,30460000.0,39835000.0,43942000.0,41950000.0,
Interest Income,1374000.0,,2132000.0,937000.0,1691000.0,1748000.0,
Normalized Income,196583760.0,160451100.0,89961037.057131,113678040.0,3591620.0,,
Net Income From Continuing And Discontinued Operation,197253000.0,,87892000.0,112362000.0,2201000.0,57396000.0,
Total Expenses,1144088000.0,,994479000.0,960538000.0,1138786000.0,972675000.0,
Rent Expense Supplemental,,,,,1525000.0,3030000.0,3359000.0
Diluted Average Shares,,692020258.0,691682523.0,689745735.0,,686439967.0,686312207.0
Basic Average Shares,,677810777.0,677630594.0,676654881.0,,675920696.0,675920697.0
Diluted EPS,,,0.1232,0.1546,,0.0793,0.0331
Basic EPS,,,0.1232,0.1579,,0.0807,0.0331
Diluted NI Availto Com Stockholders,197253000.0,,41843000.0,112362000.0,2201000.0,57396000.0,
Net Income Common Stockholders,197253000.0,,41843000.0,112362000.0,2201000.0,57396000.0,
Otherunder Preferred Stock Dividend,0.0,,46049000.0,0.0,0.0,0.0,
Preferred Stock Dividends,,,,,,,12317000.0
Net Income,197253000.0,,87892000.0,112362000.0,2201000.0,57396000.0,
Minority Interests,2000.0,,936000.0,-58000.0,148000.0,143000.0,
Net Income Including Noncontrolling Interests,197251000.0,,86956000.0,112420000.0,2053000.0,57253000.0,
Net Income Continuous Operations,197251000.0,,86956000.0,112420000.0,2053000.0,57253000.0,
Tax Provision,-27345000.0,,16263000.0,-8131000.0,-27332000.0,-6844000.0,
Pretax Income,169906000.0,,103219000.0,104289000.0,-25279000.0,50409000.0,
Special Income Charges,1014000.0,,-2456000.0,-1994000.0,-2107000.0,-2777000.0,
Other Special Charges,6800000.0,,,1994000.0,-1366000.0,-2437000.0,-7281000.0
Write Off,,,2456000.0,,3473000.0,5214000.0,4052000.0
Net Non Operating Interest Income Expense,-31757000.0,,-32298000.0,-38243000.0,-38572000.0,-39404000.0,
Total Other Finance Cost,3427000.0,,3970000.0,-655000.0,-3679000.0,-798000.0,
Interest Expense Non Operating,29704000.0,,30460000.0,39835000.0,43942000.0,41950000.0,
Interest Income Non Operating,1374000.0,,2132000.0,937000.0,1691000.0,1748000.0,
Operating Income,111140000.0,,106881000.0,131948000.0,-16375000.0,64928000.0,
Operating Expense,521518000.0,,495908000.0,428536000.0,389730000.0,429608000.0,
Other Operating Expenses,41946000.0,,40697000.0,17009000.0,45336000.0,22398000.0,
Depreciation And Amortization In Income Statement,35689000.0,,40445000.0,34610000.0,43409000.0,34426000.0,
Amortization,24828000.0,,28119000.0,21628000.0,20290000.0,19414000.0,
Depreciation Income Statement,10861000.0,,12326000.0,12982000.0,23119000.0,15012000.0,
Selling General And Administration,321540000.0,,313952000.0,271961000.0,252007000.0,268767000.0,
Selling And Marketing Expense,292266000.0,,286433000.0,246890000.0,226925000.0,241321000.0,
General And Administrative Expense,29274000.0,,27519000.0,25071000.0,25082000.0,27446000.0,
Rent And Landing Fees,,,,,1525000.0,3030000.0,3359000.0
Gross Profit,632658000.0,,602789000.0,560484000.0,373355000.0,494536000.0,
Cost Of Revenue,622570000.0,,498571000.0,532002000.0,749056000.0,543067000.0,
Total Revenue,1255228000.0,,1101360000.0,1092486000.0,1122411000.0,1037603000.0,
Operating Revenue,1255228000.0,,1101360000.0,1092486000.0,1122411000.0,1037603000.0,
