,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,-391696000.0,166827000.0,327895000.0,321504000.0,-346026000.0,,
Repayment Of Debt,-716303000.0,-3091349000.0,-3384259000.0,-1405917000.0,-1832990000.0,,
Issuance Of Debt,176000000.0,3250000000.0,2006764000.0,0.0,7974140000.0,,
Capital Expenditure,-466547000.0,-172963000.0,-187040000.0,-143715000.0,-35152000.0,,
End Cash Position,3826127000.0,4479368000.0,4907414000.0,6131027000.0,7200549000.0,,
Beginning Cash Position,4479368000.0,4907414000.0,6131027000.0,7200549000.0,5281323000.0,,
Changes In Cash,-653241000.0,-428046000.0,-1223613000.0,-1069522000.0,1919226000.0,,
Financing Cash Flow,-400917000.0,-11117000.0,-1575249000.0,-1438509000.0,6590210000.0,,
Net Other Financing Charges,,-24755000.0,-64231000.0,73008000.0,,,
Cash Dividends Paid,8548000.0,-89327000.0,-61408000.0,-99648000.0,0.0,,
Common Stock Dividend Paid,8548000.0,-89327000.0,-61408000.0,-99648000.0,0.0,,
Net Issuance Payments Of Debt,-540303000.0,158651000.0,-1377495000.0,-1405917000.0,6141150000.0,,
Net Long Term Debt Issuance,-540303000.0,158651000.0,-1377495000.0,-1405917000.0,6141150000.0,,
Long Term Debt Payments,-716303000.0,-3091349000.0,-3384259000.0,-1405917000.0,-1832990000.0,,
Long Term Debt Issuance,176000000.0,3250000000.0,2006764000.0,0.0,7974140000.0,,
Investing Cash Flow,-327175000.0,-756719000.0,-163299000.0,-96232000.0,-4354111000.0,,
Net Other Investing Changes,-3500000.0,-26506000.0,-96184000.0,86465000.0,-29166000.0,,
Dividends Received Cfi,96758000.0,89074000.0,45341000.0,947000.0,93092000.0,,
Net Investment Purchase And Sale,62763000.0,-587304000.0,-4978000.0,-28820000.0,-3901684000.0,,
Sale Of Investment,,63516000.0,,,,0.0,0.0
Purchase Of Investment,126279000.0,-650820000.0,,,-4473542000.0,-14398000.0,0.0
Net Business Purchase And Sale,-16744000.0,-63516000.0,74189000.0,-11109000.0,,-57939000.0,
Sale Of Business,63516000.0,-63516000.0,63516000.0,0.0,,0.0,
Purchase Of Business,-80260000.0,0.0,10673000.0,-11109000.0,,-57939000.0,
Net PPE Purchase And Sale,-466452000.0,-168467000.0,-181667000.0,-143715000.0,21000.0,,
Sale Of PPE,95000.0,4496000.0,,,,0.0,
Purchase Of PPE,-466547000.0,-172963000.0,-187040000.0,-143715000.0,-35152000.0,,
Operating Cash Flow,74851000.0,339790000.0,514935000.0,465219000.0,-310874000.0,,
Taxes Refund Paid,-47836000.0,-42705000.0,-87472000.0,-74499000.0,-33581000.0,,
Interest Paid Cfo,-693889000.0,-474322000.0,-787424000.0,-374038000.0,-420714000.0,,
Change In Working Capital,-252657000.0,49908000.0,92517000.0,-5938000.0,31641000.0,,
Change In Other Current Liabilities,-215929000.0,307283000.0,-152309000.0,123053000.0,-311292000.0,,
Change In Other Current Assets,31745000.0,-33527000.0,111393000.0,27073000.0,336871000.0,,
Change In Payable,157093000.0,153807000.0,-44193000.0,-232668000.0,19606000.0,,
Change In Receivables,-225566000.0,-377655000.0,177626000.0,76604000.0,-13544000.0,,
Other Non Cash Items,3290063000.0,-1624736000.0,1109599000.0,515837000.0,943508000.0,,
Provisionand Write Offof Assets,345001000.0,15159000.0,-58447000.0,1622000.0,-24881000.0,,
Depreciation And Amortization,104742000.0,465553000.0,521747000.0,458196000.0,113194000.0,,
Amortization Cash Flow,,78702000.0,144710000.0,67724000.0,51429000.0,8133000.0,
Depreciation,395878000.0,386851000.0,377037000.0,390472000.0,137592000.0,,
Pension And Employee Benefit Expense,-262388000.0,194523000.0,97462000.0,61781000.0,-10086000.0,,
Gain Loss On Investment Securities,-265976000.0,90932000.0,325030000.0,-229214000.0,196067000.0,,
Gain Loss On Sale Of PPE,-23839000.0,-1438000.0,,,-31509000.0,2783000.0,
Gain Loss On Sale Of Business,,,,-1433000.0,,,
Net Income From Continuing Operations,625633000.0,-368326000.0,-634503000.0,259382000.0,-407631000.0,,
