,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-1299677200.0,-1099085020.0,-1189898340.0,-1097873940.0,-1497861500.0,,
Tax Rate For Calcs,0.34,0.34,0.34,0.34,0.34,,
Total Unusual Items,-3822580000.0,-3232603000.0,-3499701000.0,-3229041000.0,-4405475000.0,,
Total Unusual Items Excluding Goodwill,-3822580000.0,-3232603000.0,-3499701000.0,-3229041000.0,-4405475000.0,,
Net Income From Continuing Operation Net Minority Interest,5239936000.0,2237301000.0,2782083000.0,3438804000.0,4366370000.0,,
Reconciled Depreciation,1606252000.0,1508013000.0,1406452000.0,1457559000.0,1085042000.0,,
Net Interest Income,27723470000.0,25322953000.0,24196415000.0,23767880000.0,27126841000.0,,
Interest Expense,57718998000.0,59444112000.0,53336067000.0,47952209000.0,44577982000.0,,
Interest Income,85442468000.0,84767065000.0,77532482000.0,71720089000.0,71704823000.0,,
Normalized Income,7762838800.0,4370818980.0,5091885660.0,5569971060.0,7273983500.0,,
Net Income From Continuing And Discontinued Operation,5239936000.0,2237301000.0,2782083000.0,3438804000.0,4366370000.0,,
Diluted Average Shares,,5709057927.0,5709024632.0,5709128303.0,,5708679618.0,5708696148.0
Basic Average Shares,,5709057927.0,5709024632.0,5709128303.0,,5708679618.0,5708696148.0
Diluted EPS,,0.39,0.49,0.6,,0.92,1.52
Basic EPS,,0.39,0.49,0.6,,0.92,1.52
Diluted NI Availto Com Stockholders,5239936000.0,2237301000.0,2782083000.0,3438804000.0,4366370000.0,,
Net Income Common Stockholders,5239936000.0,2237301000.0,2782083000.0,3438804000.0,4366370000.0,,
Net Income,5239936000.0,2237301000.0,2782083000.0,3438804000.0,4366370000.0,,
Minority Interests,-775143000.0,-769442000.0,-800179000.0,-739050000.0,-773884000.0,,
Net Income Including Noncontrolling Interests,6015079000.0,3006743000.0,3582262000.0,4177854000.0,5140254000.0,,
Net Income Continuous Operations,6015079000.0,3006743000.0,3582262000.0,4177854000.0,5140254000.0,,
Tax Provision,-2974188000.0,-2077368000.0,-2220731000.0,-3896015000.0,-2000073000.0,,
Pretax Income,3040891000.0,929375000.0,1361531000.0,281839000.0,3140181000.0,,
Special Income Charges,-3822580000.0,-3232603000.0,-3499701000.0,-3229041000.0,-4405475000.0,,
Other Special Charges,3822580000.0,3232603000.0,3499701000.0,3229041000.0,4405475000.0,,
Gain On Sale Of Security,3748898000.0,-965429000.0,-768520000.0,-1092249000.0,1666391000.0,,
Operating Expense,19250374000.0,15269449000.0,15983523000.0,14720312000.0,15964399000.0,,
Other Operating Expenses,6879421000.0,4520469000.0,4221735000.0,3791278000.0,4748455000.0,,
Depreciation And Amortization In Income Statement,1606252000.0,1508013000.0,1406452000.0,1457559000.0,1085042000.0,,
Amortization,709009000.0,693102000.0,670294000.0,637163000.0,617055000.0,,
Depreciation Income Statement,897243000.0,814911000.0,736158000.0,820396000.0,467987000.0,,
Selling General And Administration,2806186000.0,1987921000.0,2010164000.0,1928860000.0,2208440000.0,,
Selling And Marketing Expense,282174000.0,219172000.0,207485000.0,164607000.0,228541000.0,,
General And Administrative Expense,2524012000.0,1768749000.0,1802679000.0,1764253000.0,1979899000.0,,
Insurance And Claims,149587000.0,144144000.0,138155000.0,131041000.0,130376000.0,,
Rent And Landing Fees,-58235000.0,132712000.0,57457000.0,70952000.0,82838000.0,,
Total Revenue,41015625000.0,35419525000.0,34677579000.0,36028512000.0,37606967000.0,,
Operating Revenue,41015625000.0,35419525000.0,34677579000.0,36028512000.0,37606967000.0,,
