,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-24100807000.0,-1211047000.0,36877747000.0,-85730361000.0,8208887000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,-222621000.0,-125993000.0,
Repayment Of Debt,-38946314000.0,-33833203000.0,-31491112000.0,-20147636000.0,-22538521000.0,
Issuance Of Debt,52823963000.0,38006528000.0,46077281000.0,27620377000.0,22643834000.0,
Capital Expenditure,-4248473000.0,-2026948000.0,-2886742000.0,-2468305000.0,-2045747000.0,
End Cash Position,193516834000.0,225625971000.0,222829387000.0,171220729000.0,208023801000.0,
Beginning Cash Position,225625971000.0,222829387000.0,171220729000.0,208023801000.0,212869406000.0,
Effect Of Exchange Rate Changes,112381000.0,-28030000.0,-596000.0,-172089000.0,-106326000.0,
Changes In Cash,-32221518000.0,2824614000.0,51609254000.0,-36630983000.0,-4739279000.0,
Financing Cash Flow,-3313703000.0,-8922838000.0,5879811000.0,-5358119000.0,-5282853000.0,
Cash Flow From Continuing Financing Activities,-3313703000.0,-8922838000.0,5879811000.0,-5358119000.0,-5282853000.0,
Net Other Financing Charges,-16927000.0,-46353000.0,-133368000.0,-54644000.0,-55561000.0,
Interest Paid Cff,-17174425000.0,-13049810000.0,-8572990000.0,-12553595000.0,-5206612000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,0.0,
Net Common Stock Issuance,0.0,0.0,0.0,-222621000.0,-125993000.0,
Common Stock Payments,0.0,0.0,0.0,-222621000.0,-125993000.0,
Net Issuance Payments Of Debt,13877649000.0,4173325000.0,14586169000.0,7472741000.0,105313000.0,
Net Long Term Debt Issuance,13877649000.0,4173325000.0,14586169000.0,7472741000.0,105313000.0,
Long Term Debt Payments,-38946314000.0,-33833203000.0,-31491112000.0,-20147636000.0,-22538521000.0,
Long Term Debt Issuance,52823963000.0,38006528000.0,46077281000.0,27620377000.0,22643834000.0,
Investing Cash Flow,-9055481000.0,10931551000.0,5964954000.0,51989192000.0,-9711060000.0,
Cash Flow From Continuing Investing Activities,-9055481000.0,10931551000.0,5964954000.0,51989192000.0,-9711060000.0,
Net Other Investing Changes,389630000.0,332719000.0,254321000.0,143395000.0,177966000.0,
Interest Received Cfi,13172501000.0,16747065000.0,10937362000.0,10589302000.0,4303438000.0,
Dividends Received Cfi,118205000.0,0.0,282987000.0,0.0,187199000.0,
Net Investment Purchase And Sale,-18952042000.0,-4340185000.0,-2914208000.0,43564085000.0,-12405333000.0,
Sale Of Investment,57270238000.0,60364165000.0,43987577000.0,71827850000.0,20994389000.0,
Purchase Of Investment,-76222280000.0,-64704350000.0,-46901785000.0,-28263765000.0,-33399722000.0,
Net Business Purchase And Sale,0.0,0.0,,,0.0,0.0
Purchase Of Business,0.0,0.0,,,0.0,0.0
Net Intangibles Purchase And Sale,-2746356000.0,-1322158000.0,-1856399000.0,-683330000.0,-1673913000.0,
Purchase Of Intangibles,-2746356000.0,-1322158000.0,-1856399000.0,-683330000.0,-1673913000.0,
Net PPE Purchase And Sale,-1037419000.0,-485890000.0,-739109000.0,-1624260000.0,-300417000.0,
Sale Of PPE,464698000.0,218900000.0,291234000.0,160715000.0,71417000.0,
Purchase Of PPE,-1502117000.0,-704790000.0,-1030343000.0,-1784975000.0,-371834000.0,
Operating Cash Flow,-19852334000.0,815901000.0,39764489000.0,-83262056000.0,10254634000.0,
Cash Flow From Continuing Operating Activities,-19852333000.0,815900000.0,39764489000.0,-83262056000.0,10254634000.0,
Taxes Refund Paid,-1653669000.0,-1462032000.0,-1715123000.0,-2805975000.0,-1999971000.0,
Interest Received Cfo,32724051000.0,30348810000.0,29166530000.0,27671436000.0,27855583000.0,
Interest Paid Cfo,-29960597000.0,-28884125000.0,-25180530000.0,-22002203000.0,-20614988000.0,
Change In Working Capital,-47411544000.0,-23101142000.0,10724710000.0,-111979283000.0,-8751540000.0,
Change In Other Working Capital,48163643000.0,37719632000.0,59928616000.0,-80880288000.0,62370250000.0,
Change In Other Current Liabilities,16308023000.0,10987492000.0,19036749000.0,15267988000.0,438865000.0,
Change In Other Current Assets,-6917072000.0,-4764940000.0,-19905183000.0,-1328869000.0,-12550414000.0,
Other Non Cash Items,11848784000.0,10981576000.0,13143369000.0,11422247000.0,-8551000.0,
Asset Impairment Charge,1252708000.0,-97379000.0,118380000.0,-343606000.0,237269000.0,
Depreciation Amortization Depletion,1809476000.0,1755648000.0,1827158000.0,1670985000.0,1756363000.0,
Depreciation And Amortization,1809476000.0,1755648000.0,1827158000.0,1670985000.0,1756363000.0,
Amortization Cash Flow,1169553000.0,1142244000.0,1173741000.0,1132254000.0,1118658000.0,
Amortization Of Intangibles,1169553000.0,1142244000.0,1173741000.0,1132254000.0,1118658000.0,
Depreciation,639923000.0,613404000.0,653417000.0,538731000.0,637705000.0,
Operating Gains Losses,-852007000.0,-497326000.0,-342366000.0,-413402000.0,-445528000.0,
Earnings Losses From Equity Investments,-826228000.0,-453671000.0,-494830000.0,-387898000.0,-227540000.0,
Gain Loss On Investment Securities,139695000.0,-71824000.0,180280000.0,-148813000.0,-236231000.0,
Net Foreign Currency Exchange Gain Loss,-112381000.0,28030000.0,596000.0,172089000.0,106326000.0,
Gain Loss On Sale Of PPE,11028000.0,19185000.0,93036000.0,5575000.0,-94306000.0,
Gain Loss On Sale Of Business,-24051000.0,0.0,-72491000.0,20782000.0,-3380000.0,
Net Income From Continuing Operations,5751918000.0,4880344000.0,4329404000.0,6062918000.0,3295146000.0,
