,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1128215000.0,1174672000.0,175217000.0,1338399000.0,1385233000.0
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,0.0
End Cash Position,8855104000.0,7075552000.0,4909552000.0,7789875000.0,5485828000.0
Beginning Cash Position,6107286000.0,4909552000.0,7789875000.0,5485828000.0,4286950000.0
Changes In Cash,2747818000.0,2166000000.0,-2880323000.0,2304047000.0,1198878000.0
Financing Cash Flow,0.0,-2000.0,-4503789000.0,-3000.0,-2699945000.0
Cash Dividends Paid,0.0,-2000.0,-4503789000.0,-3000.0,-2699945000.0
Common Stock Dividend Paid,0.0,-2000.0,-4503789000.0,-3000.0,-2699945000.0
Net Common Stock Issuance,0.0,0.0,0.0,0.0,0.0
Common Stock Payments,0.0,0.0,0.0,0.0,0.0
Investing Cash Flow,1619603000.0,991330000.0,1448249000.0,965651000.0,2513590000.0
Net Other Investing Changes,-39000.0,0.0,-15000.0,-71000.0,
Dividends Received Cfi,1473897000.0,991330000.0,1448264000.0,965722000.0,2513628000.0
Net Investment Purchase And Sale,0.0,,,0.0,0.0
Sale Of Investment,0.0,,,,
Purchase Of Investment,0.0,,,0.0,0.0
Operating Cash Flow,1128215000.0,1174672000.0,175217000.0,1338399000.0,1385233000.0
Taxes Refund Paid,-157972000.0,-151945000.0,-1162070000.0,,
Change In Working Capital,94764000.0,11993000.0,51640000.0,349657000.0,281629000.0
Change In Other Current Liabilities,-40710000.0,-38939000.0,122175000.0,271891000.0,432976000.0
Change In Other Current Assets,133000.0,265000.0,-6484000.0,-603000.0,-3391000.0
Change In Payable,,,,109769000.0,265019000.0
Change In Receivables,135341000.0,50667000.0,-64051000.0,-31400000.0,-147956000.0
Other Non Cash Items,241000.0,93087000.0,785000.0,234000.0,-38177000.0
Provisionand Write Offof Assets,-6315000.0,,,2729000.0,
Deferred Tax,395277000.0,441092000.0,384875000.0,1556980000.0,-735192000.0
Pension And Employee Benefit Expense,,,1241000.0,,
Gain Loss On Investment Securities,,,92851000.0,-172640000.0,-11443000.0
Net Income From Continuing Operations,2302803000.0,2415912000.0,1964269000.0,2285167000.0,2251796000.0
