,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-115965315.637792,,271384060.227054,128444520.0,673750460.271762,6616483.430772
Tax Rate For Calcs,0.325745,,0.314593,0.34,0.363702,0.347596
Normalized EBITDA,768732000.0,,1843126000.0,1729521000.0,-1935080000.0,1792180000.0
Total Unusual Items,-356000000.0,,862651000.0,377778000.0,1852479000.0,19035000.0
Total Unusual Items Excluding Goodwill,-356000000.0,,862651000.0,377778000.0,1852479000.0,19035000.0
Net Income From Continuing Operation Net Minority Interest,-587702000.0,,1049055000.0,829174000.0,-1028148000.0,718725000.0
Reconciled Depreciation,729672000.0,,549041000.0,462054000.0,225868000.0,539533000.0
Reconciled Cost Of Revenue,2338740000.0,,2076033000.0,1943860000.0,1514032000.0,1683888000.0
EBITDA,412732000.0,,2705777000.0,2107299000.0,-82601000.0,1811215000.0
EBIT,-316940000.0,,2156736000.0,1645245000.0,-308469000.0,1271682000.0
Net Interest Income,-630243000.0,,-611217000.0,-367347000.0,-2151360000.0,-180091000.0
Interest Expense,554692000.0,,626178000.0,390448000.0,1307359000.0,181257000.0
Interest Income,0.0,,35434000.0,35528000.0,71619000.0,0.0
Normalized Income,-347667315.637792,,457788060.227054,579840520.0,-2206876539.728238,706306483.430772
Net Income From Continuing And Discontinued Operation,-587702000.0,,1049055000.0,829174000.0,-1028148000.0,718725000.0
Total Expenses,2224658000.0,,2245119000.0,2254530000.0,2411372000.0,966406000.0
Rent Expense Supplemental,21231000.0,,18116000.0,25379000.0,20883000.0,18308000.0
Diluted Average Shares,,,466545456.0,466544888.0,,291022160.0
Basic Average Shares,,,464181096.0,464180528.0,,291022160.0
Diluted EPS,,,2.26,1.78,,2.44
Basic EPS,,,2.26,1.79,,2.44
Diluted NI Availto Com Stockholders,-587702000.0,,1049055000.0,829174000.0,-1028148000.0,718725000.0
Net Income Common Stockholders,-587702000.0,,1049055000.0,829174000.0,-1028148000.0,718725000.0
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0,0.0
Net Income,-587702000.0,,1049055000.0,829174000.0,-1028148000.0,718725000.0
Minority Interests,,,0.0,0.0,0.0,7327000.0
Net Income Including Noncontrolling Interests,-587702000.0,,1049055000.0,829174000.0,-1028148000.0,711398000.0
Net Income Continuous Operations,-587702000.0,,1049055000.0,829174000.0,-1028148000.0,711398000.0
Tax Provision,-283930000.0,,481503000.0,425623000.0,-587680000.0,379027000.0
Pretax Income,-871632000.0,,1530558000.0,1254797000.0,-1615828000.0,1090425000.0
Special Income Charges,-355844000.0,,-14494000.0,-59232000.0,678539000.0,-68777000.0
Other Special Charges,284377000.0,,,,,
Write Off,,,,,28705000.0,0.0
Restructuring And Mergern Acquisition,71467000.0,,14494000.0,59232000.0,13206000.0,68777000.0
Net Non Operating Interest Income Expense,-630243000.0,,-611217000.0,-367347000.0,-2151360000.0,-180091000.0
Total Other Finance Cost,75551000.0,,20473000.0,12427000.0,915620000.0,-1166000.0
Interest Expense Non Operating,554692000.0,,626178000.0,390448000.0,1307359000.0,181257000.0
Interest Income Non Operating,0.0,,35434000.0,35528000.0,71619000.0,0.0
Operating Income,323004000.0,,897252000.0,619789000.0,-461615000.0,1227236000.0
Operating Expense,-114082000.0,,169086000.0,310670000.0,897340000.0,-717482000.0
Other Operating Expenses,-237961000.0,318190000.0,50267000.0,162806000.0,69187000.0,
Depreciation And Amortization In Income Statement,18199000.0,,14925000.0,14697000.0,11679000.0,9802000.0
Depreciation Income Statement,18199000.0,,14925000.0,14697000.0,11679000.0,9802000.0
Selling General And Administration,62511000.0,,35082000.0,47279000.0,29033000.0,24315000.0
General And Administrative Expense,62511000.0,,35082000.0,47279000.0,29033000.0,24315000.0
Gross Profit,208922000.0,,1066338000.0,930459000.0,435725000.0,509754000.0
Cost Of Revenue,2338740000.0,,2076033000.0,1943860000.0,1514032000.0,1683888000.0
Total Revenue,2547662000.0,,3142371000.0,2874319000.0,1949757000.0,2193642000.0
Operating Revenue,2547662000.0,,3142371000.0,2874319000.0,1949757000.0,2193642000.0
