,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-115600000.0,61200000.0,356339622.641509,462254901.960784,-1353083203.265698,
Tax Rate For Calcs,0.34,0.34,0.264151,0.22549,0.293192,
Normalized EBITDA,2465000000.0,-87000000.0,1012000000.0,1206000000.0,-473000000.0,
Total Unusual Items,-340000000.0,180000000.0,1349000000.0,2050000000.0,-4615000000.0,
Total Unusual Items Excluding Goodwill,-340000000.0,180000000.0,1349000000.0,2050000000.0,-4615000000.0,
Net Income From Continuing Operation Net Minority Interest,-10285000000.0,-26000000.0,-267000000.0,698000000.0,-5646000000.0,
Reconciled Depreciation,1160000000.0,1085000000.0,1237000000.0,1191000000.0,1140000000.0,
Reconciled Cost Of Revenue,16653000000.0,16863000000.0,17495000000.0,18150000000.0,18005000000.0,
EBITDA,2125000000.0,93000000.0,2361000000.0,3256000000.0,-5088000000.0,
EBIT,965000000.0,-992000000.0,1124000000.0,2065000000.0,-6228000000.0,
Net Interest Income,-587000000.0,-1215000000.0,-1375000000.0,-1335000000.0,-1700000000.0,
Interest Expense,1505000000.0,1599000000.0,1654000000.0,1249000000.0,2101000000.0,
Interest Income,143000000.0,384000000.0,279000000.0,210000000.0,197000000.0,
Normalized Income,-10060600000.0,-144800000.0,-1259660377.358491,-889745098.039216,-2384083203.265698,
Net Income From Continuing And Discontinued Operation,-10285000000.0,-26000000.0,-267000000.0,698000000.0,-5646000000.0,
Total Expenses,15988000000.0,18097000000.0,18815000000.0,19459000000.0,18669000000.0,
Total Operating Income As Reported,,-1687000000.0,-504000000.0,99000000.0,,1019000000.0
Diluted Average Shares,796968412.0,796968412.0,796968412.0,796968412.0,,796968412.0
Basic Average Shares,796968412.0,796968412.0,796968412.0,796968412.0,,796968412.0
Diluted EPS,-12.903899,-0.032624,-0.33502,0.875819,,-0.74407
Basic EPS,-12.903899,-0.032624,-0.33502,0.875819,,-0.74407
Diluted NI Availto Com Stockholders,-10285000000.0,-26000000.0,-267000000.0,698000000.0,-5646000000.0,
Net Income Common Stockholders,-10285000000.0,-26000000.0,-267000000.0,698000000.0,-5646000000.0,
Net Income,-10285000000.0,-26000000.0,-267000000.0,698000000.0,-5646000000.0,
Minority Interests,744000000.0,148000000.0,123000000.0,66000000.0,240000000.0,
Net Income Including Noncontrolling Interests,-11029000000.0,-174000000.0,-390000000.0,632000000.0,-5887000000.0,
Net Income Continuous Operations,-11029000000.0,-174000000.0,-390000000.0,632000000.0,-5887000000.0,
Tax Provision,10489000000.0,-2417000000.0,-140000000.0,184000000.0,-2442000000.0,
Pretax Income,-540000000.0,-2591000000.0,-530000000.0,816000000.0,-8329000000.0,
Other Income Expense,-127000000.0,-578000000.0,1803000000.0,2150000000.0,-7114000000.0,
Other Non Operating Income Expenses,,-741000000.0,440000000.0,107000000.0,-2497000000.0,-5000000.0
Special Income Charges,-104000000.0,-131000000.0,2000000.0,-2000000.0,114000000.0,
Other Special Charges,,,-20000000.0,,,42000000.0
Write Off,-6000000.0,131000000.0,-2000000.0,2000000.0,-6000000.0,
Restructuring And Mergern Acquisition,,,4000000.0,,,20000000.0
Earnings From Equity Interest,19000000.0,-17000000.0,14000000.0,-7000000.0,-2000000.0,
Gain On Sale Of Security,-236000000.0,311000000.0,1347000000.0,2052000000.0,-4729000000.0,
Net Non Operating Interest Income Expense,-587000000.0,-1215000000.0,-1375000000.0,-1335000000.0,-1700000000.0,
Total Other Finance Cost,-775000000.0,,392000000.0,296000000.0,-204000000.0,411000000.0
Interest Expense Non Operating,1505000000.0,1599000000.0,1654000000.0,1249000000.0,2101000000.0,
Interest Income Non Operating,143000000.0,384000000.0,279000000.0,210000000.0,197000000.0,
Operating Income,113000000.0,-798000000.0,-958000000.0,1000000.0,483000000.0,
Operating Expense,-665000000.0,1234000000.0,1320000000.0,1309000000.0,664000000.0,
Other Operating Expenses,,,-222000000.0,,1974000000.0,455000000.0
Other Taxes,,,-297000000.0,,,-66000000.0
Research And Development,105000000.0,121000000.0,108000000.0,126000000.0,143000000.0,
Selling General And Administration,1174000000.0,1113000000.0,1212000000.0,1183000000.0,1314000000.0,
Selling And Marketing Expense,506000000.0,527000000.0,514000000.0,520000000.0,555000000.0,
General And Administrative Expense,668000000.0,586000000.0,698000000.0,663000000.0,759000000.0,
Other Gand A,668000000.0,586000000.0,698000000.0,663000000.0,759000000.0,
Gross Profit,-552000000.0,436000000.0,362000000.0,1310000000.0,1147000000.0,
Cost Of Revenue,16653000000.0,16863000000.0,17495000000.0,18150000000.0,18005000000.0,
Total Revenue,16101000000.0,17299000000.0,17857000000.0,19460000000.0,19152000000.0,
Operating Revenue,16101000000.0,17299000000.0,17857000000.0,19460000000.0,19152000000.0,
