,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.34,0.262652,0.30516,0.131642,0.34,,
Total Unusual Items,,,,,0.0,,
Total Unusual Items Excluding Goodwill,,,,,0.0,,
Net Income From Continuing Operation Net Minority Interest,718435000.0,365601000.0,407087000.0,222790000.0,345779000.0,,
Reconciled Depreciation,102321000.0,103190000.0,100958000.0,100911000.0,171836000.0,,
Net Interest Income,1505370000.0,1665929000.0,1733583000.0,1468498000.0,1205095000.0,,
Interest Expense,4289958000.0,4156393000.0,3620705000.0,3274572000.0,3223234000.0,,
Interest Income,5795328000.0,5822322000.0,5354288000.0,4743070000.0,4428329000.0,,
Normalized Income,718435000.0,365601000.0,407087000.0,222790000.0,345779000.0,,
Net Income From Continuing And Discontinued Operation,718435000.0,365601000.0,407087000.0,222790000.0,345779000.0,,
Diluted Average Shares,,408974477.0,408974477.0,408974477.0,,408974477.0,408974477.0
Basic Average Shares,,408974477.0,408974477.0,408974477.0,,408974477.0,408974477.0
Diluted EPS,,0.89,1.0,0.54,,0.06,0.6
Basic EPS,,0.89,1.0,0.54,,0.06,0.6
Diluted NI Availto Com Stockholders,718435000.0,365601000.0,407087000.0,222790000.0,283863000.0,,
Net Income Common Stockholders,718435000.0,365601000.0,407087000.0,222790000.0,283863000.0,,
Net Income,718435000.0,365601000.0,407087000.0,222790000.0,283863000.0,,
Minority Interests,-161000.0,-173000.0,-143000.0,-161000.0,-123000.0,,
Net Income Including Noncontrolling Interests,718596000.0,365774000.0,407230000.0,222951000.0,283986000.0,,
Net Income Extraordinary,,,,,-61916000.0,,
Net Income Continuous Operations,718596000.0,365774000.0,407230000.0,222951000.0,345902000.0,,
Tax Provision,-44109000.0,130293000.0,178847000.0,33799000.0,-2251000.0,,
Pretax Income,674487000.0,496067000.0,586077000.0,256750000.0,343651000.0,,
Special Income Charges,,,,,0.0,,
Gain On Sale Of Security,8269000.0,-7459000.0,9509000.0,13211000.0,,-26312000.0,
Operating Expense,1112431000.0,1697736000.0,1653432000.0,1574921000.0,1218377000.0,,
Other Operating Expenses,-232403000.0,466985000.0,443214000.0,414623000.0,182687000.0,,
Depreciation And Amortization In Income Statement,102321000.0,103190000.0,100958000.0,100911000.0,79300000.0,,
Depreciation Income Statement,102321000.0,103190000.0,100958000.0,100911000.0,79300000.0,,
Selling General And Administration,464396000.0,441022000.0,414609000.0,403606000.0,315973000.0,,
Selling And Marketing Expense,47772000.0,47847000.0,38253000.0,40737000.0,50300000.0,,
General And Administrative Expense,416624000.0,393175000.0,376356000.0,362869000.0,265673000.0,,
Rent And Landing Fees,16368000.0,6737000.0,19979000.0,16266000.0,42616000.0,,
Total Revenue,1960642000.0,2273567000.0,2328337000.0,2271367000.0,1862562000.0,,
Operating Revenue,1960642000.0,2273567000.0,2328337000.0,2271367000.0,1862562000.0,,
