,2025-11-30,2025-05-31,2025-02-28,2024-11-30,2024-08-31
Free Cash Flow,184660000.0,-876810000.0,1569833000.0,-86424000.0,-245158000.0
Repurchase Of Capital Stock,,,0.0,0.0,0.0
Repayment Of Debt,-894849000.0,-627489000.0,-847790000.0,-971622000.0,-197639000.0
Issuance Of Debt,1731964000.0,630597000.0,155843000.0,600400000.0,1165347000.0
Capital Expenditure,,-119855000.0,,,-66467000.0
End Cash Position,2531821000.0,1624333000.0,2530204000.0,1831080000.0,2648388000.0
Beginning Cash Position,1907191000.0,2530204000.0,1831080000.0,2648388000.0,2027370000.0
Effect Of Exchange Rate Changes,7019000.0,-5155000.0,-9772000.0,109859000.0,-25946000.0
Changes In Cash,617611000.0,-900716000.0,708896000.0,-927167000.0,646964000.0
Financing Cash Flow,786549000.0,-39740000.0,-734232000.0,-413512000.0,926071000.0
Net Other Financing Charges,-2925000.0,,,,
Cash Dividends Paid,-25000000.0,-25000000.0,-25000000.0,-25000000.0,-25000000.0
Common Stock Dividend Paid,,-25000000.0,-25000000.0,,
Net Common Stock Issuance,,,0.0,0.0,0.0
Common Stock Payments,,,0.0,0.0,0.0
Net Issuance Payments Of Debt,837115000.0,3108000.0,-691947000.0,-371222000.0,967708000.0
Net Long Term Debt Issuance,837115000.0,3108000.0,-691947000.0,-371222000.0,967708000.0
Long Term Debt Payments,-894849000.0,-627489000.0,-847790000.0,-971622000.0,-197639000.0
Long Term Debt Issuance,1731964000.0,630597000.0,155843000.0,600400000.0,1165347000.0
Investing Cash Flow,-78430000.0,-104021000.0,-126705000.0,-297851000.0,-100416000.0
Net Other Investing Changes,,,-121900000.0,,
Dividends Received Cfi,1000.0,,,0.0,
Net Investment Purchase And Sale,3308000.0,15549000.0,-21220000.0,-362000.0,-34441000.0
Sale Of Investment,3308000.0,,,-363000.0,
Purchase Of Investment,,,-21032000.0,1000.0,
Net Business Purchase And Sale,,,14076000.0,-213842000.0,0.0
Sale Of Business,,,0.0,0.0,0.0
Purchase Of Business,,,14076000.0,,
Net PPE Purchase And Sale,275417000.0,-119570000.0,-4000.0,129392000.0,-65975000.0
Sale Of PPE,249000.0,285000.0,-4000.0,12000.0,492000.0
Purchase Of PPE,,-119855000.0,,,-66467000.0
Operating Cash Flow,-90508000.0,-756955000.0,1569833000.0,-215804000.0,-178691000.0
Taxes Refund Paid,-2824000.0,-15305000.0,-1550000.0,-3404000.0,-3666000.0
Interest Paid Cfo,-151962000.0,-139096000.0,-134791000.0,-174193000.0,-120089000.0
Change In Working Capital,-238004000.0,-925953000.0,1549023000.0,-179032000.0,-528217000.0
Change In Other Current Liabilities,-43526000.0,19072000.0,15094000.0,-16657000.0,-56328000.0
Change In Other Current Assets,73431000.0,-54755000.0,91942000.0,-93462000.0,-2179000.0
Change In Accrued Expense,28587000.0,17510000.0,-40904000.0,21137000.0,11435000.0
Change In Payable,-216306000.0,993643000.0,65222000.0,12573000.0,-879707000.0
Change In Inventory,177258000.0,-1162526000.0,638062000.0,117082000.0,152304000.0
Change In Receivables,-257448000.0,-738897000.0,779607000.0,-219705000.0,246258000.0
Other Non Cash Items,207971000.0,185760000.0,126626000.0,122514000.0,220503000.0
Stock Based Compensation,1344000.0,,2140000.0,2139000.0,
Provisionand Write Offof Assets,12797000.0,22892000.0,-9217000.0,-30368000.0,43089000.0
Depreciation And Amortization,76671000.0,66870000.0,67019000.0,68267000.0,66128000.0
Amortization Cash Flow,6206000.0,6265000.0,,7249000.0,6805000.0
Depreciation,70465000.0,60605000.0,87742000.0,61018000.0,59323000.0
Net Income From Continuing Operations,12223000.0,47877000.0,-34211000.0,-12156000.0,131974000.0
