,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,26944000.0,269768000.0,80991000.0,-227366000.0,-59224000.0,,
Repayment Of Debt,-11506000.0,-10205000.0,-569659000.0,-7236000.0,-512809000.0,,
Issuance Of Debt,250002000.0,0.0,1105282000.0,33059000.0,7240000.0,,
Issuance Of Capital Stock,,,,,,0.0,
Capital Expenditure,-183452000.0,-216254000.0,-205839000.0,-197399000.0,-181313000.0,,
End Cash Position,1425628000.0,1268235000.0,1100123000.0,580316000.0,653158000.0,,
Other Cash Adjustment Outside Changein Cash,,,,-7787000.0,,,
Beginning Cash Position,1268235000.0,1100123000.0,580316000.0,653158000.0,1141965000.0,,
Effect Of Exchange Rate Changes,-21650000.0,10168000.0,-3132000.0,,-43467000.0,,-3814000.0
Changes In Cash,179043000.0,157944000.0,522939000.0,-65055000.0,-445340000.0,,
Financing Cash Flow,146193000.0,-161218000.0,407095000.0,-34224000.0,-573725000.0,,
Net Other Financing Charges,-33364000.0,-82745000.0,-17543000.0,-29372000.0,-46587000.0,,
Interest Paid Cff,-18536000.0,,,,,,
Cash Dividends Paid,,-35805000.0,-48323000.0,-10748000.0,,-70984000.0,-58831000.0
Common Stock Dividend Paid,,-35805000.0,-48323000.0,,,-70984000.0,-58831000.0
Net Common Stock Issuance,,,,,,0.0,
Common Stock Issuance,,,,,,0.0,
Net Issuance Payments Of Debt,238496000.0,-10205000.0,535623000.0,25823000.0,-505569000.0,,
Net Long Term Debt Issuance,238496000.0,-10205000.0,535623000.0,25823000.0,-505569000.0,,
Long Term Debt Payments,-11506000.0,-10205000.0,-569659000.0,-7236000.0,-512809000.0,,
Long Term Debt Issuance,250002000.0,0.0,1105282000.0,33059000.0,7240000.0,,
Investing Cash Flow,-177546000.0,-166860000.0,-170986000.0,-864000.0,6296000.0,,
Net Other Investing Changes,,,,,-105176000.0,,
Dividends Received Cfi,,48333000.0,38158000.0,63597000.0,,59781000.0,40701000.0
Net Investment Purchase And Sale,-4094000.0,1061000.0,-3305000.0,104078000.0,187600000.0,,
Sale Of Investment,20241000.0,4068000.0,,110203000.0,187600000.0,,44389000.0
Purchase Of Investment,-24335000.0,,-3305000.0,-6125000.0,,-10560000.0,
Net PPE Purchase And Sale,-173452000.0,-216254000.0,-205839000.0,-168539000.0,-181304000.0,,
Sale Of PPE,10000000.0,,,28860000.0,9000.0,0.0,11802000.0
Purchase Of PPE,-183452000.0,-216254000.0,-205839000.0,-197399000.0,-181313000.0,,
Operating Cash Flow,210396000.0,486022000.0,286830000.0,-29967000.0,122089000.0,,
Taxes Refund Paid,-23823000.0,-9096000.0,-10799000.0,-17376000.0,-13797000.0,,
Interest Received Cfo,36423000.0,,,,6966000.0,,
Interest Paid Cfo,-124861000.0,-46491000.0,-100624000.0,-93698000.0,-125927000.0,,
Change In Working Capital,-173291000.0,400475000.0,148607000.0,-112470000.0,-238341000.0,,
Change In Other Current Liabilities,-30103000.0,-3968000.0,6857000.0,-251000.0,28932000.0,,
Change In Other Current Assets,-28266000.0,62308000.0,19876000.0,13665000.0,23749000.0,,
Change In Accrued Expense,-58489000.0,,,32456000.0,-78765000.0,,34437000.0
Change In Payable,-174352000.0,31595000.0,-100693000.0,-139495000.0,65299000.0,,
Change In Inventory,75208000.0,189522000.0,118513000.0,-49940000.0,-143834000.0,,
Change In Receivables,42711000.0,57121000.0,65782000.0,31095000.0,-133722000.0,,
Other Non Cash Items,55907000.0,109324000.0,68048000.0,67207000.0,81062000.0,,
Provisionand Write Offof Assets,20581000.0,,38150000.0,-24989000.0,39274000.0,,340240000.0
Depreciation And Amortization,188012000.0,220768000.0,197523000.0,165771000.0,174173000.0,,
Depreciation,188012000.0,220768000.0,197523000.0,165771000.0,174173000.0,,
Gain Loss On Investment Securities,-181662000.0,178592000.0,-222790000.0,55042000.0,-250378000.0,,
Gain Loss On Sale Of PPE,,8008000.0,13200000.0,13263000.0,,-42222000.0,5417000.0
Net Income From Continuing Operations,475372000.0,-258484000.0,195944000.0,-62152000.0,477723000.0,,
