,2025-09-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,5546000.0,0.0,-13017015.16171,482645169.0,-12664575.0
Tax Rate For Calcs,0.059,0.144201,0.136328,0.279,0.215
Normalized EBITDA,2285529000.0,1837766000.0,1134671000.0,4069709000.0,2851425000.0
Total Unusual Items,94000000.0,,-95483000.0,1729911000.0,-58905000.0
Total Unusual Items Excluding Goodwill,94000000.0,,-95483000.0,1729911000.0,-58905000.0
Net Income From Continuing Operation Net Minority Interest,796742000.0,1038740000.0,996422000.0,3280197000.0,1687993000.0
Reconciled Depreciation,1110000000.0,364000000.0,-303452000.0,1012000000.0,338452000.0
Reconciled Cost Of Revenue,9019116000.0,8003565000.0,10709493000.0,8490514000.0,6599421000.0
EBITDA,2379529000.0,1837766000.0,1039188000.0,5799620000.0,2792520000.0
EBIT,1269529000.0,1473766000.0,1342640000.0,4787620000.0,2454068000.0
Net Interest Income,-312000000.0,-184000000.0,-225883000.0,-121000000.0,187687000.0
Interest Expense,423000000.0,260000000.0,187889000.0,237000000.0,303145000.0
Interest Income,43000000.0,84000000.0,-192872000.0,89000000.0,81762000.0
Normalized Income,708288000.0,1038740000.0,1078887984.83829,2032931169.0,1734233425.0
Net Income From Continuing And Discontinued Operation,796742000.0,1038740000.0,996422000.0,3280197000.0,1687993000.0
Total Expenses,9503802000.0,8350496000.0,9659807000.0,8700364000.0,7452561000.0
Diluted Average Shares,2860681883.0,2860681883.0,,2860681883.0,2861005085.0
Basic Average Shares,2860681883.0,2860681883.0,,2860681883.0,2861005085.0
Diluted EPS,0.278515,0.363109,,1.146649,0.59
Basic EPS,0.278515,0.363109,,1.146649,0.59
Diluted NI Availto Com Stockholders,796742000.0,1038740000.0,996422000.0,3280197000.0,1687993000.0
Net Income Common Stockholders,796742000.0,1038740000.0,996422000.0,3280197000.0,1687993000.0
Net Income,796742000.0,1038740000.0,996422000.0,3280197000.0,1687993000.0
Minority Interests,,,,,-593000.0
Net Income Including Noncontrolling Interests,796742000.0,1038740000.0,997326000.0,3280197000.0,1688586000.0
Net Income Continuous Operations,796742000.0,1038740000.0,997326000.0,3280197000.0,1688586000.0
Tax Provision,49787000.0,175026000.0,157425000.0,1270423000.0,462337000.0
Pretax Income,846529000.0,1213766000.0,1154751000.0,4550620000.0,2150923000.0
Other Income Expense,134708000.0,42119000.0,-1582983000.0,3326335000.0,-20194000.0
Other Non Operating Income Expenses,-263105000000.0,,,1534767000.0,1278000.0
Special Income Charges,,,-8102000.0,3509000.0,-38261000.0
Other Special Charges,,,,-5000000.0,
Write Off,,,17113000.0,1491000.0,38261000.0
Earnings From Equity Interest,40708000.0,42119000.0,33131000.0,61657000.0,38711000.0
Gain On Sale Of Security,94000000.0,,-87381000.0,1729911000.0,-20644000.0
Net Non Operating Interest Income Expense,-312000000.0,-184000000.0,-225883000.0,-121000000.0,187687000.0
Total Other Finance Cost,-68000000.0,8000000.0,107687000.0,-27000000.0,-409070000.0
Interest Expense Non Operating,423000000.0,260000000.0,187889000.0,237000000.0,303145000.0
Interest Income Non Operating,43000000.0,84000000.0,-192872000.0,89000000.0,81762000.0
Operating Income,1023883000.0,1355278000.0,2643072000.0,1354830000.0,1983430000.0
Operating Expense,484686000.0,346931000.0,-1078620000.0,209850000.0,520257000.0
Other Operating Expenses,171049000.0,86964000.0,540756000.0,9858000.0,46755000.0
Other Taxes,58000000.0,66000000.0,-1434084000.0,44000000.0,48924000.0
Provision For Doubtful Accounts,60304000.0,,72403000.0,-50556000.0,77300000.0
Depreciation Amortization Depletion Income Statement,,,-332386000.0,345742000.0,5569000.0
Depreciation And Amortization In Income Statement,,,-332386000.0,345742000.0,5569000.0
Selling General And Administration,195333000.0,193967000.0,125247000.0,206548000.0,341709000.0
General And Administrative Expense,195333000.0,193967000.0,125247000.0,206548000.0,341709000.0
Other Gand A,195333000.0,193967000.0,,206548000.0,90389000.0
Salaries And Wages,,,-147518000.0,489118000.0,251320000.0
Gross Profit,1508569000.0,1702209000.0,1564452000.0,1564680000.0,2503687000.0
Cost Of Revenue,9019116000.0,8003565000.0,10738427000.0,8490514000.0,6932304000.0
Total Revenue,10527685000.0,9705774000.0,12302879000.0,10055194000.0,9435991000.0
Excise Taxes,3826912000.0,3370772000.0,-8621313000.0,3491294000.0,-190186000.0
Operating Revenue,12974706000.0,12326213000.0,13555397000.0,12512629000.0,11876281000.0
