,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-3622351.674012,-7244040.0,-3134816.828431,1491686.400773,-18684700.0,,
Tax Rate For Calcs,0.378313,0.34,0.020189,0.241373,0.34,,
Normalized EBITDA,808765000.0,481645000.0,717363000.0,564146000.0,1307944000.0,,
Total Unusual Items,-9575000.0,-21306000.0,-155274000.0,6180000.0,-54955000.0,,
Total Unusual Items Excluding Goodwill,-9575000.0,-21306000.0,-155274000.0,6180000.0,-54955000.0,,
Net Income From Continuing Operation Net Minority Interest,220006000.0,191605000.0,118799000.0,95109000.0,925828000.0,,
Reconciled Depreciation,232570000.0,228663000.0,225014000.0,229004000.0,237466000.0,,
Reconciled Cost Of Revenue,747084000.0,475670000.0,523535000.0,443330000.0,746324000.0,,
EBITDA,799190000.0,460339000.0,562089000.0,570326000.0,1252989000.0,,
EBIT,566620000.0,231676000.0,337075000.0,341322000.0,1015523000.0,,
Net Interest Income,-217609000.0,-200775000.0,-243067000.0,-216125000.0,54214000.0,,
Interest Expense,232154000.0,219473000.0,228996000.0,217087000.0,230389000.0,,
Interest Income,9725000.0,12714000.0,10441000.0,24781000.0,10027000.0,,
Normalized Income,225958648.325988,205666960.0,270938183.171569,90420686.400773,962098300.0,,
Net Income From Continuing And Discontinued Operation,220006000.0,191605000.0,118799000.0,95109000.0,925828000.0,,
Total Expenses,1687135000.0,1323077000.0,1192373000.0,1323917000.0,1393835000.0,,
Rent Expense Supplemental,,,8263000.0,,,,9794000.0
Total Operating Income As Reported,,,300056000.0,,,,220322000.0
Diluted Average Shares,,1995588174.0,1995370737.0,2092273700.0,,2060558085.0,2058829693.0
Basic Average Shares,,1995588174.0,1995370737.0,2056465400.0,,2060558085.0,2058829693.0
Diluted EPS,,0.096014,0.059537,0.045455,,-0.014133,-0.004043
Basic EPS,,0.096014,0.059537,0.045455,,-0.014133,-0.004043
Diluted NI Availto Com Stockholders,220006000.0,191605000.0,118799000.0,95109000.0,925828000.0,,
Net Income Common Stockholders,220006000.0,191605000.0,118799000.0,95109000.0,925828000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,220006000.0,191605000.0,118799000.0,95109000.0,925828000.0,,
Minority Interests,12073000.0,13648000.0,12902000.0,861000.0,-139966000.0,,
Net Income Including Noncontrolling Interests,207933000.0,177957000.0,105897000.0,94248000.0,1065794000.0,,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,0.0,,
Net Income Continuous Operations,207933000.0,177957000.0,105897000.0,94248000.0,1065794000.0,,
Tax Provision,126533000.0,-165754000.0,2182000.0,29987000.0,-280660000.0,,
Pretax Income,334466000.0,12203000.0,108079000.0,124235000.0,785134000.0,,
Special Income Charges,-2866000.0,-2716000.0,-167195000.0,-4270000.0,-2340000.0,,
Write Off,,,167522000.0,,,,123683000.0
Restructuring And Mergern Acquisition,2866000.0,2716000.0,-327000.0,4270000.0,2340000.0,,
Net Non Operating Interest Income Expense,-217609000.0,-200775000.0,-243067000.0,-216125000.0,54214000.0,,
Total Other Finance Cost,-4820000.0,-5984000.0,24512000.0,23819000.0,-274576000.0,,
Interest Expense Non Operating,232154000.0,219473000.0,228996000.0,217087000.0,230389000.0,,
Interest Income Non Operating,9725000.0,12714000.0,10441000.0,24781000.0,10027000.0,,
Operating Income,513931000.0,200292000.0,472227000.0,303711000.0,766728000.0,,
Operating Expense,940051000.0,847407000.0,668838000.0,880587000.0,647511000.0,,
Other Operating Expenses,233929000.0,161672000.0,5084000.0,163840000.0,291975000.0,,
Selling General And Administration,707595000.0,688621000.0,665364000.0,718374000.0,362530000.0,,
Selling And Marketing Expense,216527000.0,220130000.0,193536000.0,257258000.0,174032000.0,,
General And Administrative Expense,491068000.0,468491000.0,471828000.0,461116000.0,188498000.0,,
Gross Profit,1453982000.0,1047699000.0,1141065000.0,1184298000.0,1414239000.0,,
Cost Of Revenue,747084000.0,475670000.0,523535000.0,443330000.0,746324000.0,,
Total Revenue,2201066000.0,1523369000.0,1664600000.0,1627628000.0,2160563000.0,,
Operating Revenue,2201066000.0,1523369000.0,1664600000.0,1627628000.0,2160563000.0,,
