,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,3502076.2,2418813.872255,2527643.9,1818010.253542,2029066.4
Tax Rate For Calcs,0.1178,0.105289,0.1147,0.119724,0.1028
Normalized EBITDA,343436000.0,326647000.0,289880000.0,237620000.0,222042000.0
Total Unusual Items,29729000.0,22973000.0,22037000.0,15185000.0,19738000.0
Total Unusual Items Excluding Goodwill,29729000.0,22973000.0,22037000.0,15185000.0,19738000.0
Net Income From Continuing Operation Net Minority Interest,255253000.0,236731000.0,213475000.0,165784000.0,170571000.0
Reconciled Depreciation,8521000.0,8754000.0,8533000.0,8812000.0,8191000.0
Reconciled Cost Of Revenue,850699000.0,813823000.0,741296000.0,630617000.0,646426000.0
EBITDA,373165000.0,349620000.0,311917000.0,252805000.0,241780000.0
EBIT,364644000.0,340866000.0,303384000.0,243993000.0,233589000.0
Net Interest Income,-49492000.0,-47915000.0,-47011000.0,-34922000.0,-32880000.0
Interest Expense,44671000.0,42270000.0,38717000.0,29433000.0,29999000.0
Interest Income,5747000.0,5476000.0,1067000.0,4613000.0,7587000.0
Normalized Income,229026076.2,216176813.872255,193965643.9,152417010.253542,152862066.4
Net Income From Continuing And Discontinued Operation,255253000.0,236731000.0,213475000.0,165784000.0,170571000.0
Total Expenses,1079664000.0,1024152000.0,927231000.0,801718000.0,842530000.0
Diluted Average Shares,292880965.0,292860525.0,290873918.0,,290879180.0
Basic Average Shares,292880965.0,292860525.0,290873918.0,,290879180.0
Diluted EPS,0.871525,0.80834,0.733895,,0.586398
Basic EPS,0.871525,0.80834,0.733895,,0.586398
Diluted NI Availto Com Stockholders,255253000.0,236731000.0,213475000.0,165784000.0,170571000.0
Net Income Common Stockholders,255253000.0,236731000.0,213475000.0,165784000.0,170571000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,255253000.0,236731000.0,213475000.0,165784000.0,170571000.0
Minority Interests,-27957000.0,-30426000.0,-20189000.0,-23088000.0,-10017000.0
Net Income Including Noncontrolling Interests,283210000.0,267157000.0,233664000.0,188872000.0,180588000.0
Net Income Continuous Operations,283210000.0,267157000.0,233664000.0,188872000.0,180588000.0
Tax Provision,36763000.0,31439000.0,31003000.0,25688000.0,23002000.0
Pretax Income,319973000.0,298596000.0,264667000.0,214560000.0,203590000.0
Special Income Charges,-11069000.0,-9314000.0,-10394000.0,-6932000.0,-5529000.0
Other Special Charges,11069000.0,9314000.0,10394000.0,6932000.0,5529000.0
Net Non Operating Interest Income Expense,-49492000.0,-47915000.0,-47011000.0,-34922000.0,-32880000.0
Total Other Finance Cost,10568000.0,11121000.0,9361000.0,10102000.0,10468000.0
Interest Expense Non Operating,44671000.0,42270000.0,38717000.0,29433000.0,29999000.0
Interest Income Non Operating,5747000.0,5476000.0,1067000.0,4613000.0,7587000.0
Operating Income,337262000.0,322447000.0,288953000.0,233253000.0,213342000.0
Operating Expense,228965000.0,210329000.0,185935000.0,171101000.0,196104000.0
Other Operating Expenses,28135000.0,21180000.0,29344000.0,17189000.0,14218000.0
Selling General And Administration,200830000.0,189149000.0,156591000.0,156877000.0,181886000.0
Selling And Marketing Expense,134823000.0,124747000.0,106236000.0,103983000.0,113852000.0
General And Administrative Expense,66007000.0,64402000.0,50355000.0,52894000.0,68034000.0
Gross Profit,566227000.0,532776000.0,474888000.0,404354000.0,409446000.0
Cost Of Revenue,850699000.0,813823000.0,741296000.0,630617000.0,646426000.0
Total Revenue,1416926000.0,1346599000.0,1216184000.0,1034971000.0,1055872000.0
Operating Revenue,1416926000.0,1346599000.0,1216184000.0,1034971000.0,1055872000.0
