,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,143212000.0,3358000.0,-61838000.0,206759000.0,145662000.0
Repurchase Of Capital Stock,-5498000.0,-1998000.0,-1401000.0,,0.0
Repayment Of Debt,,,,-160000000.0,0.0
Issuance Of Capital Stock,,,,0.0,0.0
Capital Expenditure,-31531000.0,-25287000.0,-20427000.0,-10468000.0,-23558000.0
End Cash Position,176912000.0,251065000.0,310867000.0,400233000.0,383445000.0
Beginning Cash Position,251065000.0,310867000.0,400233000.0,383445000.0,244155000.0
Effect Of Exchange Rate Changes,-1300000.0,-4914000.0,-14744000.0,23247000.0,-1588000.0
Changes In Cash,-72853000.0,-54888000.0,-74622000.0,-6459000.0,140878000.0
Financing Cash Flow,-216065000.0,-58246000.0,-12784000.0,-213218000.0,-4784000.0
Net Other Financing Charges,0.0,,,-30936000.0,0.0
Interest Paid Cff,-44966000.0,-49591000.0,-1693000.0,-47216000.0,-1342000.0
Net Common Stock Issuance,-5498000.0,-1998000.0,-1401000.0,0.0,0.0
Common Stock Payments,-5498000.0,-1998000.0,-1401000.0,,0.0
Common Stock Issuance,,,,0.0,0.0
Net Issuance Payments Of Debt,,,,-160000000.0,0.0
Net Long Term Debt Issuance,,,,-160000000.0,0.0
Long Term Debt Payments,,,,-160000000.0,0.0
Investing Cash Flow,-31531000.0,-25287000.0,-20427000.0,-10468000.0,-23558000.0
Net Business Purchase And Sale,,,0.0,0.0,
Purchase Of Business,,,0.0,0.0,
Net Intangibles Purchase And Sale,-31081000.0,-23822000.0,-20267000.0,-9861000.0,-22936000.0
Purchase Of Intangibles,,,,-9861000.0,-22936000.0
Net PPE Purchase And Sale,-450000.0,-1465000.0,-160000.0,-607000.0,-622000.0
Purchase Of PPE,,,,-607000.0,-622000.0
Operating Cash Flow,174743000.0,28645000.0,-41411000.0,217227000.0,169220000.0
Taxes Refund Paid,-27484000.0,19969000.0,-21094000.0,-10693000.0,-15883000.0
Change In Working Capital,136586000.0,-97297000.0,-169667000.0,140418000.0,66182000.0
Change In Other Current Liabilities,632000.0,5884000.0,-3982000.0,-2986000.0,7418000.0
Change In Other Current Assets,-129863000.0,228966000.0,-47718000.0,199342000.0,-55004000.0
Change In Accrued Expense,15169000.0,-13748000.0,10667000.0,-1886000.0,8918000.0
Change In Payable,146658000.0,-64849000.0,-4758000.0,-156734000.0,95531000.0
Change In Prepaid Assets,73061000.0,-52093000.0,-47268000.0,-28572000.0,59539000.0
Change In Receivables,40254000.0,-191897000.0,-69616000.0,140102000.0,-41339000.0
Other Non Cash Items,2243000.0,75595000.0,98345000.0,55487000.0,41335000.0
Provisionand Write Offof Assets,-34821000.0,11735000.0,7680000.0,3759000.0,1264000.0
Depreciation And Amortization,53444000.0,55848000.0,51838000.0,58875000.0,55240000.0
Depreciation,53444000.0,55848000.0,51838000.0,58875000.0,55240000.0
Net Income From Continuing Operations,27903000.0,-43673000.0,-4749000.0,-50275000.0,17751000.0
