,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Ordinary Shares Number,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,
Share Issued,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,,
Tangible Book Value,13550484000.0,13505669000.0,13330716000.0,14032607000.0,12889324000.0,,
Invested Capital,13550484000.0,13505669000.0,13330716000.0,14032607000.0,12889324000.0,,
Net Tangible Assets,13550484000.0,13505669000.0,13330716000.0,14032607000.0,12889324000.0,,
Common Stock Equity,13550484000.0,13505669000.0,13330716000.0,14032607000.0,12889324000.0,,
Total Capitalization,13550484000.0,13505669000.0,13330716000.0,14032607000.0,12889324000.0,,
Total Equity Gross Minority Interest,13550484000.0,13505669000.0,13330716000.0,14032607000.0,12889324000.0,,
Stockholders Equity,13550484000.0,13505669000.0,13330716000.0,14032607000.0,12889324000.0,,
Other Equity Interest,5430281000.0,5407445000.0,5413246000.0,6213545000.0,6120681000.0,,
Retained Earnings,,1329581000.0,1148827000.0,1050419000.0,,1104422000.0,669472000.0
Capital Stock,3678772000.0,3678772000.0,3678772000.0,2756687000.0,2756687000.0,,
Common Stock,3678772000.0,3678772000.0,3678772000.0,2756687000.0,2756687000.0,,
Total Liabilities Net Minority Interest,1214517000.0,1118851000.0,1092988000.0,222014000.0,1134692000.0,,
Non Current Deferred Taxes Liabilities,0.0,0.0,0.0,0.0,0.0,,
Current Deferred Taxes Liabilities,499000.0,9015000.0,6142000.0,3504000.0,134000.0,,
Payables,1214000000.0,1109836000.0,1086846000.0,218510000.0,1134557000.0,,
Dividends Payable,1050008000.0,960008000.0,930009000.0,11642000.0,941302000.0,,
Total Tax Payable,70406000.0,69226000.0,60869000.0,63091000.0,87193000.0,,
Accounts Payable,93586000.0,80602000.0,95968000.0,143777000.0,106062000.0,,
Total Assets,14765001000.0,14624520000.0,14423704000.0,14254621000.0,14024016000.0,,
Non Current Deferred Taxes Assets,,,,,,212000.0,263000.0
Financial Assets,0.0,1000.0,3000.0,29000.0,42000.0,,
Investments And Advances,14246435000.0,13769616000.0,13770657000.0,13365401000.0,13153361000.0,,
Investmentin Financial Assets,,1000.0,3000.0,29000.0,42000.0,865275000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,,,865275000.0,868256000.0
Long Term Equity Investment,12708995000.0,12681881000.0,12695842000.0,12220913000.0,12054547000.0,,
Net PPE,9668000.0,10209000.0,10365000.0,,7000.0,,
Gross PPE,9668000.0,10209000.0,10365000.0,,7000.0,,
Other Properties,9668000.0,10209000.0,10365000.0,,7000.0,,
Current Deferred Taxes Assets,,231000.0,281000.0,284000.0,0.0,212000.0,
Other Receivables,185056000.0,666615000.0,465712000.0,653701000.0,604452000.0,,
Taxes Receivable,1871000.0,1891000.0,193000.0,108000.0,461000.0,,
Accounts Receivable,162742000.0,159438000.0,137859000.0,174427000.0,154622000.0,,
Cash Cash Equivalents And Short Term Investments,1537746000.0,1087938000.0,1075088000.0,1144750000.0,1099207000.0,,
Other Short Term Investments,1537440000.0,1087734000.0,1074812000.0,1144459000.0,1098772000.0,,
Cash And Cash Equivalents,306000.0,204000.0,276000.0,291000.0,435000.0,,
