,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,279313000.0,-621427000.0,-157543000.0,3626000.0,-149405000.0,
Repayment Of Debt,-622554000.0,-635843000.0,-478120000.0,-407787000.0,-697624000.0,
Issuance Of Debt,1124406000.0,1519551000.0,392077000.0,902477000.0,851928000.0,
Capital Expenditure,-55236000.0,-48330000.0,-35661000.0,-71238000.0,-38866000.0,
End Cash Position,172898000.0,178909000.0,145454000.0,531729000.0,542674000.0,
Beginning Cash Position,178909000.0,145454000.0,531729000.0,542674000.0,175184000.0,
Changes In Cash,-6011000.0,33455000.0,-386275000.0,-10945000.0,367490000.0,
Financing Cash Flow,394377000.0,814046000.0,-143174000.0,175740000.0,258065000.0,
Net Other Financing Charges,87152000.0,-120944000.0,43161000.0,136816000.0,123586000.0,
Common Stock Dividend Paid,,,,-223746000.0,0.0,0.0
Net Common Stock Issuance,0.0,0.0,-3596000.0,-152379000.0,0.0,
Net Issuance Payments Of Debt,501852000.0,883708000.0,-86043000.0,494690000.0,154304000.0,
Net Long Term Debt Issuance,501852000.0,883708000.0,-86043000.0,494690000.0,154304000.0,
Long Term Debt Payments,-622554000.0,-635843000.0,-478120000.0,-407787000.0,-697624000.0,
Long Term Debt Issuance,1124406000.0,1519551000.0,392077000.0,902477000.0,851928000.0,
Investing Cash Flow,-734937000.0,-207494000.0,-121219000.0,-261549000.0,219964000.0,
Dividends Received Cfi,51754000.0,99918000.0,131633000.0,44049000.0,46792000.0,
Net Investment Purchase And Sale,-731455000.0,-259082000.0,-217191000.0,-234360000.0,212038000.0,
Sale Of Investment,,,40240000.0,,,
Purchase Of Investment,,,-257431000.0,,,
Net Intangibles Purchase And Sale,0.0,-1000.0,-1157000.0,-18338000.0,-4844000.0,
Purchase Of Intangibles,0.0,-1000.0,-1157000.0,,-4844000.0,-184000.0
Net PPE Purchase And Sale,-55236000.0,-48329000.0,-34504000.0,-52900000.0,-34022000.0,
Purchase Of PPE,-55236000.0,-48329000.0,-34504000.0,,-34022000.0,-31954000.0
Operating Cash Flow,334549000.0,-573097000.0,-121882000.0,74864000.0,-110539000.0,
Taxes Refund Paid,-45018000.0,-40517000.0,-44555000.0,-51391000.0,-36933000.0,
Interest Paid Cfo,-101114000.0,-199764000.0,-94226000.0,-135394000.0,-88775000.0,
Change In Working Capital,-186769000.0,-716995000.0,-524931000.0,-525185000.0,-549349000.0,
Change In Other Current Liabilities,-31284000.0,-22140000.0,32752000.0,39798000.0,10344000.0,
Change In Other Current Assets,237679000.0,121837000.0,49461000.0,274401000.0,297316000.0,
Change In Accrued Expense,,21881000.0,-18931000.0,,,21692000.0
Change In Payable,74438000.0,-19445000.0,96161000.0,742935000.0,398619000.0,
Change In Prepaid Assets,-11471000.0,-650000.0,-26613000.0,-22191000.0,-1332000.0,
Change In Inventory,-293204000.0,-570212000.0,-388558000.0,-925753000.0,-690631000.0,
Change In Receivables,-141131000.0,-226057000.0,-249528000.0,-661447000.0,-516612000.0,
Other Non Cash Items,241708000.0,222609000.0,279321000.0,257465000.0,195085000.0,
Provisionand Write Offof Assets,-16378000.0,-43728000.0,123566000.0,107490000.0,33675000.0,
Deferred Tax,11188000.0,50025000.0,3703000.0,14002000.0,27001000.0,
Depreciation And Amortization,12301000.0,13755000.0,21373000.0,5761000.0,13627000.0,
Depreciation,12301000.0,13755000.0,21373000.0,5761000.0,13627000.0,
Gain Loss On Investment Securities,-189974000.0,-234207000.0,-194759000.0,-93692000.0,-157021000.0,
Gain Loss On Sale Of PPE,,,8938000.0,,,
Net Income From Continuing Operations,738803000.0,528736000.0,437963000.0,642686000.0,592708000.0,
