,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,1873833.657192,7699848.3,4283110.8,4008741.0,2131155.31961,,
Tax Rate For Calcs,0.088854,0.0883,0.0927,0.0993,0.079169,,
Normalized EBITDA,347580000.0,271321000.0,233461000.0,221266000.0,244270000.0,,
Total Unusual Items,21089000.0,87201000.0,46204000.0,40370000.0,26919000.0,,
Total Unusual Items Excluding Goodwill,21089000.0,87201000.0,46204000.0,40370000.0,26919000.0,,
Net Income From Continuing Operation Net Minority Interest,211432000.0,229652000.0,183742000.0,164515000.0,181461000.0,,
Reconciled Depreciation,22691000.0,20304000.0,19728000.0,18020000.0,19031000.0,,
Reconciled Cost Of Revenue,726735000.0,694023000.0,650982000.0,548851000.0,581814000.0,,
EBITDA,368669000.0,358522000.0,279665000.0,261636000.0,271189000.0,,
EBIT,345978000.0,338218000.0,259937000.0,243616000.0,252158000.0,,
Net Interest Income,-51037000.0,-24518000.0,-28230000.0,-22454000.0,-24105000.0,,
Interest Expense,33599000.0,27844000.0,16756000.0,31055000.0,30544000.0,,
Interest Income,18981000.0,22335000.0,16913000.0,14920000.0,13116000.0,,
Normalized Income,192216833.657192,150150848.3,141821110.8,128153741.0,156673155.31961,,
Net Income From Continuing And Discontinued Operation,211432000.0,229652000.0,183742000.0,164515000.0,181461000.0,,
Total Expenses,902695000.0,926305000.0,854914000.0,711855000.0,727562000.0,,
Total Operating Income As Reported,,,-189216000.0,-148832000.0,,,-121321000.0
Diluted Average Shares,,521936364.0,524977143.0,525154317.0,518975586.0,523251605.0,
Basic Average Shares,,521936364.0,520024528.0,520061241.0,518975586.0,517625806.0,
Diluted EPS,,0.44,0.35,0.313333,0.349652,0.306667,
Basic EPS,,0.44,0.353333,0.316667,0.349652,0.31,
Diluted NI Availto Com Stockholders,211432000.0,229652000.0,183742000.0,164515000.0,181461000.0,,
Net Income Common Stockholders,211432000.0,229652000.0,183742000.0,164515000.0,181461000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,211432000.0,229652000.0,183742000.0,164515000.0,181461000.0,,
Minority Interests,-73191000.0,-53322000.0,-36901000.0,-26936000.0,-22608000.0,,
Net Income Including Noncontrolling Interests,284623000.0,282974000.0,220643000.0,191452000.0,204069000.0,,
Net Income Continuous Operations,284623000.0,282974000.0,220643000.0,191452000.0,204069000.0,,
Tax Provision,27756000.0,27400000.0,22538000.0,21109000.0,17545000.0,,
Pretax Income,312379000.0,310374000.0,243181000.0,212561000.0,221614000.0,,
Special Income Charges,-48553000.0,32026000.0,-2952000.0,-168000.0,-135603000.0,,
Other Special Charges,48553000.0,-32026000.0,2952000.0,168000.0,135615000.0,,
Impairment Of Capital Assets,0.0,0.0,0.0,0.0,-12000.0,,
Net Non Operating Interest Income Expense,-51037000.0,-24518000.0,-28230000.0,-22454000.0,-24105000.0,,
Total Other Finance Cost,36419000.0,19009000.0,28387000.0,6319000.0,6677000.0,,
Interest Expense Non Operating,33599000.0,27844000.0,16756000.0,31055000.0,30544000.0,,
Interest Income Non Operating,18981000.0,22335000.0,16913000.0,14920000.0,13116000.0,,
Operating Income,323148000.0,231518000.0,210296000.0,182277000.0,196648000.0,,
Operating Expense,175960000.0,232282000.0,203932000.0,163004000.0,145748000.0,,
Other Operating Expenses,26601000.0,35797000.0,34033000.0,26886000.0,29258000.0,,
Selling General And Administration,149359000.0,196485000.0,169899000.0,136118000.0,116490000.0,,
Selling And Marketing Expense,116252000.0,113940000.0,96860000.0,80985000.0,83000000.0,,
General And Administrative Expense,33107000.0,82545000.0,73039000.0,55133000.0,33490000.0,,
Gross Profit,499108000.0,463800000.0,414228000.0,345281000.0,342396000.0,,
Cost Of Revenue,726735000.0,694023000.0,650982000.0,548851000.0,581814000.0,,
Total Revenue,1225843000.0,1157823000.0,1065210000.0,894132000.0,924210000.0,,
Operating Revenue,1225843000.0,1157823000.0,1065210000.0,894132000.0,924210000.0,,
