,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-09-30
Tax Effect Of Unusual Items,68620400.0,-124487940.0,115686330.014165,40184260.0,42776760.0,
Tax Rate For Calcs,0.4,0.34,0.35618,0.34,0.34,
Normalized EBITDA,1005508000.0,1730945000.0,1240056000.0,1073820000.0,884619000.0,
Total Unusual Items,171551000.0,-366141000.0,324797000.0,118189000.0,125814000.0,
Total Unusual Items Excluding Goodwill,171551000.0,-366141000.0,324797000.0,118189000.0,125814000.0,
Net Income From Continuing Operation Net Minority Interest,-9850000.0,105340000.0,430048000.0,204459000.0,146654000.0,
Reconciled Depreciation,549254000.0,370783000.0,356981000.0,327207000.0,303296000.0,
Reconciled Cost Of Revenue,1677194000.0,2222736000.0,1793593000.0,1626898000.0,1412702000.0,
EBITDA,1177059000.0,1364804000.0,1564853000.0,1192009000.0,1010433000.0,
EBIT,627805000.0,994021000.0,1207872000.0,864802000.0,707137000.0,
Net Interest Income,-888142000.0,-724518000.0,-732211000.0,-713951000.0,-706414000.0,
Interest Expense,556443000.0,567288000.0,537925000.0,475194000.0,400223000.0,
Normalized Income,-112780600.0,346993060.0,220937330.014165,126454260.0,63616760.0,
Net Income From Continuing And Discontinued Operation,-10090000.0,105227000.0,430027000.0,203943000.0,146654000.0,
Total Expenses,1738668000.0,2302067000.0,1915969000.0,1732767000.0,1510234000.0,
Total Operating Income As Reported,,,,-87426000.0,,
Diluted Average Shares,712570621.0,,695622705.0,695623849.0,695621000.0,695620380.0
Basic Average Shares,695621000.0,,695622705.0,695623849.0,695621000.0,695620380.0
Diluted EPS,-0.01451,,0.61819,0.29318,0.21082,0.37743
Basic EPS,-0.01451,,0.61819,0.29318,0.21082,0.37743
Diluted NI Availto Com Stockholders,-10090000.0,105227000.0,430027000.0,203943000.0,146654000.0,
Net Income Common Stockholders,-10090000.0,105227000.0,430027000.0,203943000.0,146654000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-10090000.0,105227000.0,430027000.0,203943000.0,146654000.0,
Minority Interests,12036000.0,5643000.0,-1277000.0,4692000.0,9975000.0,
Net Income Including Noncontrolling Interests,-22126000.0,99584000.0,431304000.0,199251000.0,136679000.0,
Net Income Discontinuous Operations,-240000.0,-113000.0,-21000.0,-516000.0,0.0,
Net Income Continuous Operations,-21886000.0,99697000.0,431325000.0,199767000.0,136679000.0,
Tax Provision,93248000.0,327036000.0,238622000.0,189841000.0,170235000.0,
Pretax Income,71362000.0,426733000.0,669947000.0,389608000.0,306914000.0,
Special Income Charges,,0.0,202659000.0,,,0.0
Impairment Of Capital Assets,,,-202659000.0,,,0.0
Net Non Operating Interest Income Expense,-888142000.0,-724518000.0,-732211000.0,-713951000.0,-706414000.0,
Total Other Finance Cost,331699000.0,157230000.0,194286000.0,238757000.0,306191000.0,
Interest Expense Non Operating,556443000.0,567288000.0,537925000.0,475194000.0,400223000.0,
Operating Income,820207000.0,1081420000.0,1077361000.0,985370000.0,915885000.0,
Operating Expense,61474000.0,79331000.0,122376000.0,105869000.0,97532000.0,
Other Operating Expenses,15560000.0,-50391000.0,29143000.0,18443000.0,14630000.0,
Selling General And Administration,87736000.0,125246000.0,94133000.0,90147000.0,83757000.0,
General And Administrative Expense,87736000.0,125246000.0,94133000.0,90147000.0,83757000.0,
Gross Profit,881681000.0,1160751000.0,1199737000.0,1091239000.0,1013417000.0,
Cost Of Revenue,1677194000.0,2222736000.0,1793593000.0,1626898000.0,1412702000.0,
Total Revenue,2558875000.0,3383487000.0,2993330000.0,2718137000.0,2426119000.0,
Operating Revenue,2558875000.0,3383487000.0,2993330000.0,2718137000.0,2426119000.0,
