,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1629834000.0,1161985000.0,-685958000.0,-971248000.0,875136000.0,
Repurchase Of Capital Stock,-183492000.0,-213318000.0,-491612000.0,-280892000.0,-844935000.0,
Repayment Of Debt,-4940131000.0,-400282000.0,-2970898000.0,-171299000.0,-1750665000.0,
Issuance Of Debt,318675000.0,758595000.0,6894932000.0,1249234000.0,1820964000.0,
Capital Expenditure,-1517240000.0,-1763063000.0,-1700430000.0,-1872108000.0,-1911517000.0,
End Cash Position,5929170000.0,9389572000.0,8500933000.0,6479544000.0,7767813000.0,
Beginning Cash Position,9389572000.0,8500933000.0,6479544000.0,7767813000.0,8074104000.0,
Effect Of Exchange Rate Changes,310535000.0,-203071000.0,-240502000.0,-403232000.0,749182000.0,
Changes In Cash,-3770937000.0,1091710000.0,2261891000.0,-885037000.0,-1055473000.0,
Financing Cash Flow,-5378935000.0,-103292000.0,3171655000.0,594411000.0,-1418000000.0,
Cash Flow From Continuing Financing Activities,-5378935000.0,-103292000.0,3171655000.0,594411000.0,-1418000000.0,
Cash Dividends Paid,-573987000.0,-248287000.0,-260767000.0,-202632000.0,-643364000.0,
Net Common Stock Issuance,-183492000.0,-213318000.0,-491612000.0,-280892000.0,-844935000.0,
Common Stock Payments,-183492000.0,-213318000.0,-491612000.0,-280892000.0,-844935000.0,
Net Issuance Payments Of Debt,-4621456000.0,358313000.0,3924034000.0,1077935000.0,70299000.0,
Net Long Term Debt Issuance,-4621456000.0,358313000.0,3924034000.0,1077935000.0,70299000.0,
Long Term Debt Payments,-4940131000.0,-400282000.0,-2970898000.0,-171299000.0,-1750665000.0,
Long Term Debt Issuance,318675000.0,758595000.0,6894932000.0,1249234000.0,1820964000.0,
Investing Cash Flow,-1539076000.0,-1730046000.0,-1924236000.0,-2380308000.0,-2424126000.0,
Cash Flow From Continuing Investing Activities,-1539076000.0,-1730046000.0,-1924236000.0,-2380308000.0,-2424126000.0,
Net Business Purchase And Sale,-25846000.0,-2636000.0,-240093000.0,-521979000.0,-546561000.0,
Sale Of Business,,,,,0.0,0.0
Purchase Of Business,-25846000.0,-2636000.0,-240093000.0,-521979000.0,-546561000.0,
Net Intangibles Purchase And Sale,-47129000.0,-49704000.0,-41000000.0,-33388000.0,-44402000.0,
Purchase Of Intangibles,-47129000.0,-49704000.0,-41000000.0,-33388000.0,-44402000.0,
Net PPE Purchase And Sale,-1466101000.0,-1677706000.0,-1643143000.0,-1824941000.0,-1833163000.0,
Sale Of PPE,4010000.0,35653000.0,16287000.0,13779000.0,33952000.0,
Purchase Of PPE,-1470111000.0,-1713359000.0,-1659430000.0,-1838720000.0,-1867115000.0,
Operating Cash Flow,3147074000.0,2925048000.0,1014472000.0,900860000.0,2786653000.0,
Taxes Refund Paid,-286789000.0,-60088000.0,-458083000.0,-316368000.0,-44624000.0,
Interest Paid Cfo,-862656000.0,-107135000.0,-498577000.0,-115100000.0,-486976000.0,
Dividend Received Cfo,209105000.0,-881000.0,7486000.0,19617000.0,346152000.0,
Change In Working Capital,1858121000.0,406761000.0,-419893000.0,-1231232000.0,762406000.0,
Change In Payable,-354163000.0,32148000.0,-841246000.0,473280000.0,-717296000.0,
Change In Account Payable,-633538000.0,-72355000.0,-712356000.0,931867000.0,-417646000.0,
Change In Inventory,794610000.0,496032000.0,170341000.0,-504059000.0,334421000.0,
Change In Receivables,1417674000.0,-121419000.0,251012000.0,-1200453000.0,1145281000.0,
Changes In Account Receivables,1207362000.0,-118867000.0,256365000.0,-1195268000.0,970725000.0,
Other Non Cash Items,361951000.0,380679000.0,285242000.0,414408000.0,494581000.0,
Provisionand Write Offof Assets,21364000.0,9562000.0,-9981000.0,2527000.0,9687000.0,
Asset Impairment Charge,1968224000.0,-50000.0,2631000.0,3948000.0,1536000.0,
Deferred Tax,111422000.0,375210000.0,231114000.0,347831000.0,131936000.0,
Deferred Income Tax,111422000.0,375210000.0,231114000.0,347831000.0,131936000.0,
Depreciation Amortization Depletion,935652000.0,937554000.0,936543000.0,873836000.0,832866000.0,
Depreciation And Amortization,935652000.0,937554000.0,936543000.0,873836000.0,832866000.0,
Operating Gains Losses,124423000.0,-106444000.0,73493000.0,143589000.0,416125000.0,
Pension And Employee Benefit Expense,82987000.0,109446000.0,109047000.0,118947000.0,95071000.0,
Earnings Losses From Equity Investments,28835000.0,-88744000.0,-26443000.0,-9270000.0,-78347000.0,
Gain Loss On Investment Securities,-21970000.0,28740000.0,7294000.0,31562000.0,180270000.0,
Net Foreign Currency Exchange Gain Loss,-25836000.0,-150616000.0,-28074000.0,-6241000.0,211162000.0,
Gain Loss On Sale Of PPE,60407000.0,-5270000.0,11669000.0,8591000.0,7969000.0,
Net Income From Continuing Operations,-1293743000.0,1089880000.0,864497000.0,757804000.0,322964000.0,
