,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,52598000.0,142454000.0,293627000.0,-37312000.0,-12596000.0,
Repurchase Of Capital Stock,0.0,0.0,-4836000.0,0.0,0.0,
Repayment Of Debt,-86625000.0,-168591000.0,-70891000.0,-91103000.0,-70628000.0,
Issuance Of Debt,70759000.0,62906000.0,200843000.0,92811000.0,75117000.0,
Issuance Of Capital Stock,0.0,0.0,3681000.0,0.0,0.0,
Capital Expenditure,-31351000.0,-40718000.0,-33874000.0,-89330000.0,-26143000.0,
End Cash Position,70158000.0,80114000.0,76363000.0,76109000.0,59780000.0,
Beginning Cash Position,92011000.0,76363000.0,76109000.0,59780000.0,72900000.0,
Changes In Cash,-21853000.0,3751000.0,254000.0,16329000.0,-13120000.0,
Financing Cash Flow,-181355000.0,-393800000.0,128637000.0,-132884000.0,-8994000.0,
Interest Paid Cff,-105329000.0,-110009000.0,-160000.0,-55000000.0,-261000.0,
Cash Dividends Paid,-60160000.0,,,-79592000.0,-13222000.0,
Net Common Stock Issuance,0.0,0.0,-1155000.0,0.0,0.0,
Common Stock Payments,0.0,0.0,-4836000.0,0.0,0.0,
Common Stock Issuance,0.0,0.0,3681000.0,0.0,0.0,
Net Issuance Payments Of Debt,-15866000.0,-105685000.0,129952000.0,1708000.0,4489000.0,
Net Long Term Debt Issuance,-15866000.0,-105685000.0,129952000.0,1708000.0,4489000.0,
Long Term Debt Payments,-86625000.0,-168591000.0,-70891000.0,-91103000.0,-70628000.0,
Long Term Debt Issuance,70759000.0,62906000.0,200843000.0,92811000.0,75117000.0,
Investing Cash Flow,75553000.0,214379000.0,-455884000.0,97195000.0,-17673000.0,
Net Other Investing Changes,,-7560000.0,-23472000.0,,0.0,152000.0
Interest Received Cfi,27843000.0,129198000.0,44171000.0,25305000.0,61859000.0,
Net Investment Purchase And Sale,59636000.0,133459000.0,-442709000.0,94974000.0,-53389000.0,
Sale Of Investment,490536000.0,908459000.0,768302000.0,524974000.0,700819000.0,
Purchase Of Investment,-430900000.0,-775000000.0,-1211011000.0,-430000000.0,-754208000.0,
Net PPE Purchase And Sale,-31351000.0,-40718000.0,-33874000.0,-89330000.0,-26143000.0,
Purchase Of PPE,-31351000.0,-40718000.0,-33874000.0,-89330000.0,-26143000.0,
Operating Cash Flow,83949000.0,183172000.0,327501000.0,52018000.0,13547000.0,
Taxes Refund Paid,-5928000.0,-4211000.0,3757000.0,-7861000.0,8316000.0,
Change In Working Capital,-81496000.0,131547000.0,246979000.0,-187199000.0,-184795000.0,
Change In Other Current Assets,-1774000.0,-1861000.0,-14307000.0,19493000.0,246000.0,
Change In Accrued Expense,-33975000.0,15228000.0,-16135000.0,-5113000.0,18108000.0,
Change In Payable,-63894000.0,22044000.0,-12046000.0,3555000.0,28384000.0,
Change In Inventory,51524000.0,-39876000.0,10569000.0,-95557000.0,1114000.0,
Change In Receivables,-33377000.0,136012000.0,278898000.0,-109577000.0,-232647000.0,
Other Non Cash Items,-44905000.0,-60474000.0,-51118000.0,-42132000.0,-41863000.0,
Stock Based Compensation,1887000.0,1919000.0,1529000.0,714000.0,722000.0,
Provisionand Write Offof Assets,11591000.0,4739000.0,5692000.0,3248000.0,-1369000.0,
Deferred Tax,-1208000.0,-11940000.0,12552000.0,-1370000.0,-1139000.0,
Depreciation And Amortization,24337000.0,25626000.0,25704000.0,21317000.0,21163000.0,
Amortization Cash Flow,4701000.0,4574000.0,4461000.0,,,
Depreciation,19636000.0,21052000.0,21243000.0,30279000.0,21163000.0,
Pension And Employee Benefit Expense,,,-762000.0,,,
Gain Loss On Investment Securities,-14978000.0,993000.0,1075000.0,4582000.0,-34308000.0,
Net Foreign Currency Exchange Gain Loss,12012000.0,-9730000.0,-12450000.0,10656000.0,-2258000.0,
Net Income From Continuing Operations,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
