,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-13349760.0,0.0,699192.0,-1096102.990769,0.0,
Tax Rate For Calcs,0.34,0.34,0.166,0.050179,0.120293,
Normalized EBITDA,312913000.0,182201000.0,161261000.0,393908000.0,299363000.0,
Total Unusual Items,-39264000.0,,4212000.0,-21844000.0,,
Total Unusual Items Excluding Goodwill,-39264000.0,,4212000.0,-21844000.0,,
Net Income From Continuing Operation Net Minority Interest,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
Reconciled Depreciation,24337000.0,25626000.0,25704000.0,21317000.0,21163000.0,
Reconciled Cost Of Revenue,386198000.0,322129000.0,300310000.0,422210000.0,390747000.0,
EBITDA,273649000.0,182201000.0,165473000.0,372064000.0,299363000.0,
EBIT,249312000.0,156575000.0,139769000.0,350747000.0,278200000.0,
Net Interest Income,29503000.0,84737000.0,27181000.0,30393000.0,108735000.0,
Interest Expense,3653000.0,26491000.0,3844000.0,2910000.0,24121000.0,
Interest Income,689000.0,111228000.0,3524000.0,3526000.0,132856000.0,
Normalized Income,275298240.0,143575000.0,109851192.0,351130897.009231,223515000.0,
Net Income From Continuing And Discontinued Operation,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
Total Expenses,370013000.0,568013000.0,457180000.0,447224000.0,591013000.0,
Rent Expense Supplemental,1201000.0,,613000.0,1122000.0,,
Diluted Average Shares,,901853015.0,901685055.0,,901997579.0,903405640.0
Basic Average Shares,,901853015.0,901685055.0,,901997579.0,903405640.0
Diluted EPS,,0.1592,0.1257,,0.2478,0.0461
Basic EPS,,0.1592,0.1257,,0.2478,0.0461
Diluted NI Availto Com Stockholders,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
Net Income Common Stockholders,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
Net Income Including Noncontrolling Interests,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
Net Income Continuous Operations,249384000.0,143575000.0,113364000.0,330383000.0,223515000.0,
Tax Provision,-3725000.0,-13491000.0,22561000.0,17454000.0,30564000.0,
Pretax Income,245659000.0,130084000.0,135925000.0,347837000.0,254079000.0,
Special Income Charges,-63254000.0,,-23140000.0,,,
Other Special Charges,8838000.0,,21331000.0,,,
Write Off,,,0.0,,,
Impairment Of Capital Assets,,,1222000.0,,,
Restructuring And Mergern Acquisition,155000.0,,587000.0,,,
Net Non Operating Interest Income Expense,29503000.0,84737000.0,27181000.0,30393000.0,108735000.0,
Total Other Finance Cost,-32467000.0,,-27501000.0,-29777000.0,,
Interest Expense Non Operating,3653000.0,26491000.0,3844000.0,2910000.0,24121000.0,
Interest Income Non Operating,689000.0,111228000.0,3524000.0,3526000.0,132856000.0,
Operating Income,145995000.0,-12737000.0,70272000.0,210536000.0,158469000.0,
Operating Expense,-16185000.0,245884000.0,156870000.0,25014000.0,200266000.0,
Other Operating Expenses,14805000.0,18846000.0,9022000.0,12946000.0,2722000.0,
Depreciation And Amortization In Income Statement,5047000.0,,7823000.0,3479000.0,,
Amortization,,,171000.0,,,
Depreciation Income Statement,5047000.0,,7652000.0,3479000.0,,
Selling General And Administration,161810000.0,228827000.0,129186000.0,170752000.0,199415000.0,
Selling And Marketing Expense,154802000.0,188042000.0,122450000.0,166340000.0,171375000.0,
General And Administrative Expense,7008000.0,40785000.0,6736000.0,4412000.0,28040000.0,
Rent And Landing Fees,1201000.0,,613000.0,1122000.0,,
Gross Profit,129810000.0,233147000.0,227142000.0,235550000.0,358735000.0,
Cost Of Revenue,386198000.0,322129000.0,300310000.0,422210000.0,390747000.0,
Total Revenue,516008000.0,555276000.0,527452000.0,657760000.0,749482000.0,
Operating Revenue,516008000.0,555276000.0,527452000.0,657760000.0,749482000.0,
