,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,240133000.0,145566000.0,190134000.0,-237253000.0,515764000.0,
Repayment Of Debt,-933666000.0,-184395000.0,-139082000.0,-54848000.0,-135156000.0,
Issuance Of Debt,1464101000.0,37632000.0,88622000.0,24465000.0,48707000.0,
Capital Expenditure,-160555000.0,-158108000.0,-131202000.0,-134117000.0,-130168000.0,
End Cash Position,1415443000.0,546611000.0,715624000.0,816890000.0,1158206000.0,
Beginning Cash Position,546611000.0,715624000.0,816890000.0,1158206000.0,626636000.0,
Changes In Cash,868832000.0,-169013000.0,-101266000.0,-341316000.0,531570000.0,
Financing Cash Flow,-633039000.0,-299192000.0,-141768000.0,-116001000.0,-208299000.0,
Net Other Financing Charges,,,1000.0,,,-1000.0
Interest Paid Cff,,,0.0,,,-1000.0
Cash Dividends Paid,-1070509000.0,-58522000.0,,,-29901000.0,-2000.0
Common Stock Dividend Paid,-1070509000.0,-58522000.0,,,-29901000.0,-2000.0
Net Issuance Payments Of Debt,530435000.0,-146763000.0,-50460000.0,-30383000.0,-86449000.0,
Net Long Term Debt Issuance,530435000.0,-146763000.0,-50460000.0,-30383000.0,-86449000.0,
Long Term Debt Payments,-933666000.0,-184395000.0,-139082000.0,-54848000.0,-135156000.0,
Long Term Debt Issuance,1464101000.0,37632000.0,88622000.0,24465000.0,48707000.0,
Investing Cash Flow,1101183000.0,-173495000.0,-280834000.0,-122179000.0,93937000.0,
Net Investment Purchase And Sale,-349600000.0,-19935000.0,-149320000.0,-217000.0,225371000.0,
Sale Of Investment,1754433000.0,152710000.0,5814000.0,109783000.0,289540000.0,
Purchase Of Investment,-2104033000.0,-172645000.0,-155134000.0,-110000000.0,-64169000.0,
Net Investment Properties Purchase And Sale,1587499000.0,-982000.0,-312000.0,-381000.0,-552000.0,
Purchase Of Investment Properties,-224000.0,-982000.0,-312000.0,-381000.0,-552000.0,
Net Intangibles Purchase And Sale,-73405000.0,-92821000.0,-54672000.0,-101848000.0,-70991000.0,
Purchase Of Intangibles,-73405000.0,-92821000.0,-54672000.0,-101848000.0,-70991000.0,
Net PPE Purchase And Sale,-63311000.0,-59757000.0,-76530000.0,-19733000.0,-59891000.0,
Sale Of PPE,23839000.0,5530000.0,,12536000.0,-714000.0,2493000.0
Purchase Of PPE,-87150000.0,-65287000.0,-76530000.0,-32269000.0,-59177000.0,
Operating Cash Flow,400688000.0,303674000.0,321336000.0,-103136000.0,645932000.0,
Taxes Refund Paid,-16204000.0,-18802000.0,-58593000.0,-37715000.0,-41808000.0,
Interest Received Cfo,,1000.0,,,,
Interest Paid Cfo,-256209000.0,1000.0,-62833000.0,0.0,-43253000.0,
Change In Working Capital,-214964000.0,-432302000.0,-244385000.0,-355514000.0,-38675000.0,
Change In Other Current Liabilities,112132000.0,-56576000.0,164630000.0,-26688000.0,293563000.0,
Change In Other Current Assets,68934000.0,-41006000.0,-3332000.0,-4150000.0,152000.0,
Change In Accrued Expense,54235000.0,55774000.0,36962000.0,-94446000.0,35115000.0,
Change In Payable,54863000.0,32798000.0,-74599000.0,-143772000.0,136125000.0,
Change In Inventory,186971000.0,-151485000.0,103747000.0,-344405000.0,182065000.0,
Change In Receivables,-692099000.0,-271807000.0,-471793000.0,257947000.0,-685695000.0,
Other Non Cash Items,338377000.0,98010000.0,92709000.0,93818000.0,100574000.0,
Stock Based Compensation,2949000.0,2044000.0,1521000.0,676000.0,-1938000.0,
Provisionand Write Offof Assets,233472000.0,331090000.0,221206000.0,-61771000.0,208266000.0,
Deferred Tax,-1222000.0,-285000.0,-631000.0,-130000.0,-304000.0,
Depreciation And Amortization,217826000.0,187344000.0,182250000.0,174728000.0,174364000.0,
Depreciation,217826000.0,187344000.0,182250000.0,174728000.0,174364000.0,
Pension And Employee Benefit Expense,16488000.0,28920000.0,17928000.0,23976000.0,25520000.0,
Gain Loss On Sale Of PPE,-19829000.0,-10000.0,219000.0,2504000.0,3112000.0,
Net Income From Continuing Operations,1531990000.0,111200000.0,177123000.0,58674000.0,262426000.0,
