,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,519660000.0,217356000.0,360194000.0,433810000.0,551096000.0
Repurchase Of Capital Stock,0.0,,-23088000.0,0.0,-13247000.0
Repayment Of Debt,-1003259000.0,-521756000.0,-828764000.0,-885477000.0,-40073000.0
Issuance Of Debt,1200836000.0,147380000.0,641784000.0,0.0,10000000.0
Issuance Of Capital Stock,0.0,10549000.0,0.0,0.0,-1000.0
Capital Expenditure,-188463000.0,-225419000.0,-209760000.0,-264388000.0,-186974000.0
End Cash Position,1645541000.0,1203615000.0,1740114000.0,1739327000.0,3208625000.0
Beginning Cash Position,1863762000.0,1740114000.0,1739327000.0,3208625000.0,2836119000.0
Changes In Cash,-218221000.0,-536499000.0,787000.0,-1469298000.0,372506000.0
Financing Cash Flow,-759228000.0,-770053000.0,-377706000.0,-1939863000.0,-227899000.0
Interest Paid Cff,-427138000.0,-381580000.0,-167638000.0,-364907000.0,-173358000.0
Cash Dividends Paid,-578831000.0,-24646000.0,,-683076000.0,-24467000.0
Common Stock Dividend Paid,-578831000.0,-24646000.0,0.0,-683076000.0,-24467000.0
Net Common Stock Issuance,0.0,10549000.0,-23088000.0,0.0,-1000.0
Common Stock Payments,0.0,,-23088000.0,0.0,-13247000.0
Common Stock Issuance,0.0,10549000.0,0.0,0.0,-1000.0
Net Issuance Payments Of Debt,197577000.0,-374376000.0,-186980000.0,-885477000.0,-30073000.0
Net Long Term Debt Issuance,197577000.0,-374376000.0,-186980000.0,-885477000.0,-30073000.0
Long Term Debt Payments,-1003259000.0,-521756000.0,-828764000.0,-885477000.0,-40073000.0
Long Term Debt Issuance,1200836000.0,147380000.0,641784000.0,0.0,10000000.0
Investing Cash Flow,-167116000.0,-209221000.0,-191461000.0,-227633000.0,-137665000.0
Net Other Investing Changes,,,-11965000.0,,
Interest Received Cfi,44363000.0,28909000.0,30264000.0,39214000.0,48602000.0
Net Business Purchase And Sale,-15258000.0,-13708000.0,0.0,-7156000.0,0.0
Purchase Of Business,-15258000.0,-13708000.0,0.0,-7156000.0,0.0
Net Intangibles Purchase And Sale,-91537000.0,-67257000.0,-62373000.0,-104150000.0,-79484000.0
Purchase Of Intangibles,-91537000.0,-67257000.0,-62373000.0,-104150000.0,-79484000.0
Net PPE Purchase And Sale,-96926000.0,-157165000.0,-147387000.0,-161937000.0,-106783000.0
Sale Of PPE,,997000.0,,,707000.0
Purchase Of PPE,-96926000.0,-158162000.0,-147387000.0,-160238000.0,-107490000.0
Operating Cash Flow,708123000.0,442775000.0,569954000.0,698198000.0,738070000.0
Taxes Refund Paid,-7671000.0,-1599000.0,-384000.0,-3153000.0,-2530000.0
Interest Paid Cfo,,-7617000.0,-16135000.0,,
Change In Working Capital,10413000.0,-293856000.0,606352000.0,716010000.0,208131000.0
Change In Other Current Liabilities,0.0,0.0,865000.0,3279000.0,982000.0
Change In Other Current Assets,-10278000.0,-11470000.0,-11008000.0,-8975000.0,-11120000.0
Change In Accrued Expense,-3411000.0,-55068000.0,-1075000.0,-16196000.0,56853000.0
Change In Payable,14557000.0,83240000.0,-49116000.0,169255000.0,-30813000.0
Change In Inventory,41044000.0,-21222000.0,-264908000.0,-88365000.0,-19979000.0
Change In Receivables,-31499000.0,-289336000.0,931594000.0,657012000.0,212208000.0
Other Non Cash Items,221711000.0,223524000.0,211888000.0,198556000.0,199279000.0
Stock Based Compensation,6056000.0,-731000.0,11965000.0,9536000.0,8926000.0
Provisionand Write Offof Assets,-20140000.0,27060000.0,79557000.0,-96452000.0,-58268000.0
Depreciation And Amortization,81986000.0,78744000.0,77518000.0,74874000.0,69870000.0
Depreciation,81986000.0,78744000.0,77518000.0,74874000.0,69870000.0
Net Foreign Currency Exchange Gain Loss,5536000.0,-10862000.0,-16686000.0,22925000.0,-2661000.0
Gain Loss On Sale Of PPE,-253000.0,-1541000.0,-633000.0,1321000.0,1240000.0
Net Income From Continuing Operations,439332000.0,432960000.0,-424752000.0,-160209000.0,294816000.0
