,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,64485.072279,-74995.2,74789.1,0.0,0.0,,
Tax Rate For Calcs,0.297166,0.3456,0.3613,0.3617,0.179416,,
Total Unusual Items,217000.0,-217000.0,207000.0,,,0.0,30000.0
Total Unusual Items Excluding Goodwill,217000.0,-217000.0,207000.0,,,0.0,30000.0
Net Income From Continuing Operation Net Minority Interest,37972000.0,112311000.0,106562000.0,134100000.0,182351000.0,,
Reconciled Depreciation,18889000.0,20010000.0,20901000.0,25266000.0,34900000.0,,
EBIT,,240943000.0,432752000.0,214162000.0,860379000.0,407791000.0,
Net Interest Income,35134000.0,51057000.0,-13818000.0,-4075000.0,114784000.0,,
Interest Expense,,69334000.0,265914000.0,4075000.0,638158000.0,123207000.0,
Interest Income,524029000.0,120391000.0,138424000.0,183413000.0,752942000.0,,
Normalized Income,37819485.072279,112453004.8,106429789.1,134100000.0,182351000.0,,
Net Income From Continuing And Discontinued Operation,37972000.0,112311000.0,106562000.0,134100000.0,182351000.0,,
Total Expenses,625497000.0,-43871000.0,-692590000.0,281874000.0,1305094000.0,,
Diluted Average Shares,,81838786.0,81838243.0,81838243.0,,81838243.0,81838243.0
Basic Average Shares,,81838786.0,81838243.0,81838243.0,,81838243.0,81838243.0
Diluted EPS,,1.3724,1.3,1.64,,2.35,2.37
Basic EPS,,1.3724,1.3,1.64,,2.35,2.37
Diluted NI Availto Com Stockholders,37972000.0,112311000.0,106562000.0,134100000.0,182351000.0,,
Net Income Common Stockholders,37972000.0,112311000.0,106562000.0,134100000.0,182351000.0,,
Net Income,37972000.0,112311000.0,106562000.0,134100000.0,182351000.0,,
Net Income Including Noncontrolling Interests,37972000.0,112311000.0,106562000.0,134100000.0,182351000.0,,
Net Income Continuous Operations,37972000.0,112311000.0,106562000.0,134100000.0,182351000.0,,
Tax Provision,16055000.0,59298000.0,60276000.0,75987000.0,39870000.0,,
Pretax Income,54027000.0,171609000.0,166838000.0,210087000.0,222221000.0,,
Other Income Expense,6106000.0,0.0,-11900000.0,6684000.0,0.0,,
Special Income Charges,217000.0,-217000.0,207000.0,,,0.0,30000.0
Other Special Charges,-217000.0,217000.0,-207000.0,,,0.0,-30000.0
Net Non Operating Interest Income Expense,35134000.0,51057000.0,-13818000.0,-4075000.0,114784000.0,,
Total Other Finance Cost,,,-113672000.0,,,,-107337000.0
Interest Expense Non Operating,,69334000.0,265914000.0,4075000.0,638158000.0,123207000.0,
Interest Income Non Operating,,120391000.0,138424000.0,,752942000.0,122036000.0,148768000.0
Other Operating Expenses,1587000.0,370000.0,954000.0,1163000.0,726000.0,,
Selling General And Administration,7399000.0,6599000.0,6437000.0,5384000.0,5863000.0,,
General And Administrative Expense,7399000.0,6599000.0,6437000.0,5384000.0,5863000.0,,
Total Revenue,679524000.0,127738000.0,-525752000.0,491961000.0,1527315000.0,,
Operating Revenue,679524000.0,127738000.0,-525752000.0,491961000.0,1527315000.0,,
Net Policyholder Benefits And Claims,,,,535514000.0,,,
