,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-39780000.0,1360000.0,-27880000.0,523936.881519,-1730000.0,
Tax Rate For Calcs,0.34,0.34,0.34,0.000802,0.01,
Normalized EBITDA,4937000000.0,4830000000.0,4619000000.0,3776000000.0,4725000000.0,
Total Unusual Items,-117000000.0,4000000.0,-82000000.0,653000000.0,-173000000.0,
Total Unusual Items Excluding Goodwill,-117000000.0,4000000.0,-82000000.0,653000000.0,-173000000.0,
Net Income From Continuing Operation Net Minority Interest,4207000000.0,4066000000.0,3914000000.0,3722000000.0,3819000000.0,
Reconciled Depreciation,282000000.0,391000000.0,289000000.0,295000000.0,308000000.0,
Reconciled Cost Of Revenue,1637000000.0,1635000000.0,1457000000.0,1555000000.0,1572000000.0,
EBITDA,4820000000.0,4834000000.0,4537000000.0,4429000000.0,4552000000.0,
EBIT,4538000000.0,4443000000.0,4248000000.0,4134000000.0,4244000000.0,
Net Interest Income,-216000000.0,-200000000.0,-199000000.0,-859000000.0,-120000000.0,
Interest Expense,383000000.0,377000000.0,364000000.0,395000000.0,328000000.0,
Interest Income,160000000.0,183000000.0,152000000.0,-516000000.0,192000000.0,
Normalized Income,4284220000.0,4063360000.0,3968120000.0,3069523936.881519,3990270000.0,
Net Income From Continuing And Discontinued Operation,4207000000.0,4066000000.0,3914000000.0,3722000000.0,3819000000.0,
Total Expenses,2110000000.0,2164000000.0,2106000000.0,2145000000.0,2156000000.0,
Total Operating Income As Reported,,,,,,3505000000.0
Diluted Average Shares,11211346533.0,11160410614.0,11058499779.0,,10709013091.0,10708845004.0
Basic Average Shares,11211346533.0,11160410614.0,11058499779.0,,10709013091.0,10708845004.0
Diluted EPS,0.375245,0.364324,0.353931,,0.356618,0.351294
Basic EPS,0.375245,0.364324,0.353931,,0.356618,0.351294
Diluted NI Availto Com Stockholders,4207000000.0,4066000000.0,1345000000.0,3722000000.0,3819000000.0,
Net Income Common Stockholders,4207000000.0,4066000000.0,1345000000.0,3722000000.0,3819000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Preferred Stock Dividends,,,2569000000.0,,,
Net Income,4207000000.0,4066000000.0,3914000000.0,3722000000.0,3819000000.0,
Minority Interests,-10000000.0,-27000000.0,-41000000.0,-14000000.0,-58000000.0,
Net Income Including Noncontrolling Interests,4217000000.0,4093000000.0,3955000000.0,3736000000.0,3877000000.0,
Net Income Continuous Operations,4217000000.0,4093000000.0,3955000000.0,3736000000.0,3877000000.0,
Tax Provision,-62000000.0,-27000000.0,-71000000.0,3000000.0,39000000.0,
Pretax Income,4155000000.0,4066000000.0,3884000000.0,3739000000.0,3916000000.0,
Other Non Operating Income Expenses,21000000.0,,3000000.0,93000000.0,-15000000.0,-28000000.0
Special Income Charges,1000000.0,-29000000.0,-7000000.0,-2000000.0,-52000000.0,
Other Special Charges,-9000000.0,29000000.0,21000000.0,-38000000.0,52000000.0,
Write Off,-3000000.0,0.0,-14000000.0,-2000000.0,0.0,
Restructuring And Mergern Acquisition,11000000.0,0.0,,,0.0,7000000.0
Net Non Operating Interest Income Expense,-216000000.0,-200000000.0,-199000000.0,-859000000.0,-120000000.0,
Total Other Finance Cost,-7000000.0,6000000.0,-13000000.0,-52000000.0,-16000000.0,
Interest Expense Non Operating,383000000.0,377000000.0,364000000.0,395000000.0,328000000.0,
Interest Income Non Operating,160000000.0,183000000.0,152000000.0,-516000000.0,192000000.0,
Operating Income,18000000.0,-43000000.0,-203000000.0,-81000000.0,84000000.0,
Operating Expense,473000000.0,529000000.0,649000000.0,590000000.0,584000000.0,
Other Operating Expenses,61000000.0,93000000.0,230000000.0,112000000.0,125000000.0,
Depreciation And Amortization In Income Statement,13000000.0,12000000.0,12000000.0,11000000.0,12000000.0,
Depreciation Income Statement,13000000.0,12000000.0,12000000.0,11000000.0,12000000.0,
Selling General And Administration,276000000.0,303000000.0,281000000.0,347000000.0,322000000.0,
Selling And Marketing Expense,237000000.0,261000000.0,239000000.0,271000000.0,280000000.0,
General And Administrative Expense,39000000.0,42000000.0,42000000.0,76000000.0,42000000.0,
Gross Profit,491000000.0,486000000.0,446000000.0,509000000.0,668000000.0,
Cost Of Revenue,1637000000.0,1635000000.0,1457000000.0,1555000000.0,1572000000.0,
Total Revenue,2128000000.0,2121000000.0,1903000000.0,2064000000.0,2240000000.0,
Operating Revenue,2128000000.0,2121000000.0,1903000000.0,2064000000.0,2240000000.0,
