,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-151601372.60509,-83561411.181573,-118660000.0,-57640512.223516,0.0,
Tax Rate For Calcs,0.131827,0.154457,0.34,0.169034,0.149618,
Total Unusual Items,-1150000000.0,-541000000.0,-349000000.0,-341000000.0,,
Total Unusual Items Excluding Goodwill,-1150000000.0,-541000000.0,-349000000.0,-341000000.0,,
Net Income From Continuing Operation Net Minority Interest,11907000000.0,11306000000.0,11137000000.0,10507000000.0,10835000000.0,
Reconciled Depreciation,1847000000.0,2242000000.0,1632000000.0,1665000000.0,1141000000.0,
Net Interest Income,7399000000.0,17194000000.0,1364000000.0,9496000000.0,19034000000.0,
Interest Expense,49478000000.0,53987000000.0,63399000000.0,52474000000.0,48299000000.0,
Interest Income,56877000000.0,71181000000.0,64763000000.0,61970000000.0,67333000000.0,
Normalized Income,12905398627.39491,11763438588.818426,11367340000.0,10790359487.776484,10835000000.0,
Net Income From Continuing And Discontinued Operation,11907000000.0,11306000000.0,11137000000.0,10507000000.0,10835000000.0,
Diluted Average Shares,,11173354828.0,11198619244.0,10504783971.0,,11179869319.0
Basic Average Shares,,11081529451.0,11107441832.0,10424636389.0,,11096094211.0
Diluted EPS,,1.009709,0.990291,1.0,,0.932039
Basic EPS,,1.019417,1.0,1.009709,,0.932039
Diluted NI Availto Com Stockholders,11907000000.0,11306000000.0,11137000000.0,10507000000.0,10835000000.0,
Net Income Common Stockholders,11907000000.0,11306000000.0,11137000000.0,10507000000.0,10835000000.0,
Net Income,11907000000.0,11306000000.0,11137000000.0,10507000000.0,10835000000.0,
Minority Interests,-237000000.0,-294000000.0,-261000000.0,-200000000.0,-288000000.0,
Net Income Including Noncontrolling Interests,12143000000.0,11600000000.0,11398000000.0,10707000000.0,11123000000.0,
Net Income Continuous Operations,12143000000.0,11600000000.0,11398000000.0,10707000000.0,11123000000.0,
Tax Provision,1844000000.0,2119000000.0,-1740000000.0,2178000000.0,1957000000.0,
Special Income Charges,-1122000000.0,-491000000.0,-321000000.0,-310000000.0,,
Other Special Charges,1122000000.0,491000000.0,321000000.0,310000000.0,,
Gain On Sale Of Security,21367000000.0,14097000000.0,14532000000.0,11842000000.0,8518000000.0,
Depreciation Amortization Depletion Income Statement,1856000000.0,1921000000.0,1804000000.0,1838000000.0,,
Depreciation And Amortization In Income Statement,1856000000.0,1921000000.0,1804000000.0,1838000000.0,,
Selling General And Administration,9301000000.0,15730000000.0,16957000000.0,13415000000.0,-6534000000.0,
Selling And Marketing Expense,387000000.0,471000000.0,459000000.0,423000000.0,,
General And Administrative Expense,8914000000.0,15259000000.0,16498000000.0,12992000000.0,-8510000000.0,
Other Gand A,-1038000000.0,5385000000.0,6167000000.0,4057000000.0,-44929000000.0,
Insurance And Claims,193000000.0,199000000.0,134000000.0,227000000.0,,
Salaries And Wages,9759000000.0,9675000000.0,10197000000.0,8708000000.0,,
Total Revenue,42119000000.0,42166000000.0,38368000000.0,42592000000.0,33802000000.0,
Operating Revenue,42119000000.0,42166000000.0,38368000000.0,42592000000.0,33802000000.0,
Other Non Interest Expense,8487000000.0,2727000000.0,1737000000.0,5776000000.0,10339000000.0,
