,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-69748600.016848,-53951310.0,-23760248.4,-35899166.011015,-19669482.0
Tax Rate For Calcs,0.197329,0.210047,0.1316,0.106538,0.087
Normalized EBITDA,1424378000.0,1165520000.0,824273000.0,1279336000.0,888026000.0
Total Unusual Items,-353463000.0,-256911000.0,-180549000.0,-336960000.0,-226086000.0
Total Unusual Items Excluding Goodwill,-353463000.0,-256911000.0,-180549000.0,-336960000.0,-226086000.0
Net Income From Continuing Operation Net Minority Interest,552642000.0,404496000.0,221033000.0,487168000.0,255266000.0
Reconciled Depreciation,321360000.0,334569000.0,316463000.0,317934000.0,308349000.0
Reconciled Cost Of Revenue,1884324000.0,1563766000.0,1236106000.0,1845079000.0,1347782000.0
EBITDA,1070915000.0,908609000.0,643724000.0,942376000.0,661940000.0
EBIT,749555000.0,574040000.0,327261000.0,624442000.0,353591000.0
Net Interest Income,-133030000.0,-208666000.0,-152669000.0,-175129000.0,-133309000.0
Interest Expense,61051000.0,61989000.0,72739000.0,79183000.0,73991000.0
Interest Income,62114000.0,27493000.0,47850000.0,50198000.0,72351000.0
Normalized Income,836356399.983152,607455690.0,377821751.6,788228833.988985,461682518.0
Net Income From Continuing And Discontinued Operation,552642000.0,404496000.0,221033000.0,487168000.0,255266000.0
Total Expenses,3623056000.0,3207888000.0,2668538000.0,3546103000.0,2748286000.0
Rent Expense Supplemental,139041000.0,131077000.0,115997000.0,128696000.0,111135000.0
Diluted Average Shares,982199256.0,1005208000.0,1046557765.0,1051732113.0,1056127431.0
Basic Average Shares,982199256.0,1005208000.0,1041346000.0,1051732113.0,1051732000.0
Diluted EPS,0.562717,0.3999,0.2112,0.463141,0.2417
Basic EPS,0.562717,0.4024,0.2123,0.463141,0.2427
Diluted NI Availto Com Stockholders,552642000.0,404496000.0,221033000.0,487168000.0,255266000.0
Net Income Common Stockholders,552642000.0,404496000.0,221033000.0,487168000.0,255266000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,552642000.0,404496000.0,221033000.0,487168000.0,255266000.0
Net Income Including Noncontrolling Interests,552642000.0,404496000.0,221033000.0,487168000.0,255266000.0
Net Income Continuous Operations,552642000.0,404496000.0,221033000.0,487168000.0,255266000.0
Tax Provision,135862000.0,107555000.0,33489000.0,58091000.0,24334000.0
Pretax Income,688504000.0,512051000.0,254522000.0,545259000.0,279600000.0
Other Non Operating Income Expenses,,,,,73000.0
Special Income Charges,-353609000.0,-257063000.0,-180704000.0,-347903000.0,-226107000.0
Write Off,254536000.0,255735000.0,177141000.0,214399000.0,224796000.0
Impairment Of Capital Assets,99073000.0,1328000.0,3563000.0,133504000.0,1311000.0
Net Non Operating Interest Income Expense,-133030000.0,-208666000.0,-152669000.0,-175129000.0,-133309000.0
Total Other Finance Cost,134093000.0,174170000.0,127780000.0,146144000.0,131669000.0
Interest Expense Non Operating,61051000.0,61989000.0,72739000.0,79183000.0,73991000.0
Interest Income Non Operating,62114000.0,27493000.0,47850000.0,50198000.0,72351000.0
Operating Income,1217790000.0,959678000.0,589038000.0,1071114000.0,642223000.0
Operating Expense,1738732000.0,1644122000.0,1432432000.0,1701024000.0,1400504000.0
Other Operating Expenses,40882000.0,18784000.0,,13503000.0,6830000.0
Depreciation And Amortization In Income Statement,309848000.0,323073000.0,304951000.0,306470000.0,296223000.0
Depreciation Income Statement,309848000.0,323073000.0,304951000.0,306470000.0,296223000.0
Selling General And Administration,594227000.0,560716000.0,466344000.0,604449000.0,476732000.0
Selling And Marketing Expense,456131000.0,429985000.0,362550000.0,471625000.0,362607000.0
General And Administrative Expense,138096000.0,130731000.0,103794000.0,132824000.0,114125000.0
Rent And Landing Fees,139041000.0,131077000.0,115997000.0,128696000.0,111135000.0
Gross Profit,2956522000.0,2603800000.0,2021470000.0,2772138000.0,2042727000.0
Cost Of Revenue,1884324000.0,1563766000.0,1236106000.0,1845079000.0,1347782000.0
Total Revenue,4840846000.0,4167566000.0,3257576000.0,4617217000.0,3390509000.0
Operating Revenue,4840846000.0,4167566000.0,3257576000.0,4617217000.0,3390509000.0
