,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,2083547000.0,1625819000.0,2020670000.0,3766306000.0,2578314000.0,
Repurchase Of Capital Stock,-319042000.0,-515276000.0,-799778000.0,-544303000.0,-663244000.0,
Repayment Of Debt,-26496825000.0,-24062011000.0,-26469282000.0,-23309674000.0,-21730325000.0,
Issuance Of Debt,29015670000.0,26831350000.0,24060233000.0,19443279000.0,18307473000.0,
Issuance Of Capital Stock,,,,0.0,,
Capital Expenditure,-1413532000.0,-1361090000.0,-939901000.0,-1333665000.0,-938681000.0,
End Cash Position,5656167000.0,4467510000.0,3855210000.0,4516687000.0,4790967000.0,
Beginning Cash Position,4467510000.0,3855210000.0,4516687000.0,4790967000.0,5490394000.0,
Effect Of Exchange Rate Changes,-345535000.0,-352254000.0,-568340000.0,1382753000.0,-284469000.0,
Changes In Cash,1534192000.0,964554000.0,-93137000.0,-1657033000.0,-414958000.0,
Other Cash Adjustment Inside Changein Cash,,19529000.0,114894000.0,,,47624000.0
Financing Cash Flow,-1739532000.0,1902323000.0,-3564159000.0,-8133711000.0,-3842111000.0,
Net Other Financing Charges,43320000.0,-13561000.0,-52867000.0,-196023000.0,557612000.0,
Cash Dividends Paid,-3845562000.0,-5000.0,-119000.0,,,
Common Stock Dividend Paid,,,,-3135078000.0,0.0,
Net Common Stock Issuance,-122990000.0,-515276000.0,-799778000.0,-544303000.0,-663244000.0,
Common Stock Payments,-319042000.0,-515276000.0,-799778000.0,-544303000.0,-663244000.0,
Common Stock Issuance,,,,0.0,,
Net Issuance Payments Of Debt,2518845000.0,2769339000.0,-2409049000.0,-3866395000.0,-3422852000.0,
Net Long Term Debt Issuance,2518845000.0,2769339000.0,-2409049000.0,-3866395000.0,-3422852000.0,
Long Term Debt Payments,-26496825000.0,-24062011000.0,-26469282000.0,-23309674000.0,-21730325000.0,
Long Term Debt Issuance,29015670000.0,26831350000.0,24060233000.0,19443279000.0,18307473000.0,
Investing Cash Flow,-88932000.0,-3944207000.0,395557000.0,-3509622000.0,199257000.0,
Net Investment Purchase And Sale,1324600000.0,-2535117000.0,1320186000.0,-2175957000.0,1137938000.0,
Sale Of Investment,,,1831292000.0,,,
Purchase Of Investment,-46590000.0,-703825000.0,-511106000.0,-2175957000.0,1137938000.0,
Net Business Purchase And Sale,,,15272000.0,,,
Sale Of Business,,,15272000.0,,,
Net Intangibles Purchase And Sale,-32191000.0,-110368000.0,-48352000.0,-26309000.0,-25366000.0,
Purchase Of Intangibles,-32191000.0,-110368000.0,-48352000.0,-26309000.0,-25366000.0,
Net PPE Purchase And Sale,-953678000.0,-833265000.0,-501747000.0,-921858000.0,-556977000.0,
Purchase Of PPE,-953678000.0,-833265000.0,-501747000.0,-921858000.0,-556977000.0,
Capital Expenditure Reported,-427663000.0,-417457000.0,-389802000.0,-385498000.0,-356338000.0,
Operating Cash Flow,3497079000.0,2986909000.0,2960571000.0,5099971000.0,3516995000.0,
Change In Working Capital,-257067000.0,-266183000.0,-762689000.0,114898000.0,-449959000.0,
Change In Other Current Assets,-576928000.0,-123003000.0,-1837345000.0,11896000.0,184165000.0,
Change In Accrued Expense,877486000.0,-326206000.0,-12756000.0,,106587000.0,213068000.0
Change In Payable,1223311000.0,551388000.0,935926000.0,-1674330000.0,-276035000.0,
Change In Inventory,-1598494000.0,-1470566000.0,-182213000.0,931458000.0,-1023097000.0,
Change In Receivables,-182442000.0,1102204000.0,333699000.0,966210000.0,558421000.0,
Other Non Cash Items,1811563000.0,1561502000.0,1716494000.0,1793637000.0,1362640000.0,
Provisionand Write Offof Assets,53268000.0,286507000.0,184301000.0,1329164000.0,43705000.0,
Deferred Tax,-300828000.0,-628235000.0,-481097000.0,-1406915000.0,-148941000.0,
Depreciation And Amortization,1904796000.0,1865787000.0,1794756000.0,1958676000.0,1782428000.0,
Amortization Cash Flow,255172000.0,,,,,
Depreciation,1649624000.0,1366979000.0,1794756000.0,974017000.0,1782428000.0,
Gain Loss On Investment Securities,0.0,0.0,-3523000.0,0.0,0.0,
Net Foreign Currency Exchange Gain Loss,58486000.0,-6465000.0,88887000.0,13215000.0,332230000.0,
Net Income From Continuing Operations,116816000.0,61685000.0,88648000.0,1125866000.0,219234000.0,
