,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,0.0,20778420.0,7048322.4,-38714100.0,-4886127.0
Tax Rate For Calcs,0.377251,0.34,0.3774,0.34,0.3798
Normalized EBITDA,1718894000.0,1840880000.0,1795141000.0,1622085000.0,1776044000.0
Total Unusual Items,,61113000.0,18676000.0,-113865000.0,-12865000.0
Total Unusual Items Excluding Goodwill,,61113000.0,18676000.0,-113865000.0,-12865000.0
Net Income From Continuing Operation Net Minority Interest,248468000.0,897243000.0,545056000.0,217852000.0,422004000.0
Reconciled Depreciation,369282000.0,493224000.0,286328000.0,566312000.0,336633000.0
Reconciled Cost Of Revenue,2034510000.0,2616710000.0,2343087000.0,4378782000.0,3645491000.0
EBITDA,1718894000.0,1901993000.0,1813817000.0,1508220000.0,1763179000.0
EBIT,1349612000.0,1408769000.0,1527489000.0,941908000.0,1426546000.0
Net Interest Income,158874000.0,-1235991000.0,-1233684000.0,-959804000.0,-897591000.0
Interest Expense,,745987000.0,645262000.0,548616000.0,687478000.0
Interest Income,,25625000.0,28122000.0,25828000.0,28817000.0
Normalized Income,248468000.0,856908420.0,533428322.4,293002900.0,429982873.0
Net Income From Continuing And Discontinued Operation,605757000.0,897243000.0,545056000.0,217852000.0,422004000.0
Total Expenses,2262255000.0,3082500000.0,2770793000.0,4958888000.0,4186416000.0
Rent Expense Supplemental,,2634000.0,1413000.0,,
Diluted Average Shares,,2020000000.0,2019997776.0,,2020000000.0
Basic Average Shares,,2010536000.0,2019997776.0,,2013905000.0
Diluted EPS,,0.44418,0.26983,,0.20891
Basic EPS,,0.44627,0.26983,,0.20955
Diluted NI Availto Com Stockholders,605757000.0,897243000.0,545056000.0,217852000.0,422004000.0
Net Income Common Stockholders,605757000.0,897243000.0,545056000.0,217852000.0,422004000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,605757000.0,897243000.0,545056000.0,217852000.0,422004000.0
Minority Interests,-44901000.0,12809000.0,-4227000.0,-12084000.0,-36366000.0
Net Income Including Noncontrolling Interests,650658000.0,884434000.0,549283000.0,229936000.0,458370000.0
Net Income Continuous Operations,293369000.0,884434000.0,549283000.0,229936000.0,458370000.0
Tax Provision,177718000.0,-221652000.0,332944000.0,163356000.0,280698000.0
Pretax Income,471087000.0,662782000.0,882227000.0,393292000.0,739068000.0
Net Non Operating Interest Income Expense,158874000.0,-1235991000.0,-1233684000.0,-959804000.0,-897591000.0
Total Other Finance Cost,,515629000.0,616544000.0,437016000.0,238930000.0
Interest Expense Non Operating,,745987000.0,645262000.0,548616000.0,687478000.0
Interest Income Non Operating,,25625000.0,28122000.0,25828000.0,28817000.0
Operating Income,983125000.0,1579780000.0,1825079000.0,1253861000.0,1403393000.0
Operating Expense,227745000.0,465790000.0,427706000.0,580106000.0,540925000.0
Other Operating Expenses,-198887000.0,-61280000.0,-38626000.0,171620000.0,54780000.0
Depreciation And Amortization In Income Statement,28839000.0,23956000.0,22416000.0,23562000.0,21603000.0
Depreciation Income Statement,28839000.0,23956000.0,22416000.0,23562000.0,21603000.0
Selling General And Administration,-7067000.0,252276000.0,181708000.0,120414000.0,220782000.0
Selling And Marketing Expense,29072000.0,22128000.0,7517000.0,40573000.0,11800000.0
General And Administrative Expense,-36139000.0,230148000.0,174191000.0,79841000.0,208982000.0
Rent And Landing Fees,,2634000.0,1413000.0,,
Gross Profit,1210870000.0,2045570000.0,2252785000.0,1833967000.0,1944318000.0
Cost Of Revenue,2034510000.0,2616710000.0,2343087000.0,4378782000.0,3645491000.0
Total Revenue,3245380000.0,4662280000.0,4595872000.0,6212749000.0,5589809000.0
Operating Revenue,3245380000.0,4662280000.0,4595872000.0,6212749000.0,5589809000.0
