,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-2461260.0,0.0,0.0,-163043967.384238,130484082.383605,,
Tax Rate For Calcs,0.34,0.34,0.259725,0.291456,0.20564,,
Normalized EBITDA,1281803000.0,1579227000.0,1477823000.0,1769451000.0,570044000.0,,
Total Unusual Items,-7239000.0,,,-559412000.0,634528000.0,,
Total Unusual Items Excluding Goodwill,-7239000.0,,,-559412000.0,634528000.0,,
Net Income From Continuing Operation Net Minority Interest,102346000.0,69955000.0,67596000.0,78467000.0,62173000.0,,
Reconciled Depreciation,639359000.0,624564000.0,593733000.0,572374000.0,559348000.0,,
Reconciled Cost Of Revenue,2415236000.0,2547693000.0,2524221000.0,2422666000.0,2191610000.0,,
EBITDA,1274564000.0,1579227000.0,1477823000.0,1210039000.0,1204572000.0,,
EBIT,635205000.0,954663000.0,884090000.0,637665000.0,645224000.0,,
Net Interest Income,-609142000.0,-795318000.0,-694079000.0,-595577000.0,-611223000.0,,
Interest Expense,548434000.0,895889000.0,792778000.0,526921000.0,566956000.0,,
Interest Income,6023000.0,100571000.0,98699000.0,4898000.0,3782000.0,,
Normalized Income,107123740.0,69955000.0,67596000.0,474835032.615762,-441870917.616395,,
Net Income From Continuing And Discontinued Operation,102346000.0,69955000.0,67596000.0,78467000.0,62173000.0,,
Total Expenses,2837465000.0,2911751000.0,2893614000.0,2802277000.0,2610948000.0,,
Total Operating Income As Reported,-393047000.0,-364058000.0,-369393000.0,,539344000.0,-361030000.0,
Diluted Average Shares,,345557569.0,348709021.0,359851816.0,,363811384.0,363813491.0
Basic Average Shares,,345557569.0,348709021.0,359844179.0,,363811384.0,363813491.0
Diluted EPS,,0.202441,0.193846,0.21808,,0.215013,0.116945
Basic EPS,,0.202441,0.193846,0.21808,,0.215013,0.116945
Diluted NI Availto Com Stockholders,102346000.0,69955000.0,67596000.0,78467000.0,62173000.0,,
Net Income Common Stockholders,102346000.0,69955000.0,67596000.0,78467000.0,62173000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,102346000.0,69955000.0,67596000.0,78467000.0,62173000.0,,
Net Income Including Noncontrolling Interests,102346000.0,69955000.0,67596000.0,78467000.0,62173000.0,,
Net Income Continuous Operations,102346000.0,69955000.0,67596000.0,78467000.0,62173000.0,,
Tax Provision,-15575000.0,-11181000.0,23716000.0,32277000.0,16095000.0,,
Pretax Income,86771000.0,58774000.0,91312000.0,110744000.0,78268000.0,,
Net Non Operating Interest Income Expense,-609142000.0,-795318000.0,-694079000.0,-595577000.0,-611223000.0,,
Total Other Finance Cost,66731000.0,,,73554000.0,48049000.0,,
Interest Expense Non Operating,548434000.0,895889000.0,792778000.0,526921000.0,566956000.0,,
Interest Income Non Operating,6023000.0,100571000.0,98699000.0,4898000.0,3782000.0,,
Operating Income,821510000.0,854092000.0,785391000.0,765954000.0,637209000.0,,
Operating Expense,422229000.0,364058000.0,369393000.0,379611000.0,419338000.0,,
Other Operating Expenses,97319000.0,48556000.0,55784000.0,81575000.0,112449000.0,,
Selling General And Administration,324910000.0,315502000.0,313609000.0,298036000.0,306889000.0,,
Selling And Marketing Expense,169384000.0,174750000.0,163301000.0,154820000.0,161498000.0,,
General And Administrative Expense,155526000.0,140752000.0,150308000.0,143216000.0,145391000.0,,
Gross Profit,1243739000.0,1218150000.0,1154784000.0,1145565000.0,1056547000.0,,
Cost Of Revenue,2415236000.0,2547693000.0,2524221000.0,2422666000.0,2191610000.0,,
Total Revenue,3658975000.0,3765843000.0,3679005000.0,3568231000.0,3248157000.0,,
Operating Revenue,3658975000.0,3765843000.0,3679005000.0,3568231000.0,3248157000.0,,
