,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,238619000.0,9605000.0,162645000.0,-168902000.0,-264994000.0,
Repurchase Of Capital Stock,-29423000.0,4923000.0,2082000.0,-19168000.0,762000.0,
Repayment Of Debt,-1543792000.0,-1177951000.0,-1154568000.0,-1117208000.0,-888070000.0,
Issuance Of Debt,1339343000.0,1796750000.0,767656000.0,1111919000.0,1689678000.0,
Issuance Of Capital Stock,0.0,0.0,0.0,0.0,0.0,
Capital Expenditure,-70043000.0,-73493000.0,-77827000.0,-78652000.0,-63957000.0,
End Cash Position,255863000.0,715735000.0,322566000.0,534083000.0,414563000.0,
Beginning Cash Position,715735000.0,322566000.0,534083000.0,414563000.0,339990000.0,
Effect Of Exchange Rate Changes,-2113000.0,-22935000.0,1749000.0,-36117000.0,27999000.0,
Changes In Cash,-457759000.0,416104000.0,-213266000.0,155637000.0,46574000.0,
Financing Cash Flow,-904113000.0,555245000.0,-798231000.0,-311272000.0,766596000.0,
Net Other Financing Charges,-564849000.0,251250000.0,-189749000.0,-58107000.0,87558000.0,
Interest Paid Cff,-214618000.0,-210501000.0,-223652000.0,-228708000.0,-158844000.0,
Net Common Stock Issuance,-29423000.0,4923000.0,2082000.0,-19168000.0,762000.0,
Common Stock Payments,-29423000.0,4923000.0,2082000.0,-19168000.0,762000.0,
Common Stock Issuance,0.0,0.0,0.0,0.0,0.0,
Net Issuance Payments Of Debt,-204449000.0,618799000.0,-386912000.0,-5289000.0,801608000.0,
Net Long Term Debt Issuance,-204449000.0,618799000.0,-386912000.0,-5289000.0,801608000.0,
Long Term Debt Payments,-1543792000.0,-1177951000.0,-1154568000.0,-1117208000.0,-888070000.0,
Long Term Debt Issuance,1339343000.0,1796750000.0,767656000.0,1111919000.0,1689678000.0,
Investing Cash Flow,137692000.0,-222239000.0,344493000.0,557159000.0,-518985000.0,
Net Investment Purchase And Sale,119013000.0,-364840000.0,149256000.0,785352000.0,-1049034000.0,
Sale Of Investment,10539232000.0,262520000.0,751799000.0,4121111000.0,6013996000.0,
Purchase Of Investment,-10420219000.0,-627360000.0,-602543000.0,-3335759000.0,-7063030000.0,
Net Investment Properties Purchase And Sale,-30884000.0,10302000.0,-46292000.0,-146700000.0,-258198000.0,
Purchase Of Investment Properties,-30884000.0,10302000.0,-46292000.0,-146700000.0,-258198000.0,
Net Business Purchase And Sale,-5678000.0,206829000.0,321036000.0,-1068000.0,885071000.0,
Sale Of Business,0.0,195829000.0,333994000.0,0.0,892917000.0,
Purchase Of Business,-5678000.0,11000000.0,-12958000.0,-1068000.0,-7846000.0,
Net PPE Purchase And Sale,-70043000.0,-73493000.0,-77827000.0,-78652000.0,-63957000.0,
Purchase Of PPE,-70043000.0,-73493000.0,-77827000.0,-78652000.0,-63957000.0,
Operating Cash Flow,308662000.0,83098000.0,240472000.0,-90250000.0,-201037000.0,
Taxes Refund Paid,-60122000.0,-37352000.0,-40965000.0,-38429000.0,-57749000.0,
Interest Paid Cfo,-15295000.0,-16691000.0,-16671000.0,-22217000.0,-18921000.0,
Change In Working Capital,-33853000.0,-417697000.0,-200100000.0,-361089000.0,-437622000.0,
Change In Other Current Liabilities,,43795000.0,54398000.0,-15901000.0,,43886000.0
Change In Other Current Assets,-2599000.0,-166763000.0,-11083000.0,170045000.0,-463866000.0,
Change In Payable,102403000.0,61424000.0,73623000.0,-48263000.0,134108000.0,
Change In Prepaid Assets,3959000.0,-16831000.0,-54796000.0,-32642000.0,-61899000.0,
Change In Inventory,272056000.0,125889000.0,54568000.0,-160182000.0,147877000.0,
Change In Receivables,-381660000.0,-445217000.0,-336804000.0,-274146000.0,-160819000.0,
Other Non Cash Items,137658000.0,317239000.0,345640000.0,283533000.0,154651000.0,
Stock Based Compensation,3394000.0,3851000.0,3852000.0,3063000.0,5353000.0,
Provisionand Write Offof Assets,117114000.0,109727000.0,122941000.0,111336000.0,134761000.0,
Deferred Tax,33009000.0,2494000.0,8752000.0,15333000.0,52669000.0,
Depreciation And Amortization,59172000.0,58375000.0,69287000.0,64774000.0,43073000.0,
Depreciation,59172000.0,58375000.0,69287000.0,64774000.0,43073000.0,
Gain Loss On Investment Securities,36333000.0,-4185000.0,-19696000.0,32271000.0,116083000.0,
Gain Loss On Sale Of Business,,-7647000.0,,,,-57407000.0
Net Income From Continuing Operations,53494000.0,104841000.0,-838363000.0,-362676000.0,-242025000.0,
