,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,557471000.0,226855000.0,323404000.0,524595000.0,276843000.0,
Repurchase Of Capital Stock,,-25471000.0,0.0,-2000000000.0,0.0,-84464000.0
Repayment Of Debt,,-240591000.0,-87291000.0,-17591000.0,-20336000.0,-299901000.0
Issuance Of Debt,,,,1795745000.0,497929000.0,
Issuance Of Capital Stock,,,-5918000.0,,,
Capital Expenditure,,-8322000.0,-8888000.0,-13040000.0,-7828000.0,-7364000.0
End Cash Position,,87867000.0,71705000.0,49603000.0,55292000.0,-107031000.0
Beginning Cash Position,,71705000.0,49603000.0,55292000.0,-107031000.0,50544000.0
Changes In Cash,557471000.0,65765000.0,22102000.0,-5689000.0,1058862000.0,
Financing Cash Flow,,-640188000.0,-240888000.0,-539798000.0,303329000.0,-332534000.0
Net Other Financing Charges,,1034000.0,-5919000.0,-2000.0,-1000.0,-3000.0
Interest Paid Cff,,-400631000.0,-122207000.0,-93916000.0,131510000.0,-242067000.0
Cash Dividends Paid,,,,-210186000.0,,
Common Stock Dividend Paid,,,,-210186000.0,,
Net Common Stock Issuance,,-25471000.0,0.0,-1997445000.0,-2555000.0,-84464000.0
Common Stock Payments,,-25471000.0,0.0,-2000000000.0,0.0,-84464000.0
Common Stock Issuance,,,-5918000.0,,,
Net Issuance Payments Of Debt,,-240591000.0,-87291000.0,1778154000.0,477593000.0,-6000000.0
Net Long Term Debt Issuance,,-240591000.0,-87291000.0,1778154000.0,477593000.0,-6000000.0
Long Term Debt Payments,,-240591000.0,-87291000.0,-17591000.0,-20336000.0,-299901000.0
Long Term Debt Issuance,,,,1795745000.0,497929000.0,
Investing Cash Flow,,470776000.0,-69302000.0,-3526000.0,-558100000.0,-35407000.0
Net Other Investing Changes,,6469000.0,7123000.0,-12883000.0,65247000.0,12948000.0
Dividends Received Cfi,,0.0,0.0,0.0,0.0,0.0
Net Investment Purchase And Sale,,592525000.0,4050000.0,256171000.0,-383501000.0,186966000.0
Sale Of Investment,,1114966000.0,701188000.0,1514962000.0,667412000.0,1022010000.0
Purchase Of Investment,,-522441000.0,-697138000.0,-1258791000.0,-1050913000.0,-835044000.0
Net Investment Properties Purchase And Sale,,-119896000.0,-71587000.0,-233774000.0,-232018000.0,-227957000.0
Purchase Of Investment Properties,,-119896000.0,-71587000.0,-233774000.0,-232018000.0,-227957000.0
Net Intangibles Purchase And Sale,,-7550000.0,-8229000.0,-12543000.0,-6764000.0,-4557000.0
Purchase Of Intangibles,,-7550000.0,-8229000.0,-12543000.0,-6764000.0,-4557000.0
Net PPE Purchase And Sale,,-772000.0,-659000.0,-497000.0,-1064000.0,-2807000.0
Purchase Of PPE,,-772000.0,-659000.0,-497000.0,-1064000.0,-2807000.0
Operating Cash Flow,557471000.0,235177000.0,332292000.0,537635000.0,259936000.0,
Taxes Refund Paid,-21100000.0,-22051000.0,-35262000.0,-40261000.0,-20762000.0,
Change In Working Capital,-219457000.0,-205373000.0,-33870000.0,-167535000.0,-79656000.0,
Change In Other Current Liabilities,-2876000.0,1951000.0,-3041000.0,-2648000.0,11972000.0,
Change In Other Current Assets,-63094000.0,-37999000.0,-29474000.0,101241000.0,-14094000.0,
Change In Payable,102892000.0,-108398000.0,-37667000.0,-24264000.0,2085000.0,
Change In Inventory,-25644000.0,50809000.0,-75280000.0,84015000.0,-72956000.0,
Change In Receivables,-230735000.0,-111736000.0,111592000.0,-325879000.0,-6663000.0,
Other Non Cash Items,235534000.0,122170000.0,91697000.0,173077000.0,128478000.0,
Stock Based Compensation,9772000.0,11013000.0,7543000.0,8241000.0,13126000.0,
Provisionand Write Offof Assets,10797000.0,3133000.0,-8049000.0,3485000.0,-14125000.0,
Depreciation And Amortization,33500000.0,33553000.0,38863000.0,35652000.0,34329000.0,
Amortization Cash Flow,6060000.0,,5137000.0,4892000.0,4497000.0,4491000.0
Depreciation,27440000.0,38690000.0,33726000.0,30760000.0,20975000.0,
Gain Loss On Investment Securities,-21486000.0,1001000.0,560000.0,-30891000.0,-93809000.0,
Net Income From Continuing Operations,524545000.0,291731000.0,270811000.0,555820000.0,328273000.0,
