,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31
Tax Effect Of Unusual Items,1012800.0,-25056640.0,-10032040.0,9070520.0,-828240.0
Tax Rate For Calcs,0.4,0.34,0.34,0.34,0.34
Normalized EBITDA,-233147000.0,-790099000.0,-1579308000.0,77233000.0,142160000.0
Total Unusual Items,2532000.0,-73696000.0,-29506000.0,26678000.0,-2436000.0
Total Unusual Items Excluding Goodwill,2532000.0,-73696000.0,-29506000.0,26678000.0,-2436000.0
Net Income From Continuing Operation Net Minority Interest,-364204000.0,-1453981000.0,-1882321000.0,-140992000.0,-146494000.0
Reconciled Depreciation,72539000.0,79690000.0,73159000.0,70436000.0,74109000.0
Reconciled Cost Of Revenue,961321000.0,887918000.0,959854000.0,1024382000.0,1080912000.0
EBITDA,-230615000.0,-863795000.0,-1608814000.0,103911000.0,139724000.0
EBIT,-303154000.0,-943485000.0,-1681973000.0,33475000.0,65615000.0
Net Interest Income,-157641000.0,-152686000.0,-193862000.0,-234810000.0,-196030000.0
Interest Expense,132945000.0,143440000.0,172053000.0,163159000.0,157622000.0
Interest Income,766000.0,9525000.0,1636000.0,1136000.0,823000.0
Normalized Income,-365723200.0,-1405341640.0,-1862847040.0,-158599480.0,-144886240.0
Net Income From Continuing And Discontinued Operation,-364204000.0,-1453981000.0,-1882321000.0,-140992000.0,-146494000.0
Total Expenses,1451936000.0,2253893000.0,3075619000.0,1414359000.0,1462015000.0
Diluted Average Shares,881304996.0,,674056596.0,647814372.0,653129390.0
Basic Average Shares,881304996.0,,674056596.0,647814372.0,653129390.0
Diluted EPS,-0.4133,,-2.792499,-0.1759,-0.202104
Basic EPS,-0.4133,,-2.792499,-0.1759,-0.202104
Diluted NI Availto Com Stockholders,-364204000.0,-1453981000.0,-1882321000.0,-140992000.0,-146494000.0
Net Income Common Stockholders,-364204000.0,-1453981000.0,-1882321000.0,-140992000.0,-146494000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,-364204000.0,-1453981000.0,-1882321000.0,-140992000.0,-146494000.0
Minority Interests,74453000.0,62164000.0,-1624000.0,1300000.0,-14520000.0
Net Income Including Noncontrolling Interests,-438657000.0,-1516145000.0,-1880697000.0,-142292000.0,-131974000.0
Net Income Continuous Operations,-438657000.0,-1516145000.0,-1880697000.0,-142292000.0,-131974000.0
Tax Provision,2558000.0,429220000.0,26671000.0,12608000.0,39967000.0
Pretax Income,-436099000.0,-1086925000.0,-1854026000.0,-129684000.0,-92007000.0
Net Non Operating Interest Income Expense,-157641000.0,-152686000.0,-193862000.0,-234810000.0,-196030000.0
Total Other Finance Cost,25462000.0,18771000.0,23445000.0,72787000.0,39231000.0
Interest Expense Non Operating,132945000.0,143440000.0,172053000.0,163159000.0,157622000.0
Interest Income Non Operating,766000.0,9525000.0,1636000.0,1136000.0,823000.0
Operating Income,-291165000.0,-885064000.0,-1662626000.0,50030000.0,31141000.0
Operating Expense,490615000.0,1365975000.0,2115765000.0,389977000.0,381103000.0
Other Operating Expenses,177544000.0,999391000.0,1832182000.0,37656000.0,22259000.0
Selling General And Administration,313071000.0,366584000.0,283583000.0,352321000.0,358844000.0
General And Administrative Expense,313071000.0,366584000.0,283583000.0,352321000.0,358844000.0
Gross Profit,199450000.0,480911000.0,453139000.0,440007000.0,412244000.0
Cost Of Revenue,961321000.0,887918000.0,959854000.0,1024382000.0,1080912000.0
Total Revenue,1160771000.0,1368829000.0,1412993000.0,1464389000.0,1493156000.0
Operating Revenue,1160771000.0,1368829000.0,1412993000.0,1464389000.0,1493156000.0
