,2026-06-30,2026-03-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,0.0,-239200000.0,,0.0,-17340000.0,0.0
Tax Rate For Calcs,0.014563,0.4,,0.34,0.34,0.34
Normalized EBITDA,422000000.0,444000000.0,,431000000.0,344000000.0,-75000000.0
Total Unusual Items,,-598000000.0,,,-51000000.0,
Total Unusual Items Excluding Goodwill,,-598000000.0,,,-51000000.0,
Net Income From Continuing Operation Net Minority Interest,-203000000.0,-1347000000.0,,-176000000.0,-94000000.0,-737000000.0
Reconciled Depreciation,243000000.0,283000000.0,,293000000.0,285000000.0,291000000.0
Reconciled Cost Of Revenue,2939000000.0,3043000000.0,,3396000000.0,3452000000.0,3803000000.0
EBITDA,422000000.0,-154000000.0,,431000000.0,293000000.0,-75000000.0
EBIT,179000000.0,-437000000.0,,138000000.0,8000000.0,-366000000.0
Net Interest Income,-385000000.0,-393000000.0,,-304000000.0,-334000000.0,-313000000.0
Interest Expense,385000000.0,316000000.0,,304000000.0,287000000.0,369000000.0
Interest Income,,30000000.0,,,41000000.0,56000000.0
Normalized Income,-203000000.0,-988200000.0,,-176000000.0,-60340000.0,-737000000.0
Net Income From Continuing And Discontinued Operation,-252000000.0,-1437000000.0,,-216000000.0,-169000000.0,-1104000000.0
Total Expenses,4068000000.0,4151000000.0,,4557000000.0,4677000000.0,5657000000.0
Total Operating Income As Reported,179000000.0,,,138000000.0,,
Diluted Average Shares,502983972.0,507000000.0,490232347.0,490118218.0,512000000.0,
Basic Average Shares,502983972.0,491000000.0,490232347.0,490118218.0,490000000.0,
Diluted EPS,-0.50101,-2.9279,0.27334,-0.44071,-0.34483,
Basic EPS,-0.50101,-2.9279,0.27334,-0.44071,-0.34483,
Diluted NI Availto Com Stockholders,-252000000.0,-1437000000.0,,-216000000.0,-169000000.0,-1104000000.0
Net Income Common Stockholders,-252000000.0,-1437000000.0,,-216000000.0,-169000000.0,-1104000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,,0.0,0.0,
Net Income,-252000000.0,-1437000000.0,,-216000000.0,-169000000.0,-1104000000.0
Minority Interests,0.0,-1000000.0,,-1000000.0,-1000000.0,-1000000.0
Net Income Including Noncontrolling Interests,-252000000.0,-1436000000.0,,-215000000.0,-168000000.0,-1103000000.0
Net Income Discontinuous Operations,-49000000.0,-90000000.0,,-40000000.0,-75000000.0,-367000000.0
Net Income Continuous Operations,-203000000.0,-1345000000.0,,-175000000.0,-93000000.0,-736000000.0
Tax Provision,-3000000.0,593000000.0,,9000000.0,-187000000.0,1000000.0
Pretax Income,-206000000.0,-753000000.0,,-166000000.0,-279000000.0,-735000000.0
Other Income Expense,,,,,,15000000.0
Special Income Charges,,-610000000.0,,,-67000000.0,
Other Special Charges,,564000000.0,,,7000000.0,
Restructuring And Mergern Acquisition,,46000000.0,,,60000000.0,
Earnings From Equity Interest,,,,,,15000000.0
Net Non Operating Interest Income Expense,-385000000.0,-393000000.0,,-304000000.0,-334000000.0,-313000000.0
Total Other Finance Cost,,107000000.0,,,88000000.0,
Interest Expense Non Operating,385000000.0,316000000.0,,304000000.0,287000000.0,369000000.0
Interest Income Non Operating,,30000000.0,,,41000000.0,
Operating Income,160000000.0,224000000.0,,119000000.0,90000000.0,-437000000.0
Operating Expense,1129000000.0,1108000000.0,,1161000000.0,1225000000.0,1854000000.0
Other Operating Expenses,29000000.0,225000000.0,,,18000000.0,628000000.0
Depreciation Amortization Depletion Income Statement,,,,,,265000000.0
Depreciation And Amortization In Income Statement,217000000.0,256000000.0,,265000000.0,258000000.0,265000000.0
Depreciation Income Statement,217000000.0,256000000.0,,265000000.0,258000000.0,
Selling General And Administration,883000000.0,916000000.0,,906000000.0,949000000.0,961000000.0
Selling And Marketing Expense,757000000.0,773000000.0,,760000000.0,764000000.0,797000000.0
General And Administrative Expense,126000000.0,143000000.0,,146000000.0,185000000.0,164000000.0
Other Gand A,,,,,,164000000.0
Gross Profit,1289000000.0,1332000000.0,,1280000000.0,1315000000.0,1417000000.0
Cost Of Revenue,2939000000.0,3043000000.0,,3396000000.0,3452000000.0,3803000000.0
Total Revenue,4228000000.0,4374000000.0,,4676000000.0,4767000000.0,5220000000.0
Operating Revenue,4228000000.0,4374000000.0,,4676000000.0,4767000000.0,5220000000.0
