,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,4739589000.0,-97816360.601002,413991000.0,441427858.368429,876888000.0,,
Tax Rate For Calcs,0.333,0.026711,0.269,0.257994,0.342,,
Normalized EBITDA,56138000000.0,11779000000.0,11931000000.0,9429000000.0,10747000000.0,,
Total Unusual Items,14233000000.0,-3662000000.0,1539000000.0,1711000000.0,2564000000.0,,
Total Unusual Items Excluding Goodwill,14233000000.0,-3662000000.0,1539000000.0,1711000000.0,2564000000.0,,
Net Income From Continuing Operation Net Minority Interest,32663000000.0,2899000000.0,6027000000.0,4734000000.0,5974000000.0,,
Reconciled Depreciation,21614000000.0,4092000000.0,4111000000.0,3697000000.0,3247000000.0,,
Reconciled Cost Of Revenue,43845000000.0,8929000000.0,8406000000.0,7545000000.0,7646000000.0,,
EBITDA,70371000000.0,8117000000.0,13470000000.0,11140000000.0,13311000000.0,,
EBIT,48757000000.0,4025000000.0,9359000000.0,7443000000.0,10064000000.0,,
Net Interest Income,-1008000000.0,-1072000000.0,-1021000000.0,-945000000.0,-909000000.0,,
Interest Expense,-379000000.0,1030000000.0,1076000000.0,1032000000.0,958000000.0,,
Interest Income,609000000.0,110000000.0,98000000.0,,74000000.0,,128000000.0
Normalized Income,23169589000.0,6463183639.398998,4901991000.0,3464427858.368429,4286888000.0,,
Net Income From Continuing And Discontinued Operation,32663000000.0,2899000000.0,6027000000.0,4734000000.0,5974000000.0,,
Total Expenses,87828000000.0,16603000000.0,15748000000.0,15565000000.0,13802000000.0,,
Rent Expense Supplemental,4182000000.0,-2903000000.0,1258000000.0,1224000000.0,1034000000.0,,
Total Operating Income As Reported,,,7976000000.0,5349000000.0,,,
Diluted Average Shares,12888732761.0,,12888732761.0,12888732761.0,12888732761.0,12888732761.0,
Basic Average Shares,12888732761.0,,12888732761.0,12888732761.0,12888732761.0,12888732761.0,
Diluted EPS,2.53,,0.467618,0.37,0.46,-0.215692,
Basic EPS,2.53,,0.467618,0.37,0.46,-0.215692,
Diluted NI Availto Com Stockholders,32663000000.0,2899000000.0,6027000000.0,4734000000.0,5974000000.0,,
Net Income Common Stockholders,32663000000.0,2899000000.0,6027000000.0,4734000000.0,5974000000.0,,
Net Income,32663000000.0,2899000000.0,6027000000.0,4734000000.0,5974000000.0,,
Minority Interests,-98000000.0,-16000000.0,-26000000.0,-23000000.0,-21000000.0,,
Net Income Including Noncontrolling Interests,32761000000.0,2915000000.0,6053000000.0,4757000000.0,5995000000.0,,
Net Income Continuous Operations,32761000000.0,2915000000.0,6053000000.0,4757000000.0,5995000000.0,,
Tax Provision,16375000000.0,80000000.0,2230000000.0,1654000000.0,3111000000.0,,
Pretax Income,49136000000.0,2995000000.0,8283000000.0,6411000000.0,9106000000.0,,
Other Income Expense,14286000000.0,-2938000000.0,1575000000.0,1884000000.0,2744000000.0,,
Other Non Operating Income Expenses,,600000000.0,117000000.0,126000000.0,98000000.0,956000000.0,
Special Income Charges,2606000000.0,-2439000000.0,287000000.0,-157000000.0,-37000000.0,,
Gain On Sale Of Ppe,392000000.0,-61000000.0,10000000.0,14000000.0,57000000.0,,
Other Special Charges,-34000000.0,249000000.0,133000000.0,-19000000.0,44000000.0,,
Write Off,-2180000000.0,,,,50000000.0,,
Impairment Of Capital Assets,,1566000000.0,-287000000.0,190000000.0,,,0.0
Earnings From Equity Interest,53000000.0,-217000000.0,36000000.0,47000000.0,82000000.0,,
Gain On Sale Of Security,11627000000.0,-1223000000.0,1252000000.0,1868000000.0,2601000000.0,,
Net Non Operating Interest Income Expense,-1008000000.0,-1072000000.0,-1021000000.0,-945000000.0,-909000000.0,,
Total Other Finance Cost,1996000000.0,152000000.0,43000000.0,-87000000.0,25000000.0,,
Interest Expense Non Operating,-379000000.0,1030000000.0,1076000000.0,1032000000.0,958000000.0,,
Interest Income Non Operating,609000000.0,110000000.0,98000000.0,,74000000.0,,128000000.0
Operating Income,35858000000.0,7005000000.0,7729000000.0,5472000000.0,7271000000.0,,
Operating Expense,23744000000.0,3837000000.0,3488000000.0,4540000000.0,3117000000.0,,
Other Operating Expenses,-1201000000.0,-4151000000.0,1285000000.0,1068000000.0,76000000.0,,
Other Taxes,2351000000.0,353000000.0,109000000.0,26000000.0,65000000.0,,
Provision For Doubtful Accounts,39000000.0,53000000.0,17000000.0,14000000.0,-4000000.0,,
Depreciation Amortization Depletion Income Statement,1375000000.0,255000000.0,257000000.0,217000000.0,208000000.0,,
Research And Development,1316000000.0,236000000.0,233000000.0,193000000.0,202000000.0,,
Selling General And Administration,16478000000.0,4433000000.0,1587000000.0,2362000000.0,1935000000.0,,
Selling And Marketing Expense,6666000000.0,,,,5240000000.0,,
General And Administrative Expense,9812000000.0,121000000.0,1587000000.0,2362000000.0,1935000000.0,,
Rent And Landing Fees,4182000000.0,-2903000000.0,1258000000.0,1224000000.0,1034000000.0,,
Salaries And Wages,5630000000.0,3024000000.0,329000000.0,1138000000.0,901000000.0,,
Gross Profit,59602000000.0,10842000000.0,11217000000.0,10012000000.0,10388000000.0,,
Cost Of Revenue,64084000000.0,12766000000.0,12260000000.0,11025000000.0,10685000000.0,,
Total Revenue,123686000000.0,23608000000.0,23477000000.0,21037000000.0,21073000000.0,,
Operating Revenue,123686000000.0,23608000000.0,23477000000.0,21037000000.0,21073000000.0,,
