,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,20241000000.0,21583744800.0,26458434300.0,17625666600.0,26041000000.0,
Repurchase Of Capital Stock,,0.0,0.0,0.0,0.0,-282986000.0
Repayment Of Debt,-16447000000.0,-23564540700.0,-14717470800.0,-17639498400.0,-15014000000.0,
Issuance Of Debt,6948000000.0,848563500.0,11943302100.0,13829860800.0,2880550000.0,
Capital Expenditure,-23734000000.0,-38095118100.0,-26021808900.0,-21277866200.0,-23297000000.0,
End Cash Position,34294000000.0,35455903200.0,47730610800.0,38347874400.0,27048364500.0,
Beginning Cash Position,35608000000.0,47730610800.0,37251601200.0,26960000000.0,18844558100.0,
Effect Of Exchange Rate Changes,-1524000000.0,-406034400.0,505846500.0,293921500.0,720137500.0,
Changes In Cash,210000000.0,-12374042700.0,9973163100.0,11745156000.0,7483668900.0,
Financing Cash Flow,-24953000000.0,-34781193900.0,-17134884600.0,-13439410200.0,-31444000000.0,
Cash Flow From Continuing Financing Activities,-24953000000.0,-34781193900.0,-17134884600.0,-13439410200.0,-31444000000.0,
Net Other Financing Charges,-712000000.0,-192699000.0,-702860400.0,615762100.0,74894300.0,
Interest Paid Cff,-3103000000.0,-2653153500.0,-2848714500.0,-1744078400.0,-2948000000.0,
Cash Dividends Paid,-11639000000.0,-9219364200.0,-10809141000.0,-8545173000.0,-16587000000.0,
Common Stock Dividend Paid,,,,-1706000000.0,,
Net Preferred Stock Issuance,,,,,0.0,
Preferred Stock Payments,,,,,0.0,
Net Common Stock Issuance,,,0.0,0.0,,-282986000.0
Common Stock Payments,,,0.0,0.0,,-282986000.0
Net Issuance Payments Of Debt,-9499000000.0,-22715977200.0,-2774168700.0,-3681187600.0,-11902432600.0,
Net Long Term Debt Issuance,-9499000000.0,-22715977200.0,-2774168700.0,-3578620200.0,-12005000000.0,
Long Term Debt Payments,-16447000000.0,-23564540700.0,-14717470800.0,-17639498400.0,-15014000000.0,
Long Term Debt Issuance,6948000000.0,848563500.0,11943302100.0,13829860800.0,3009000000.0,
Investing Cash Flow,-18812000000.0,-37271711700.0,-25372195500.0,-13488499200.0,-10179863700.0,
Cash Flow From Continuing Investing Activities,-18812000000.0,-37271711700.0,-25366870800.0,-13543635500.0,-10179863700.0,
Net Other Investing Changes,2956000000.0,463713300.0,399352500.0,-141092200.0,4869000000.0,
Dividends Received Cfi,9000000.0,142244100.0,425976000.0,92035000.0,45000000.0,
Net Investment Purchase And Sale,2121000000.0,185191800.0,-165065700.0,7789578400.0,8149000000.0,
Purchase Of Investment,,,-31000000.0,,,1070000000.0
Net Business Purchase And Sale,-164000000.0,32257200.0,-10649400.0,-9962800.0,-1000000.0,
Purchase Of Business,,,-2000000.0,-2000000.0,0.0,-9000000.0
Net PPE Purchase And Sale,-23734000000.0,-38095118100.0,-26021808900.0,-21277866200.0,-23297000000.0,
Purchase Of PPE,-23734000000.0,-38095118100.0,-26021808900.0,-20806344400.0,-22825478200.0,
Operating Cash Flow,43975000000.0,59678862900.0,52480243200.0,38903532800.0,49338000000.0,
Cash Flow From Continuing Operating Activities,43975000000.0,59678862900.0,52480243200.0,38903532800.0,49338000000.0,
Taxes Refund Paid,-9485000000.0,-7897103100.0,-4696385400.0,-5457773400.0,-9621037000.0,
Change In Working Capital,-9826000000.0,733242900.0,-9792123300.0,-9349357600.0,-6037632800.0,
Change In Other Working Capital,-5714000000.0,-1616316300.0,-1805073300.0,-5032073600.0,-4868129500.0,
Change In Other Current Liabilities,2600000000.0,-4077236700.0,-425976000.0,175742600.0,-299000000.0,
Change In Other Current Assets,-3526000000.0,1098085800.0,-718834500.0,-1234941000.0,2183456900.0,
Change In Payables And Accrued Expense,2169000000.0,3904527900.0,-2034035400.0,-368516200.0,-2279000000.0,
Change In Payable,2169000000.0,3904527900.0,-2034035400.0,-368516200.0,-1929968500.0,
Change In Account Payable,-1503000000.0,6597243600.0,-308832600.0,2655758100.0,-3105232900.0,
Change In Tax Payable,3672000000.0,-2692715700.0,-1725202800.0,-3373305800.0,987000000.0,
Change In Income Tax Payable,3672000000.0,-2692715700.0,-1725202800.0,-3373305800.0,987000000.0,
Change In Inventory,-4098000000.0,1480977600.0,-1634682900.0,-2607399300.0,-2126000000.0,
Change In Receivables,-1257000000.0,-56795400.0,-3173521200.0,-293269200.0,962000000.0,
Other Non Cash Items,1210000000.0,-2882708700.0,2497284300.0,5340820000.0,1693763400.0,
Provisionand Write Offof Assets,-43000000.0,230672700.0,10649400.0,314811800.0,-112000000.0,
Asset Impairment Charge,85000000.0,9710019900.0,-1453643100.0,1297518400.0,1202000000.0,
