,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,81617000.0,247261000.0,-75357000.0,139452000.0,-73224000.0
Repurchase Of Capital Stock,0.0,-1284000.0,-393000.0,0.0,-4028000.0
Repayment Of Debt,-37900000.0,-86354000.0,-20007000.0,-57438000.0,-397578000.0
Issuance Of Debt,99567000.0,160375000.0,5200000.0,85383000.0,378845000.0
Issuance Of Capital Stock,0.0,0.0,0.0,147000.0,132000.0
Capital Expenditure,-35943000.0,-18268000.0,-23473000.0,-27842000.0,-19218000.0
End Cash Position,805539000.0,675876000.0,465401000.0,566929000.0,423623000.0
Beginning Cash Position,675876000.0,465401000.0,566929000.0,423623000.0,527643000.0
Effect Of Exchange Rate Changes,608000.0,1251000.0,1976000.0,-2213000.0,329000.0
Changes In Cash,129055000.0,209224000.0,-103504000.0,145519000.0,-104349000.0
Financing Cash Flow,56455000.0,-29417000.0,-18617000.0,23393000.0,-27862000.0
Net Other Financing Charges,0.0,,,-1444000.0,-2306000.0
Interest Paid Cff,0.0,,,,0.0
Cash Dividends Paid,-1263000.0,,,0.0,-1000.0
Common Stock Dividend Paid,-1263000.0,,,0.0,-1000.0
Net Common Stock Issuance,0.0,-1284000.0,-393000.0,147000.0,-3896000.0
Common Stock Payments,0.0,-1284000.0,-393000.0,0.0,-4028000.0
Common Stock Issuance,0.0,0.0,0.0,147000.0,132000.0
Net Issuance Payments Of Debt,61667000.0,74021000.0,-14807000.0,27945000.0,-18733000.0
Net Long Term Debt Issuance,61667000.0,74021000.0,-14807000.0,27945000.0,-18733000.0
Long Term Debt Payments,-37900000.0,-86354000.0,-20007000.0,-57438000.0,-397578000.0
Long Term Debt Issuance,99567000.0,160375000.0,5200000.0,85383000.0,378845000.0
Investing Cash Flow,-44960000.0,-26888000.0,-33003000.0,-45168000.0,-22481000.0
Net Investment Purchase And Sale,-8104000.0,,,-150749000.0,-3374000.0
Purchase Of Investment,-8104000.0,,,-150749000.0,-3374000.0
Net Business Purchase And Sale,0.0,6600000.0,-6600000.0,135927000.0,0.0
Purchase Of Business,0.0,6600000.0,-6600000.0,135927000.0,0.0
Net Intangibles Purchase And Sale,-28220000.0,-15273000.0,-20364000.0,-20867000.0,-13004000.0
Purchase Of Intangibles,-28220000.0,-15273000.0,-20364000.0,-20867000.0,-13004000.0
Net PPE Purchase And Sale,-7723000.0,-2995000.0,-3109000.0,-6975000.0,-6214000.0
Purchase Of PPE,-7723000.0,-2995000.0,-3109000.0,-6975000.0,-6214000.0
Operating Cash Flow,117560000.0,265529000.0,-51884000.0,167294000.0,-54006000.0
Interest Paid Cfo,-28019000.0,-46284000.0,-17061000.0,-30075000.0,-54648000.0
Change In Working Capital,119325000.0,229944000.0,-11319000.0,86232000.0,-23003000.0
Change In Other Current Assets,-857000.0,-5041000.0,-2195000.0,-994000.0,-8568000.0
Change In Payable,206737000.0,-41411000.0,-125726000.0,8786000.0,-51029000.0
Change In Prepaid Assets,1126000.0,-1306000.0,3404000.0,-5809000.0,3906000.0
Change In Inventory,-164328000.0,92698000.0,8722000.0,133711000.0,-3750000.0
Change In Receivables,76647000.0,185004000.0,104476000.0,-49462000.0,36438000.0
Other Non Cash Items,43556000.0,62881000.0,30312000.0,22280000.0,48172000.0
Stock Based Compensation,76000.0,85000.0,85000.0,140000.0,199000.0
Provisionand Write Offof Assets,-12977000.0,-5365000.0,-29969000.0,24944000.0,-12001000.0
Deferred Tax,-27375000.0,7105000.0,5230000.0,195000.0,4019000.0
Depreciation And Amortization,18763000.0,18593000.0,19329000.0,17390000.0,13576000.0
Depreciation,18763000.0,18593000.0,19329000.0,17390000.0,13576000.0
Net Foreign Currency Exchange Gain Loss,725000.0,-7022000.0,-35744000.0,28083000.0,-32561000.0
Net Income From Continuing Operations,1098000.0,2251000.0,-12608000.0,14103000.0,1728000.0
