,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,-933849000.0,172520000.0,250782000.0,-203611000.0,407910000.0,
Repayment Of Debt,0.0,0.0,-213869000.0,-32000000.0,-140000000.0,
Issuance Of Debt,600000000.0,500000000.0,90000000.0,38869000.0,424000.0,
Capital Expenditure,-430977000.0,-323410000.0,-270528000.0,-431372000.0,-369185000.0,
End Cash Position,509619000.0,527020000.0,404381000.0,528002000.0,410511000.0,
Beginning Cash Position,436340000.0,404381000.0,528002000.0,410511000.0,369661000.0,
Changes In Cash,73279000.0,122639000.0,-123621000.0,117490000.0,40850000.0,
Financing Cash Flow,924119000.0,-37397000.0,-324314000.0,454624000.0,-484877000.0,
Net Other Financing Charges,,,,,0.0,
Interest Paid Cff,-344326000.0,-308261000.0,-102000.0,-235898000.0,-1111000.0,
Net Issuance Payments Of Debt,600000000.0,500000000.0,-123869000.0,6869000.0,-139576000.0,
Net Long Term Debt Issuance,600000000.0,500000000.0,-123869000.0,6869000.0,-139576000.0,
Long Term Debt Payments,0.0,0.0,-213869000.0,-32000000.0,-140000000.0,
Long Term Debt Issuance,600000000.0,500000000.0,90000000.0,38869000.0,424000.0,
Investing Cash Flow,-347968000.0,-335894000.0,-320617000.0,-564895000.0,-251368000.0,
Net Investment Purchase And Sale,,-12484000.0,-50089000.0,,,0.0
Net Business Purchase And Sale,,0.0,0.0,-117817000.0,117817000.0,-117817000.0
Purchase Of Business,,0.0,0.0,-117817000.0,117817000.0,-117817000.0
Net PPE Purchase And Sale,-430898000.0,-323410000.0,-270528000.0,-431372000.0,-369185000.0,
Sale Of PPE,79000.0,0.0,0.0,0.0,0.0,
Purchase Of PPE,-430977000.0,-323410000.0,-270528000.0,-431372000.0,-369185000.0,
Operating Cash Flow,-502872000.0,495930000.0,521310000.0,227761000.0,777095000.0,
Taxes Refund Paid,-82337000.0,-26165000.0,0.0,-95973000.0,-115274000.0,
Interest Paid Cfo,206909000.0,-217008000.0,-212850000.0,215947000.0,-202497000.0,
Change In Working Capital,-143646000.0,-401115000.0,-212365000.0,581674000.0,-39647000.0,
Change In Other Current Liabilities,394992000.0,-85991000.0,-22733000.0,198764000.0,35241000.0,
Change In Other Current Assets,-92194000.0,-109465000.0,-125752000.0,-36097000.0,54703000.0,
Change In Accrued Expense,-139074000.0,133527000.0,-26632000.0,-130020000.0,100000000.0,
Change In Payable,711468000.0,-421051000.0,344881000.0,43369000.0,692938000.0,
Change In Inventory,-1068554000.0,296920000.0,-205748000.0,-281020000.0,-452371000.0,
Change In Receivables,49716000.0,-215055000.0,-176381000.0,786678000.0,-470158000.0,
Other Non Cash Items,-219236000.0,250073000.0,215694000.0,-77950000.0,201096000.0,
Stock Based Compensation,13944000.0,13213000.0,6585000.0,16979000.0,11050000.0,
Provisionand Write Offof Assets,-56260000.0,-1577000.0,18245000.0,-77199000.0,8031000.0,
Depreciation And Amortization,-468003000.0,504296000.0,497164000.0,-474809000.0,479167000.0,
Depreciation,-468003000.0,504296000.0,497164000.0,-474809000.0,479167000.0,
Gain Loss On Sale Of PPE,55462000.0,1016000.0,4326000.0,43884000.0,4946000.0,
Gain Loss On Sale Of Business,0.0,,,1000.0,0.0,
Net Income From Continuing Operations,217616000.0,399925000.0,200399000.0,138199000.0,440875000.0,
