,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,5236874.970727,,166307.832719,-753959.8,-14417700.0,-10135180.0,
Tax Rate For Calcs,0.041682,,0.042458,0.1762,0.34,0.23,
Normalized EBITDA,476554000.0,,1179015000.0,919138000.0,504777000.0,1165545000.0,
Total Unusual Items,125639000.0,,3917000.0,-4279000.0,-42405000.0,-44066000.0,
Total Unusual Items Excluding Goodwill,125639000.0,,3917000.0,-4279000.0,-42405000.0,-44066000.0,
Net Income From Continuing Operation Net Minority Interest,304918000.0,,374004000.0,163967000.0,348232000.0,335016000.0,
Reconciled Depreciation,-468003000.0,,504296000.0,497164000.0,-474809000.0,479167000.0,
Reconciled Cost Of Revenue,8538551000.0,,7630157000.0,7167745000.0,7100079000.0,7018210000.0,
EBITDA,602193000.0,,1182932000.0,914859000.0,462372000.0,1121479000.0,
EBIT,602193000.0,,678636000.0,417695000.0,462372000.0,642312000.0,
Net Interest Income,-383301000.0,,-329642000.0,-284809000.0,-213519000.0,-247590000.0,
Interest Expense,299016000.0,,278711000.0,217296000.0,183493000.0,201437000.0,
Interest Income,0.0,,0.0,0.0,4000.0,7000.0,
Normalized Income,184515874.970727,,370253307.832719,167492040.2,376219300.0,368946820.0,
Net Income From Continuing And Discontinued Operation,304918000.0,,374004000.0,163967000.0,348232000.0,335016000.0,
Total Expenses,11534493000.0,,10114499000.0,9565551000.0,9557088000.0,9261983000.0,
Diluted Average Shares,,1693801449.0,1688655128.0,1687387020.0,,1692251374.0,1749428835.0
Basic Average Shares,,1679852857.0,1679732641.0,1679209680.0,,1682171507.0,1749428835.0
Diluted EPS,,0.26802,0.22148,0.097176,,0.197971,0.111657
Basic EPS,,0.270245,0.222657,0.097647,,0.199157,0.111657
Diluted NI Availto Com Stockholders,304918000.0,,374004000.0,163967000.0,348232000.0,335016000.0,
Net Income Common Stockholders,304918000.0,,374004000.0,163967000.0,348232000.0,335016000.0,
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0,0.0,
Net Income,304918000.0,,374004000.0,163967000.0,348232000.0,335016000.0,
Minority Interests,14378000.0,,-8941000.0,-1112000.0,121000.0,-4103000.0,
Net Income Including Noncontrolling Interests,290540000.0,,382945000.0,165079000.0,348111000.0,339119000.0,
Net Income Continuous Operations,290540000.0,,382945000.0,165079000.0,348111000.0,339119000.0,
Tax Provision,12637000.0,,16980000.0,35320000.0,-69232000.0,101756000.0,
Pretax Income,303177000.0,,399925000.0,200399000.0,278879000.0,440875000.0,
Special Income Charges,125639000.0,,3917000.0,-4279000.0,-42405000.0,-44066000.0,
Other Special Charges,,,-3917000.0,-21361000.0,2225000.0,43942000.0,-2078000.0
Impairment Of Capital Assets,33230000.0,,,,14646000.0,124000.0,-2094000.0
Restructuring And Mergern Acquisition,-2627000.0,,0.0,25640000.0,,,0.0
Net Non Operating Interest Income Expense,-383301000.0,,-329642000.0,-284809000.0,-213519000.0,-247590000.0,
Total Other Finance Cost,84285000.0,,50931000.0,67513000.0,30030000.0,46160000.0,
Interest Expense Non Operating,299016000.0,,278711000.0,217296000.0,183493000.0,201437000.0,
Interest Income Non Operating,0.0,,0.0,0.0,4000.0,7000.0,
Operating Income,568988000.0,,716544000.0,485459000.0,530531000.0,727139000.0,
Operating Expense,2995942000.0,,2484342000.0,2397806000.0,2457009000.0,2243773000.0,
Other Operating Expenses,176104000.0,,2841000.0,-10266000.0,-5454000.0,-88128000.0,
Selling General And Administration,2817261000.0,,2481501000.0,2408701000.0,2462463000.0,2331901000.0,
Selling And Marketing Expense,2390913000.0,,2108085000.0,2030564000.0,2029972000.0,1942400000.0,
General And Administrative Expense,426348000.0,,373416000.0,378137000.0,432491000.0,389501000.0,
Gross Profit,3564930000.0,,3200886000.0,2883265000.0,2987540000.0,2970912000.0,
Cost Of Revenue,8538551000.0,,7630157000.0,7167745000.0,7100079000.0,7018210000.0,
Total Revenue,12103481000.0,,10831043000.0,10051010000.0,10087619000.0,9989122000.0,
Operating Revenue,12103481000.0,,10831043000.0,10051010000.0,10087619000.0,9989122000.0,
