,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,3447606000.0,1572983000.0,-538938000.0,-1606512000.0,-11432335000.0,,
Repayment Of Debt,-659129000.0,-2555489000.0,-11211680000.0,-4698722000.0,-540451000.0,,
Issuance Of Debt,0.0,1784515000.0,10599332000.0,12040840000.0,6514726000.0,,
Capital Expenditure,-945787000.0,-2771634000.0,-2174676000.0,-1808917000.0,-1454746000.0,,
End Cash Position,13921231000.0,13416988000.0,16787376000.0,17640535000.0,14596280000.0,,
Beginning Cash Position,13416988000.0,16787376000.0,17640535000.0,14596280000.0,21721393000.0,,
Effect Of Exchange Rate Changes,-76848000.0,-811342000.0,193935000.0,60166000.0,-94267000.0,,
Changes In Cash,581091000.0,-2559046000.0,-1047094000.0,2984089000.0,-7030846000.0,,
Other Cash Adjustment Inside Changein Cash,-394081000.0,,,,0.0,,
Financing Cash Flow,-2631587000.0,-5058081000.0,-2748071000.0,3532766000.0,4464387000.0,,
Net Other Financing Charges,-1047079000.0,-2233901000.0,-589361000.0,-1084971000.0,141804000.0,,
Interest Paid Cff,-334405000.0,-1484983000.0,-861452000.0,-1659482000.0,-588756000.0,,
Cash Dividends Paid,,-1000.0,-15578000.0,-556000.0,-958000.0,-104735000.0,
Net Issuance Payments Of Debt,-659129000.0,-770974000.0,-612348000.0,7342118000.0,5974275000.0,,
Net Long Term Debt Issuance,-659129000.0,-770974000.0,-612348000.0,7342118000.0,5974275000.0,,
Long Term Debt Payments,-659129000.0,-2555489000.0,-11211680000.0,-4698722000.0,-540451000.0,,
Long Term Debt Issuance,0.0,1784515000.0,10599332000.0,12040840000.0,6514726000.0,,
Investing Cash Flow,-786634000.0,-1845582000.0,65239000.0,-751082000.0,-1517644000.0,,
Net Other Investing Changes,161956000.0,,,949239000.0,-82847000.0,,
Dividends Received Cfi,,0.0,0.0,,,0.0,0.0
Net Investment Purchase And Sale,-25579000.0,150564000.0,104813000.0,29910000.0,1650000.0,,
Sale Of Investment,,159253000.0,118672000.0,29910000.0,2011000.0,,
Purchase Of Investment,-25579000.0,-8689000.0,-13859000.0,0.0,-361000.0,,
Net Business Purchase And Sale,,-2915587000.0,2946677000.0,-4604000.0,0.0,-38311000.0,
Sale Of Business,,-2920191000.0,,,,-38311000.0,
Purchase Of Business,,4604000.0,0.0,-4604000.0,0.0,0.0,
Net PPE Purchase And Sale,-576313000.0,-2486004000.0,-1589466000.0,-1165205000.0,-985192000.0,,
Sale Of PPE,22776000.0,12507000.0,58173000.0,62464000.0,20299000.0,,
Purchase Of PPE,-599089000.0,-2498511000.0,-1647639000.0,-1227669000.0,-1005491000.0,,
Capital Expenditure Reported,-346698000.0,-273123000.0,-527037000.0,-581248000.0,-449255000.0,,
Operating Cash Flow,4393393000.0,4344617000.0,1635738000.0,202405000.0,-9977589000.0,,
Taxes Refund Paid,-63507000.0,-61562000.0,-140104000.0,-70592000.0,-98821000.0,,
Change In Working Capital,-359375000.0,237122000.0,-1839006000.0,-4325677000.0,-12138956000.0,,
Change In Other Current Assets,707249000.0,-1283519000.0,-2990959000.0,-1702057000.0,-2210453000.0,,
Change In Accrued Expense,,,-105933000.0,,,,-132255000.0
Change In Payable,-2043860000.0,-2121335000.0,-626988000.0,-921304000.0,-8797197000.0,,
Change In Prepaid Assets,38233000.0,-302597000.0,214293000.0,-12896000.0,-492190000.0,,
Change In Inventory,111540000.0,2622953000.0,791083000.0,-1728995000.0,62973000.0,,
Change In Receivables,857894000.0,1246234000.0,879498000.0,238082000.0,-944557000.0,,
Other Non Cash Items,2125157000.0,-2273181000.0,3425933000.0,1458281000.0,71883000.0,,
Provisionand Write Offof Assets,118704000.0,,,,-17754000.0,,
Deferred Tax,3828000.0,-215282000.0,65810000.0,-53739000.0,-12071000.0,,
Depreciation And Amortization,1847213000.0,2171538000.0,2652196000.0,3048706000.0,1796581000.0,,
Depreciation,1847213000.0,2171538000.0,2652196000.0,3048706000.0,1796581000.0,,
Gain Loss On Investment Securities,1487843000.0,8975023000.0,-160344000.0,1720303000.0,2695015000.0,,
Gain Loss On Sale Of PPE,,5898836000.0,505099000.0,,,,-28203000.0
Net Income From Continuing Operations,-834918000.0,-6352905000.0,-9386356000.0,-2761660000.0,-1995326000.0,,
