,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-2294369300.0,-591664572.0,-218871750.0,-575654680.0,1039302480.0,,
Tax Rate For Calcs,0.34,0.163,0.075,0.34,0.34,,
Normalized EBITDA,1321491000.0,4988112000.0,4052158000.0,889274000.0,-1962934000.0,,
Total Unusual Items,-6748145000.0,-3629844000.0,-2918290000.0,-1693102000.0,3056772000.0,,
Total Unusual Items Excluding Goodwill,-6748145000.0,-3629844000.0,-2918290000.0,-1693102000.0,3056772000.0,,
Net Income From Continuing Operation Net Minority Interest,-15554967000.0,-2321070000.0,-1846241000.0,-2534925000.0,-2590476000.0,,
Reconciled Depreciation,2652196000.0,2833692000.0,2011595000.0,2209158000.0,2380049000.0,,
Reconciled Cost Of Revenue,57903345000.0,57192073000.0,52122850000.0,55821634000.0,63962011000.0,,
EBITDA,-5426654000.0,1358268000.0,1133868000.0,-803828000.0,1093838000.0,,
EBIT,-8078850000.0,-1475424000.0,-877727000.0,-3012986000.0,-1286211000.0,,
Net Interest Income,-1151707000.0,-1923313000.0,-1576023000.0,453035000.0,-1607770000.0,,
Interest Expense,1307505000.0,1288351000.0,1115484000.0,-679866000.0,927316000.0,,
Interest Income,688000.0,,,,0.0,96163000.0,74384000.0
Normalized Income,-11101191300.0,717109428.0,853177250.0,-1417477680.0,-4607945520.0,,
Net Income From Continuing And Discontinued Operation,-15554967000.0,-2321070000.0,-1846241000.0,-2534925000.0,-2590476000.0,,
Total Expenses,60204124000.0,58815094000.0,54026495000.0,58188516000.0,66660967000.0,,
Rent Expense Supplemental,290462000.0,,277195000.0,,326143000.0,,315736000.0
Diluted Average Shares,10343116000.0,10343115881.0,10334246000.0,,10334232000.0,10326114838.0,
Basic Average Shares,10343116000.0,10343115881.0,10334246000.0,,10334232000.0,10326114838.0,
Diluted EPS,-1.5039,-0.22353,-0.17865,,-0.25067,-0.01533,
Basic EPS,-1.5039,-0.22353,-0.17865,,-0.25067,-0.01533,
Diluted NI Availto Com Stockholders,-15554967000.0,-2321070000.0,-1846241000.0,-2534925000.0,-2590476000.0,,
Net Income Common Stockholders,-15554967000.0,-2321070000.0,-1846241000.0,-2534925000.0,-2590476000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,-15554967000.0,-2321070000.0,-1846241000.0,-2534925000.0,-2590476000.0,,
Minority Interests,90084000.0,-9000000.0,-2355000.0,-20967000.0,-19885000.0,,
Net Income Including Noncontrolling Interests,-15645051000.0,-2312070000.0,-1843886000.0,-2513958000.0,-2570591000.0,,
Net Income Continuous Operations,-15645051000.0,-2312070000.0,-1843886000.0,-2513958000.0,-2570591000.0,,
Tax Provision,6258696000.0,-451705000.0,-149325000.0,180838000.0,357064000.0,,
Pretax Income,-9386355000.0,-2763775000.0,-1993211000.0,-2333120000.0,-2213527000.0,,
Other Non Operating Income Expenses,,,5866000.0,,,,6614000.0
Special Income Charges,-7555806000.0,-1020282000.0,71236000.0,-392460000.0,-205443000.0,,
Other Special Charges,697020000.0,-227276000.0,-17754000.0,40171000.0,-46728000.0,,
Write Off,-1818000.0,-22155000.0,,1043000.0,35480000.0,0.0,
Impairment Of Capital Assets,6860604000.0,1269713000.0,4909000.0,383185000.0,216691000.0,,
Restructuring And Mergern Acquisition,0.0,0.0,-58391000.0,-31939000.0,0.0,,
Net Non Operating Interest Income Expense,-1151707000.0,-1923313000.0,-1576023000.0,453035000.0,-1607770000.0,,
Total Other Finance Cost,-155110000.0,634962000.0,460539000.0,-5278000.0,680454000.0,,
Interest Expense Non Operating,1307505000.0,1288351000.0,1115484000.0,-679866000.0,927316000.0,,
Interest Income Non Operating,688000.0,,,,0.0,96163000.0,74384000.0
Operating Income,187599000.0,1095522000.0,191066000.0,-461794000.0,211401000.0,,
Operating Expense,2300779000.0,1623021000.0,1903645000.0,2366882000.0,2698956000.0,,
Other Operating Expenses,46848000.0,-275483000.0,-309592000.0,516122000.0,55500000.0,,
Selling General And Administration,2030168000.0,2017825000.0,2068074000.0,2269915000.0,2440354000.0,,
Selling And Marketing Expense,1363794000.0,1488266000.0,1415305000.0,1766694000.0,1751166000.0,,
General And Administrative Expense,666374000.0,529559000.0,652769000.0,503221000.0,689188000.0,,
Rent And Landing Fees,290462000.0,,277195000.0,,326143000.0,,315736000.0
Gross Profit,2488378000.0,2718543000.0,2094711000.0,1905088000.0,2910357000.0,,
Cost Of Revenue,57903345000.0,57192073000.0,52122850000.0,55821634000.0,63962011000.0,,
Total Revenue,60391723000.0,59910616000.0,54217561000.0,57726722000.0,66872368000.0,,
Operating Revenue,60391723000.0,59910616000.0,54217561000.0,57726722000.0,66872368000.0,,
