,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,-221391000.0,-99864000.0,207217000.0,142870000.0,267724000.0
Repurchase Of Capital Stock,0.0,-4170000.0,-3153000.0,0.0,-2863000.0
Repayment Of Debt,0.0,0.0,0.0,-619331000.0,-379595000.0
Issuance Of Debt,497355000.0,,,648457000.0,0.0
Issuance Of Capital Stock,0.0,0.0,148000.0,0.0,201000.0
Capital Expenditure,-609250000.0,-422397000.0,-297789000.0,-464663000.0,-253470000.0
End Cash Position,277772000.0,222608000.0,315621000.0,295548000.0,420687000.0
Beginning Cash Position,222608000.0,315621000.0,295548000.0,420687000.0,411015000.0
Effect Of Exchange Rate Changes,,,,0.0,0.0
Changes In Cash,55164000.0,-93013000.0,20073000.0,-125139000.0,9672000.0
Financing Cash Flow,487293000.0,-255375000.0,-208165000.0,-581778000.0,-387287000.0
Net Other Financing Charges,0.0,0.0,-197796000.0,-254273000.0,0.0
Cash Dividends Paid,0.0,,,-348617000.0,-2000.0
Common Stock Dividend Paid,0.0,,,-348617000.0,-2000.0
Net Common Stock Issuance,0.0,-4170000.0,-3005000.0,0.0,-2662000.0
Common Stock Payments,0.0,-4170000.0,-3153000.0,0.0,-2863000.0
Common Stock Issuance,0.0,0.0,148000.0,0.0,201000.0
Net Issuance Payments Of Debt,497355000.0,0.0,0.0,29126000.0,-379595000.0
Net Long Term Debt Issuance,497355000.0,0.0,0.0,29126000.0,-379595000.0
Long Term Debt Payments,0.0,0.0,0.0,-619331000.0,-379595000.0
Long Term Debt Issuance,497355000.0,,,648457000.0,0.0
Investing Cash Flow,-819988000.0,-160171000.0,-276768000.0,-150894000.0,-124235000.0
Dividends Received Cfi,,,,,0.0
Net Investment Purchase And Sale,-210738000.0,262226000.0,21021000.0,313769000.0,129235000.0
Net Business Purchase And Sale,,,,0.0,0.0
Purchase Of Business,,,,0.0,0.0
Net PPE Purchase And Sale,-609250000.0,-422397000.0,-297789000.0,-464663000.0,-253470000.0
Purchase Of PPE,-609250000.0,-422397000.0,-297789000.0,-464663000.0,-253470000.0
Operating Cash Flow,387859000.0,322533000.0,505006000.0,607533000.0,521194000.0
Taxes Refund Paid,-1679000.0,-5050000.0,-6864000.0,-2430000.0,-1874000.0
Interest Paid Cfo,-1461000.0,-91940000.0,-667000.0,-55813000.0,-39196000.0
Change In Working Capital,11291000.0,-34475000.0,38742000.0,-8420000.0,64554000.0
Change In Other Current Assets,-1526000.0,30621000.0,-36046000.0,-2991000.0,-10056000.0
Change In Accrued Expense,22026000.0,-13362000.0,12385000.0,2271000.0,17536000.0
Change In Payable,-23207000.0,-103067000.0,75638000.0,11140000.0,42544000.0
Change In Inventory,3428000.0,77000.0,-3189000.0,-1046000.0,482000.0
Change In Receivables,10570000.0,51256000.0,-10046000.0,-17794000.0,14048000.0
Other Non Cash Items,76640000.0,73625000.0,87758000.0,144290000.0,39957000.0
Provisionand Write Offof Assets,-2693000.0,1317000.0,7762000.0,15471000.0,7246000.0
Depreciation And Amortization,192350000.0,195367000.0,164082000.0,159742000.0,202998000.0
Depreciation,192350000.0,195367000.0,164082000.0,159742000.0,202998000.0
Gain Loss On Investment Securities,-73683000.0,-153211000.0,-140801000.0,237124000.0,22801000.0
Gain Loss On Sale Of PPE,38470000.0,54444000.0,46232000.0,,59362000.0
Net Income From Continuing Operations,148624000.0,253826000.0,308762000.0,-14036000.0,196080000.0
