,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,-343817000.0,-221005000.0,1599293000.0,983195000.0,1322512000.0,,
Repurchase Of Capital Stock,0.0,,,,-297775000.0,,
Repayment Of Debt,-842649000.0,-3754617000.0,-4068019000.0,-4495070000.0,-5981058000.0,,
Issuance Of Debt,438327000.0,5784450000.0,3071864000.0,2396244000.0,7612849000.0,,
Issuance Of Capital Stock,0.0,0.0,0.0,0.0,719000.0,,
Capital Expenditure,-34237000.0,-31937000.0,-32669000.0,-29909000.0,-37967000.0,,
End Cash Position,1705451000.0,3132846000.0,1952985000.0,1919431000.0,3568636000.0,,
Beginning Cash Position,3132846000.0,1952985000.0,1919431000.0,3568636000.0,1489650000.0,,
Effect Of Exchange Rate Changes,2740000.0,37000.0,-483000.0,-991000.0,3153000.0,,
Changes In Cash,-1419977000.0,1179824000.0,34037000.0,-1648214000.0,2075833000.0,,
Financing Cash Flow,-964573000.0,1478397000.0,-1512767000.0,-2565021000.0,863365000.0,,
Net Other Financing Charges,-5265000.0,-7907000.0,-10723000.0,-13771000.0,-16253000.0,,
Interest Paid Cff,-481108000.0,-469274000.0,-425337000.0,-379837000.0,-377320000.0,,
Net Common Stock Issuance,0.0,0.0,0.0,0.0,-297056000.0,,
Common Stock Payments,0.0,,,,-297775000.0,,
Common Stock Issuance,0.0,0.0,0.0,0.0,719000.0,,
Net Issuance Payments Of Debt,-404322000.0,2029833000.0,-996155000.0,-2098826000.0,1631791000.0,,
Net Long Term Debt Issuance,-404322000.0,2029833000.0,-996155000.0,-2098826000.0,1631791000.0,,
Long Term Debt Payments,-842649000.0,-3754617000.0,-4068019000.0,-4495070000.0,-5981058000.0,,
Long Term Debt Issuance,438327000.0,5784450000.0,3071864000.0,2396244000.0,7612849000.0,,
Investing Cash Flow,-145824000.0,-109505000.0,-85158000.0,-96297000.0,-148011000.0,,
Net Other Investing Changes,-111715000.0,-77696000.0,-52598000.0,-64625000.0,-108050000.0,,
Dividends Received Cfi,,,,,0.0,,
Net Investment Purchase And Sale,0.0,0.0,0.0,0.0,0.0,,
Sale Of Investment,0.0,0.0,0.0,0.0,0.0,,
Net Business Purchase And Sale,128000.0,128000.0,109000.0,-1763000.0,-1994000.0,,
Purchase Of Business,128000.0,128000.0,109000.0,-1763000.0,-1994000.0,,
Net Intangibles Purchase And Sale,-34237000.0,-31937000.0,-32669000.0,-29909000.0,-37967000.0,,
Purchase Of Intangibles,-34237000.0,-31937000.0,-32669000.0,-29909000.0,-37967000.0,,
Operating Cash Flow,-309580000.0,-189068000.0,1631962000.0,1013104000.0,1360479000.0,,
Taxes Refund Paid,,-136023000.0,-177044000.0,-143962000.0,,-119800000.0,-144076000.0
Interest Paid Cfo,-1850673000.0,-1233338000.0,-1628816000.0,-844156000.0,-1660564000.0,,
Change In Working Capital,-28166168000.0,-315778000.0,1145861000.0,-1393928000.0,-5236913000.0,,
Change In Other Current Liabilities,3685000.0,-147558000.0,-216937000.0,-36660000.0,76112000.0,,
Change In Other Current Assets,-939008000.0,-162214000.0,-6759746000.0,6859818000.0,2152994000.0,,
Change In Payable,37619000.0,127002000.0,196425000.0,90695000.0,234293000.0,,
Change In Prepaid Assets,180994000.0,126778000.0,149758000.0,-465654000.0,158598000.0,,
Change In Receivables,-27449458000.0,-259786000.0,7776361000.0,-7842127000.0,-7858910000.0,,
Other Non Cash Items,1680772000.0,1652365000.0,1416844000.0,1449238000.0,1310412000.0,,
Provisionand Write Offof Assets,69622000.0,222390000.0,209626000.0,117549000.0,169398000.0,,
Deferred Tax,-189373000.0,-244251000.0,901431000.0,-61552000.0,-468843000.0,,
Depreciation And Amortization,1332442000.0,2074649000.0,1272106000.0,1262552000.0,1292017000.0,,
Depreciation,1332442000.0,2074649000.0,1272106000.0,1262552000.0,1292017000.0,,
Gain Loss On Sale Of PPE,-356800000.0,-379215000.0,-309289000.0,-290601000.0,-312336000.0,,
Net Income From Continuing Operations,938514000.0,258078000.0,-168575000.0,842453000.0,837328000.0,,
