,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-620840.419016,-42311071.609279,-11721160.0,-13900790.995065,-457709054.994007,
Tax Rate For Calcs,0.303293,0.217577,0.34,0.31782,0.254432,
Total Unusual Items,-2047000.0,-194465000.0,-34474000.0,-43738000.0,-1798941000.0,
Total Unusual Items Excluding Goodwill,-2047000.0,-194465000.0,-34474000.0,-43738000.0,-1798941000.0,
Net Income From Continuing Operation Net Minority Interest,3217994000.0,3900964000.0,1928066000.0,3108800000.0,3058779000.0,
Reconciled Depreciation,663281000.0,649389000.0,621318000.0,703335000.0,691511000.0,
Net Interest Income,16109690000.0,13772136000.0,14934855000.0,14825731000.0,15429309000.0,
Interest Expense,26324712000.0,28820927000.0,25710424000.0,23924821000.0,21184719000.0,
Interest Income,42434402000.0,42593063000.0,40645279000.0,38750552000.0,36614028000.0,
Normalized Income,3219420159.580984,4053117928.390721,1950818840.0,3138637209.004935,4400010945.005993,
Net Income From Continuing And Discontinued Operation,3217994000.0,3900964000.0,1928066000.0,3108800000.0,3058779000.0,
Diluted NI Availto Com Stockholders,3217994000.0,-2667504000.0,1928066000.0,3108800000.0,-3817967000.0,
Net Income Common Stockholders,3217994000.0,-2667504000.0,1928066000.0,3108800000.0,-3817967000.0,
Net Income,3217994000.0,3900964000.0,1928066000.0,3108800000.0,3058779000.0,
Minority Interests,-63556000.0,-42233000.0,-59866000.0,-42783000.0,-11084000.0,
Net Income Including Noncontrolling Interests,3281550000.0,3943197000.0,1987932000.0,3151583000.0,3069863000.0,
Net Income Continuous Operations,3281550000.0,3943197000.0,1987932000.0,3151583000.0,3069863000.0,
Tax Provision,1428535000.0,1096527000.0,-3004000.0,1468284000.0,1047622000.0,
Pretax Income,4710085000.0,5039724000.0,1984928000.0,4619867000.0,4117485000.0,
Special Income Charges,-2047000.0,-194465000.0,-34474000.0,-43738000.0,-1798941000.0,
Other Special Charges,-33503000.0,52728000.0,-52361000.0,-47389000.0,1737137000.0,
Write Off,35550000.0,92947000.0,68602000.0,91127000.0,16421000.0,
Impairment Of Capital Assets,,48790000.0,18233000.0,,45383000.0,3514000.0
Gain On Sale Of Security,4258404000.0,-3605555000.0,-8812669000.0,-4741688000.0,-7575742000.0,
Depreciation Amortization Depletion Income Statement,663281000.0,649389000.0,621318000.0,703335000.0,691511000.0,
Depreciation And Amortization In Income Statement,663281000.0,649389000.0,621318000.0,703335000.0,691511000.0,
Amortization,422345000.0,402224000.0,375120000.0,372449000.0,323040000.0,
Amortization Of Intangibles Income Statement,422345000.0,402224000.0,375120000.0,372449000.0,323040000.0,
Depreciation Income Statement,240936000.0,247165000.0,246198000.0,330886000.0,368471000.0,
Selling General And Administration,5134615000.0,4403768000.0,4958563000.0,5031978000.0,4566408000.0,
Selling And Marketing Expense,113443000.0,160647000.0,114202000.0,119257000.0,176199000.0,
General And Administrative Expense,5021172000.0,4243121000.0,4844361000.0,4912721000.0,4390209000.0,
Other Gand A,2134074000.0,742285000.0,1901093000.0,1894301000.0,830912000.0,
Insurance And Claims,5222000.0,633569000.0,7474000.0,6065000.0,621934000.0,
Salaries And Wages,2881876000.0,2867267000.0,2935794000.0,3012355000.0,2937363000.0,
Total Revenue,12035906000.0,13645490000.0,8857624000.0,12017689000.0,14152694000.0,
Operating Revenue,12035906000.0,13645490000.0,8857624000.0,12017689000.0,14152694000.0,
Occupancy And Equipment,169344000.0,,235517000.0,176590000.0,,217392000.0
Other Non Interest Expense,213599000.0,618859000.0,150155000.0,234399000.0,730050000.0,
