,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-30086947.888861,0.0,0.0,-337308560.0,341998520.0,
Tax Rate For Calcs,0.311153,0.245081,0.34,0.34,0.34,
Normalized EBITDA,3824445000.0,3686803000.0,3619715000.0,3909103000.0,1644436000.0,
Total Unusual Items,-96695000.0,,,-992084000.0,1005878000.0,
Total Unusual Items Excluding Goodwill,-96695000.0,,,-992084000.0,1005878000.0,
Net Income From Continuing Operation Net Minority Interest,435517000.0,-246193000.0,-96291000.0,-50953000.0,-245244000.0,
Reconciled Depreciation,1235703000.0,1323861000.0,1252143000.0,1070424000.0,1096372000.0,
Reconciled Cost Of Revenue,8180155000.0,8416803000.0,7762349000.0,7776731000.0,7987738000.0,
EBITDA,3727750000.0,3686803000.0,3619715000.0,2917019000.0,2650314000.0,
EBIT,2492047000.0,2362942000.0,2367572000.0,1846595000.0,1553942000.0,
Net Interest Income,-1950371000.0,-2112829000.0,-1971854000.0,-1884103000.0,-1840732000.0,
Interest Expense,1788493000.0,2678193000.0,2483717000.0,1864639000.0,1649479000.0,
Interest Income,-1299000.0,565364000.0,511863000.0,14500000.0,14852000.0,
Normalized Income,502125052.111139,-246193000.0,-96291000.0,603822440.0,-909123480.0,
Net Income From Continuing And Discontinued Operation,432908000.0,-246193000.0,-96291000.0,-50953000.0,-245244000.0,
Total Expenses,8161116000.0,9595887000.0,8761619000.0,8737403000.0,9026966000.0,
Diluted Average Shares,,435105522.0,435105522.0,435061703.0,,439391184.0
Basic Average Shares,,435105522.0,435105522.0,435061703.0,,439391184.0
Diluted EPS,,-0.401975,-0.157141,-0.11712,,0.02468
Basic EPS,,-0.401975,-0.157141,-0.11712,,0.02468
Diluted NI Availto Com Stockholders,432908000.0,-246193000.0,-96291000.0,-50953000.0,-245244000.0,
Net Income Common Stockholders,432908000.0,-246193000.0,-96291000.0,-50953000.0,-245244000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,432908000.0,-246193000.0,-96291000.0,-50953000.0,-245244000.0,
Minority Interests,-49124000.0,-8204000.0,-53368000.0,-62474000.0,34855000.0,
Net Income Including Noncontrolling Interests,482032000.0,-237989000.0,-42923000.0,11521000.0,-280099000.0,
Net Income Continuous Operations,484641000.0,-237989000.0,-42923000.0,11521000.0,-280099000.0,
Tax Provision,218913000.0,-77262000.0,-73222000.0,-29565000.0,184562000.0,
Pretax Income,703554000.0,-315251000.0,-116145000.0,-18044000.0,-95537000.0,
Net Non Operating Interest Income Expense,-1950371000.0,-2112829000.0,-1971854000.0,-1884103000.0,-1840732000.0,
Total Other Finance Cost,160579000.0,,,33964000.0,206105000.0,
Interest Expense Non Operating,1788493000.0,2678193000.0,2483717000.0,1864639000.0,1649479000.0,
Interest Income Non Operating,-1299000.0,565364000.0,511863000.0,14500000.0,14852000.0,
Operating Income,2834124000.0,1794460000.0,1850004000.0,1793762000.0,1715727000.0,
Operating Expense,-19039000.0,1179084000.0,999270000.0,960672000.0,1039228000.0,
Other Operating Expenses,-66552000.0,157248000.0,35078000.0,71370000.0,83611000.0,
Selling General And Administration,1050121000.0,1021836000.0,964192000.0,889302000.0,996272000.0,
Selling And Marketing Expense,422725000.0,437523000.0,386265000.0,356891000.0,409054000.0,
General And Administrative Expense,627396000.0,584313000.0,577927000.0,532411000.0,587218000.0,
Gross Profit,2815085000.0,2973544000.0,2849274000.0,2754434000.0,2754955000.0,
Cost Of Revenue,8180155000.0,8416803000.0,7762349000.0,7776731000.0,7987738000.0,
Total Revenue,10995240000.0,11390347000.0,10611623000.0,10531165000.0,10742693000.0,
Operating Revenue,10995240000.0,11390347000.0,10611623000.0,10531165000.0,10742693000.0,
