,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,641140000.0,875851000.0,-162137000.0,-1069709000.0,786279000.0,,
Repurchase Of Capital Stock,,,,,4282000.0,,
Repayment Of Debt,-1109016000.0,-977514000.0,-693429000.0,-607819000.0,-1042844000.0,,
Issuance Of Debt,1026069000.0,1033030000.0,1454740000.0,1313173000.0,612233000.0,,
Issuance Of Capital Stock,914592000.0,,,2407000.0,0.0,,
Capital Expenditure,-215788000.0,-173695000.0,-265547000.0,-868106000.0,-98627000.0,,
End Cash Position,2647586000.0,1720578000.0,1149612000.0,1253397000.0,1979575000.0,,
Beginning Cash Position,1720578000.0,1149612000.0,1253397000.0,1979575000.0,1731080000.0,,
Changes In Cash,927008000.0,570966000.0,-103785000.0,-726178000.0,248495000.0,,
Financing Cash Flow,285875000.0,-36626000.0,59499000.0,361178000.0,-532525000.0,,
Net Other Financing Charges,-105072000.0,-51365000.0,-112586000.0,-288297000.0,-120333000.0,,
Interest Paid Cff,,,,-6890000.0,,,
Cash Dividends Paid,-396984000.0,-78000.0,-240928000.0,-321000.0,0.0,,
Common Stock Dividend Paid,-396984000.0,-78000.0,-240928000.0,-321000.0,0.0,,
Net Common Stock Issuance,914592000.0,0.0,4696000.0,2407000.0,4282000.0,,
Common Stock Payments,,,,,4282000.0,,
Common Stock Issuance,914592000.0,,,2407000.0,0.0,,
Net Issuance Payments Of Debt,-82947000.0,55516000.0,761311000.0,705354000.0,-430611000.0,,
Net Long Term Debt Issuance,-82947000.0,55516000.0,761311000.0,705354000.0,-430611000.0,,
Long Term Debt Payments,-1109016000.0,-977514000.0,-693429000.0,-607819000.0,-1042844000.0,,
Long Term Debt Issuance,1026069000.0,1033030000.0,1454740000.0,1313173000.0,612233000.0,,
Investing Cash Flow,-215795000.0,-441954000.0,-266694000.0,-885753000.0,-103886000.0,,
Net Investment Purchase And Sale,1643000.0,114918000.0,-2447000.0,-16347000.0,-1259000.0,,
Sale Of Investment,0.0,,,,,,
Purchase Of Investment,1643000.0,-299000.0,-2447000.0,-16347000.0,,-17584000.0,
Net Business Purchase And Sale,-1650000.0,,,-1300000.0,,,
Purchase Of Business,-1650000.0,,,-1300000.0,,,
Net Intangibles Purchase And Sale,-2480000.0,-1823000.0,-3427000.0,-2444000.0,-1690000.0,,
Purchase Of Intangibles,-2480000.0,-1823000.0,-3427000.0,-2444000.0,-1690000.0,,
Net PPE Purchase And Sale,-213308000.0,-171872000.0,-262120000.0,-865662000.0,-96937000.0,,
Sale Of PPE,,,,,0.0,0.0,
Purchase Of PPE,-213308000.0,-171872000.0,-262120000.0,-865662000.0,-96937000.0,,
Operating Cash Flow,856928000.0,1049546000.0,103410000.0,-201603000.0,884906000.0,,
Taxes Refund Paid,-16793000.0,-7957000.0,-28590000.0,-1779000.0,-4289000.0,,
Interest Paid Cfo,-166540000.0,-217599000.0,-288198000.0,-95878000.0,-211419000.0,,
Change In Working Capital,303450000.0,774422000.0,-134379000.0,-1083520000.0,400526000.0,,
Change In Other Current Liabilities,139000.0,125760000.0,-125879000.0,15000.0,-23695000.0,,
Change In Other Current Assets,-201648000.0,340017000.0,81958000.0,-6733000.0,-163748000.0,,
Change In Payable,566336000.0,506618000.0,-164588000.0,-1033010000.0,879420000.0,,
Change In Prepaid Assets,720000.0,18485000.0,-9367000.0,-8356000.0,626000.0,,
Change In Inventory,-268947000.0,-150258000.0,90074000.0,109954000.0,-385884000.0,,
Change In Receivables,206850000.0,-66200000.0,-6577000.0,-145390000.0,93807000.0,,
Other Non Cash Items,624986000.0,459245000.0,-6398000.0,169195000.0,529909000.0,,
Stock Based Compensation,4058000.0,3564000.0,5677000.0,1408000.0,9043000.0,,
Provisionand Write Offof Assets,221476000.0,-168790000.0,,,365272000.0,-214197000.0,
Deferred Tax,,,17027000.0,4666000.0,,,7163000.0
Depreciation And Amortization,123509000.0,202707000.0,201437000.0,189201000.0,158982000.0,,
Depreciation,123509000.0,202707000.0,201437000.0,189201000.0,158982000.0,,
Pension And Employee Benefit Expense,6651000.0,9928000.0,27343000.0,22417000.0,10532000.0,,
Gain Loss On Investment Securities,-99274000.0,69314000.0,151732000.0,-134245000.0,-267078000.0,,
Net Income From Continuing Operations,-144583000.0,-53590000.0,178014000.0,733840000.0,-106567000.0,,
