,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-36003620.0,0.0,0.0,-4737269.8,52125060.0,
Tax Rate For Calcs,0.34,0.34,0.214461,0.3041,0.34,
Normalized EBITDA,437194000.0,660091000.0,813123000.0,1179176000.0,148593000.0,
Total Unusual Items,-105893000.0,,,-15578000.0,153309000.0,
Total Unusual Items Excluding Goodwill,-105893000.0,,,-15578000.0,153309000.0,
Net Income From Continuing Operation Net Minority Interest,-55799000.0,-10988000.0,161688000.0,460672000.0,-34633000.0,
Reconciled Depreciation,123509000.0,202707000.0,201437000.0,189201000.0,158982000.0,
Reconciled Cost Of Revenue,1716372000.0,1756464000.0,1598832000.0,1758617000.0,1493724000.0,
EBITDA,331301000.0,660091000.0,813123000.0,1163598000.0,301902000.0,
EBIT,207792000.0,457384000.0,611686000.0,974397000.0,142920000.0,
Net Interest Income,-355193000.0,-337636000.0,-275272000.0,-244568000.0,-239844000.0,
Interest Expense,352375000.0,510974000.0,433672000.0,240557000.0,249487000.0,
Interest Income,-1143000.0,173338000.0,158400000.0,,15347000.0,86797000.0
Normalized Income,14090380.0,-10988000.0,161688000.0,471512730.2,-135816940.0,
Net Income From Continuing And Discontinued Operation,-55799000.0,-10988000.0,161688000.0,460672000.0,-34633000.0,
Total Expenses,2068208000.0,2094995000.0,1797281000.0,1977664000.0,1802631000.0,
Rent Expense Supplemental,-30253000.0,1571000.0,1178000.0,821000.0,2438000.0,
Diluted Average Shares,,490535714.0,496355719.0,496220743.0,495806771.0,563815789.0
Basic Average Shares,,490535714.0,496355719.0,495824326.0,495806771.0,489403553.0
Diluted EPS,,-0.022747,0.0,0.928364,-0.069852,0.00152
Basic EPS,,-0.0224,0.0,0.929102,-0.069852,0.001751
Diluted NI Availto Com Stockholders,-55799000.0,-10988000.0,161688000.0,460672000.0,-34633000.0,
Net Income Common Stockholders,-55799000.0,-10988000.0,161688000.0,460672000.0,-34633000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,-55799000.0,-10988000.0,161688000.0,460672000.0,-34633000.0,
Minority Interests,15000000.0,3537000.0,21851000.0,-50028000.0,16717000.0,
Net Income Including Noncontrolling Interests,-70799000.0,-14525000.0,139837000.0,510700000.0,-51350000.0,
Net Income Continuous Operations,-70799000.0,-14525000.0,139837000.0,510700000.0,-51350000.0,
Tax Provision,-73784000.0,-39065000.0,38177000.0,223140000.0,-55217000.0,
Pretax Income,-144583000.0,-53590000.0,178014000.0,733840000.0,-106567000.0,
Other Non Operating Income Expenses,2084000.0,,,1611000.0,490000.0,
Special Income Charges,-15458000.0,,,10378000.0,30966000.0,
Other Special Charges,14312000.0,,,-10888000.0,-78524000.0,
Impairment Of Capital Assets,,,,510000.0,,
Net Non Operating Interest Income Expense,-355193000.0,-337636000.0,-275272000.0,-244568000.0,-239844000.0,
Total Other Finance Cost,1675000.0,,,4011000.0,5704000.0,
Interest Expense Non Operating,352375000.0,510974000.0,433672000.0,240557000.0,249487000.0,
Interest Income Non Operating,-1143000.0,173338000.0,158400000.0,,15347000.0,86797000.0
Operating Income,222439000.0,284041000.0,457578000.0,857008000.0,242454000.0,
Operating Expense,351836000.0,338531000.0,198449000.0,219047000.0,308907000.0,
Other Operating Expenses,571000.0,340473000.0,76720000.0,16751000.0,-76478000.0,
Depreciation And Amortization In Income Statement,7962000.0,7954000.0,7384000.0,,7114000.0,6977000.0
Depreciation Income Statement,7962000.0,7954000.0,7384000.0,,7114000.0,6977000.0
Selling General And Administration,301050000.0,217969000.0,108240000.0,207356000.0,267478000.0,
Selling And Marketing Expense,239076000.0,190781000.0,91362000.0,121472000.0,215457000.0,
General And Administrative Expense,61974000.0,27188000.0,16878000.0,85884000.0,52021000.0,
Rent And Landing Fees,-30253000.0,1571000.0,1178000.0,821000.0,2438000.0,
Gross Profit,574275000.0,622572000.0,656027000.0,1076055000.0,551361000.0,
Cost Of Revenue,1716372000.0,1756464000.0,1598832000.0,1758617000.0,1493724000.0,
Total Revenue,2290647000.0,2379036000.0,2254859000.0,2834672000.0,2045085000.0,
Operating Revenue,2290647000.0,2379036000.0,2254859000.0,2834672000.0,2045085000.0,
