,2026-03-31,2025-12-31,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,97600000.0,-440494000.0,-29218000.0,88762000.0,-407406000.0
Repurchase Of Capital Stock,-50030000.0,,,0.0,
Repayment Of Debt,-155434000.0,-184044000.0,-151767000.0,-143815000.0,-130202000.0
Issuance Of Debt,1415447000.0,1204902000.0,225852000.0,216003000.0,730286000.0
Issuance Of Capital Stock,11969000.0,0.0,0.0,6558000.0,
Capital Expenditure,-569046000.0,-931874000.0,-463969000.0,-450976000.0,-746478000.0
End Cash Position,2737186000.0,1330801000.0,1059223000.0,1446809000.0,1490624000.0
Beginning Cash Position,1330801000.0,1191226000.0,1446809000.0,1490624000.0,1520856000.0
Effect Of Exchange Rate Changes,-55971000.0,26954000.0,-30796000.0,-32407000.0,41574000.0
Changes In Cash,1462356000.0,112621000.0,-356790000.0,-11408000.0,-71806000.0
Financing Cash Flow,976508000.0,790517000.0,-128635000.0,-156752000.0,371804000.0
Net Other Financing Charges,,-5393000.0,-962000.0,198000.0,-73294000.0
Interest Paid Cff,-111008000.0,-37791000.0,-37864000.0,-74094000.0,0.0
Net Common Stock Issuance,-38061000.0,-759000.0,0.0,6558000.0,
Common Stock Payments,-50030000.0,,,0.0,
Common Stock Issuance,11969000.0,0.0,0.0,6558000.0,
Net Issuance Payments Of Debt,1260013000.0,1020858000.0,74085000.0,72188000.0,600084000.0
Net Long Term Debt Issuance,1260013000.0,1020858000.0,74085000.0,72188000.0,600084000.0
Long Term Debt Payments,-155434000.0,-184044000.0,-151767000.0,-143815000.0,-130202000.0
Long Term Debt Issuance,1415447000.0,1204902000.0,225852000.0,216003000.0,730286000.0
Investing Cash Flow,-180798000.0,-1169276000.0,-662906000.0,-394394000.0,-782682000.0
Net Other Investing Changes,1216000.0,-15347000.0,-14393000.0,22726000.0,
Dividends Received Cfi,0.0,0.0,0.0,0.0,0.0
Net Investment Purchase And Sale,368564000.0,-226029000.0,-92136000.0,28213000.0,49168000.0
Net Business Purchase And Sale,18468000.0,-11877000.0,-99503000.0,-1097000.0,-89639000.0
Sale Of Business,18468000.0,,,,
Purchase Of Business,0.0,-11877000.0,-99503000.0,-1097000.0,-89639000.0
Net Intangibles Purchase And Sale,-8008000.0,-8338000.0,-822000.0,-2901000.0,-26547000.0
Purchase Of Intangibles,-8008000.0,-8338000.0,-822000.0,-2901000.0,-26547000.0
Net PPE Purchase And Sale,-561038000.0,-923536000.0,-463147000.0,-448075000.0,-719931000.0
Sale Of PPE,,,,,0.0
Purchase Of PPE,-561038000.0,-923536000.0,-463147000.0,-448075000.0,-719931000.0
Operating Cash Flow,666646000.0,491380000.0,434751000.0,539738000.0,339072000.0
Taxes Refund Paid,-32505000.0,-17731000.0,-83217000.0,-24772000.0,-19069000.0
Interest Paid Cfo,-299242000.0,-401205000.0,-377318000.0,-215247000.0,-324915000.0
Change In Working Capital,-17922000.0,-21478000.0,-6345000.0,-13691000.0,-77268000.0
Change In Other Current Liabilities,-2838000.0,-74922000.0,2526000.0,-1229000.0,-109006000.0
Change In Other Current Assets,656000.0,381000.0,-20929000.0,-6019000.0,-9002000.0
Change In Accrued Expense,10589000.0,556000.0,,,
Change In Payable,91210000.0,80298000.0,-10700000.0,42736000.0,95028000.0
Change In Receivables,-117539000.0,-27791000.0,-5242000.0,-59824000.0,-54288000.0
Other Non Cash Items,383590000.0,367578000.0,314850000.0,292641000.0,276724000.0
Stock Based Compensation,1950000.0,1917000.0,2624000.0,1875000.0,5618000.0
Provisionand Write Offof Assets,3444000.0,-6010000.0,16167000.0,4500000.0,3694000.0
Deferred Tax,41975000.0,-22982000.0,44438000.0,34194000.0,-24067000.0
Depreciation And Amortization,504733000.0,477355000.0,426523000.0,408986000.0,382139000.0
Amortization Cash Flow,19950000.0,20960000.0,18037000.0,13100000.0,10430000.0
Depreciation,484783000.0,456395000.0,395386000.0,408986000.0,371709000.0
Gain Loss On Investment Securities,-100650000.0,-105271000.0,-81140000.0,-74676000.0,-67425000.0
Net Income From Continuing Operations,172178000.0,214430000.0,160889000.0,120947000.0,165066000.0
