,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-15845569.540755,-5633324.319734,192998.89325,-8790285.241583,-100781440.0,,
Tax Rate For Calcs,0.170178,0.095512,0.010638,0.169034,0.34,,
Normalized EBITDA,3456199000.0,3897305000.0,3805586000.0,3790923000.0,3368934000.0,,
Total Unusual Items,-93112000.0,-58980000.0,18142000.0,-52003000.0,-296416000.0,,
Total Unusual Items Excluding Goodwill,-93112000.0,-58980000.0,18142000.0,-52003000.0,-296416000.0,,
Net Income From Continuing Operation Net Minority Interest,817093000.0,1331270000.0,1207705000.0,975386000.0,797622000.0,,
Reconciled Depreciation,1738642000.0,1777141000.0,1778644000.0,1775986000.0,1745916000.0,,
Reconciled Cost Of Revenue,1737513000.0,1514552000.0,3025654000.0,3087121000.0,1541144000.0,,
EBITDA,3363087000.0,3838325000.0,3823728000.0,3738920000.0,3072518000.0,,
EBIT,1624445000.0,2061184000.0,2045084000.0,1962934000.0,1326602000.0,,
Net Interest Income,-548536000.0,-365648000.0,-462660000.0,-322714000.0,-361147000.0,,
Interest Expense,639785000.0,589334000.0,824393000.0,789136000.0,632930000.0,,
Interest Income,220598000.0,265250000.0,361733000.0,466422000.0,271044000.0,,
Normalized Income,894359430.459245,1384616675.680266,1189755998.89325,1018598714.758417,993256560.0,,
Net Income From Continuing And Discontinued Operation,817093000.0,1331270000.0,1207705000.0,975386000.0,797622000.0,,
Total Expenses,5232156000.0,4994467000.0,4954760000.0,5025695000.0,5015754000.0,,
Rent Expense Supplemental,177433000.0,198137000.0,,,179469000.0,136156000.0,
Total Operating Income As Reported,-2049614000.0,,1665209000.0,1548515000.0,1292138000.0,,1431185000.0
Diluted Average Shares,2389282000.0,,,2438465000.0,2420843000.0,,2515706250.0
Basic Average Shares,2388668000.0,,,2438465000.0,2420740000.0,,2515706250.0
Diluted EPS,0.34,,,,0.33,,0.32
Basic EPS,0.34,,,0.4,0.33,,0.32
Diluted NI Availto Com Stockholders,817093000.0,1331270000.0,1207705000.0,975386000.0,797622000.0,,
Net Income Common Stockholders,817093000.0,1331270000.0,1207705000.0,975386000.0,797622000.0,,
Net Income,817093000.0,1331270000.0,1207705000.0,975386000.0,797622000.0,,
Net Income Including Noncontrolling Interests,817093000.0,1331270000.0,1207705000.0,975386000.0,797622000.0,,
Net Income Continuous Operations,817093000.0,1331270000.0,1207705000.0,975386000.0,797622000.0,,
Tax Provision,167567000.0,140580000.0,12986000.0,198412000.0,-103950000.0,,
Pretax Income,984660000.0,1471850000.0,1220691000.0,1173798000.0,693672000.0,,
Other Income Expense,-40798000.0,-88195000.0,-72876000.0,-77726000.0,-323068000.0,,
Other Non Operating Income Expenses,80391000.0,581000.0,-65385000.0,,-5000.0,,
Special Income Charges,-111790000.0,-58308000.0,,,-97395000.0,-130251000.0,
Gain On Sale Of Ppe,2982000.0,55000.0,,,-1086000.0,-2787000.0,
Other Special Charges,114772000.0,58363000.0,,,96309000.0,127464000.0,
Earnings From Equity Interest,-28077000.0,-29796000.0,-25633000.0,-25723000.0,-26647000.0,,
Gain On Sale Of Security,18678000.0,-672000.0,18142000.0,-52003000.0,-199021000.0,,
Net Non Operating Interest Income Expense,-548536000.0,-365648000.0,-462660000.0,-322714000.0,-361147000.0,,
Total Other Finance Cost,129349000.0,41564000.0,,,-739000.0,105242000.0,
Interest Expense Non Operating,639785000.0,589334000.0,824393000.0,789136000.0,632930000.0,,
Interest Income Non Operating,220598000.0,265250000.0,361733000.0,466422000.0,271044000.0,,
Operating Income,1573994000.0,1925693000.0,1756227000.0,1574238000.0,1377887000.0,,
Operating Expense,1990138000.0,1924660000.0,1929106000.0,1938574000.0,1931752000.0,,
Other Operating Expenses,,,,17877000.0,,,72473000.0
Other Taxes,230575000.0,227637000.0,,,237408000.0,238391000.0,
Provision For Doubtful Accounts,225386000.0,200887000.0,,,182045000.0,181342000.0,
Depreciation Amortization Depletion Income Statement,234137000.0,221886000.0,,,203058000.0,200898000.0,
Depreciation And Amortization In Income Statement,234137000.0,221886000.0,,,203058000.0,200898000.0,
Selling General And Administration,1300040000.0,1274250000.0,1929106000.0,1920697000.0,1309241000.0,,
Selling And Marketing Expense,676523000.0,642160000.0,1504564000.0,1489970000.0,703062000.0,,
General And Administrative Expense,623517000.0,632090000.0,424542000.0,430727000.0,606179000.0,,
Other Gand A,207200000.0,217871000.0,424542000.0,430727000.0,210235000.0,,
Rent And Landing Fees,50561000.0,59696000.0,,,48680000.0,54271000.0,
Salaries And Wages,365756000.0,354523000.0,,,347264000.0,383998000.0,
Gross Profit,3564132000.0,3850353000.0,3685333000.0,3512812000.0,3309639000.0,,
Cost Of Revenue,3242018000.0,3069807000.0,3025654000.0,3087121000.0,3084002000.0,,
Total Revenue,6806150000.0,6920160000.0,6710987000.0,6599933000.0,6393641000.0,,
Excise Taxes,1035491000.0,1049405000.0,,,1007386000.0,1019871000.0,
Operating Revenue,10711472000.0,10694147000.0,6710987000.0,6599933000.0,9467889000.0,,
