,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-300560000.0,1296000.0,77900000.0,41648000.0,23483.365949,,
Tax Rate For Calcs,0.34,,0.38,0.304,0.001957,0.275,
Normalized EBITDA,2382000000.0,1575000000.0,1188000000.0,1626000000.0,1016000000.0,,
Total Unusual Items,-884000000.0,4000000.0,205000000.0,137000000.0,12000000.0,,
Total Unusual Items Excluding Goodwill,-884000000.0,4000000.0,205000000.0,137000000.0,12000000.0,,
Net Income From Continuing Operation Net Minority Interest,679000000.0,,292000000.0,601000000.0,510000000.0,4201000000.0,
Reconciled Depreciation,294000000.0,,263000000.0,242000000.0,136000000.0,140000000.0,
Reconciled Cost Of Revenue,47692000000.0,,43719000000.0,42566000000.0,42332000000.0,44114000000.0,
EBITDA,1498000000.0,,1393000000.0,1763000000.0,1028000000.0,6286000000.0,
EBIT,1204000000.0,,1130000000.0,1521000000.0,892000000.0,6146000000.0,
Net Interest Income,-649000000.0,-663000000.0,-594000000.0,-611000000.0,-262000000.0,,
Interest Expense,688000000.0,,659000000.0,658000000.0,381000000.0,351000000.0,
Interest Income,16000000.0,,20000000.0,19000000.0,21000000.0,29000000.0,
Normalized Income,1262440000.0,404296000.0,164900000.0,505648000.0,498023483.365949,,
Net Income From Continuing And Discontinued Operation,679000000.0,,292000000.0,601000000.0,510000000.0,4201000000.0,
Total Expenses,47632000000.0,,44765000000.0,43445000000.0,38362000000.0,45310000000.0,
Rent Expense Supplemental,129000000.0,,109000000.0,100000000.0,124000000.0,98000000.0,
Diluted Average Shares,1192537107.0,1184294097.0,1163115979.0,1198026447.0,,1200432446.0,
Basic Average Shares,1192537107.0,1178212587.0,1157519936.0,1193755509.0,,1194441755.0,
Diluted EPS,0.569374,0.343665,0.25105,0.513303,,3.499572,
Basic EPS,0.569374,0.345439,0.252263,0.51517,,3.517124,
Diluted NI Availto Com Stockholders,679000000.0,,292000000.0,601000000.0,510000000.0,4201000000.0,
Net Income Common Stockholders,679000000.0,,292000000.0,601000000.0,510000000.0,4201000000.0,
Otherunder Preferred Stock Dividend,0.0,,0.0,0.0,0.0,0.0,
Net Income,679000000.0,,292000000.0,601000000.0,510000000.0,4201000000.0,
Net Income Including Noncontrolling Interests,679000000.0,,292000000.0,601000000.0,510000000.0,4201000000.0,
Net Income Continuous Operations,679000000.0,,292000000.0,601000000.0,510000000.0,4201000000.0,
Tax Provision,-163000000.0,,179000000.0,262000000.0,1000000.0,1594000000.0,
Pretax Income,516000000.0,,471000000.0,863000000.0,511000000.0,5795000000.0,
Other Non Operating Income Expenses,-692000000.0,,98000000.0,115000000.0,-5069000000.0,4554000000.0,
Special Income Charges,-1015000000.0,,89000000.0,-36000000.0,-141000000.0,0.0,
Other Special Charges,401000000.0,,12000000.0,21000000.0,-87000000.0,-8000000.0,
Write Off,614000000.0,,56000000.0,15000000.0,714000000.0,8000000.0,
Restructuring And Mergern Acquisition,0.0,,-157000000.0,,,,0.0
Net Non Operating Interest Income Expense,-649000000.0,-663000000.0,-594000000.0,-611000000.0,-262000000.0,,
Total Other Finance Cost,-23000000.0,-21000000.0,-45000000.0,-28000000.0,-98000000.0,,
Interest Expense Non Operating,688000000.0,,659000000.0,658000000.0,381000000.0,351000000.0,
Interest Income Non Operating,16000000.0,,20000000.0,19000000.0,21000000.0,29000000.0,
Operating Income,2686000000.0,,844000000.0,1461000000.0,5931000000.0,961000000.0,
Operating Expense,-60000000.0,,1046000000.0,879000000.0,-3970000000.0,1196000000.0,
Other Operating Expenses,-1381000000.0,,-109000000.0,-253000000.0,-5016000000.0,199000000.0,
Depreciation And Amortization In Income Statement,185000000.0,,155000000.0,141000000.0,133000000.0,137000000.0,
Depreciation Income Statement,185000000.0,,155000000.0,141000000.0,133000000.0,137000000.0,
Selling General And Administration,624000000.0,,521000000.0,579000000.0,533000000.0,507000000.0,
Selling And Marketing Expense,559000000.0,,495000000.0,501000000.0,494000000.0,472000000.0,
General And Administrative Expense,65000000.0,,26000000.0,78000000.0,39000000.0,35000000.0,
Rent And Landing Fees,129000000.0,,109000000.0,100000000.0,124000000.0,98000000.0,
Gross Profit,2626000000.0,,1890000000.0,2340000000.0,1961000000.0,2157000000.0,
Cost Of Revenue,47692000000.0,,43719000000.0,42566000000.0,42332000000.0,44114000000.0,
Total Revenue,50318000000.0,,45609000000.0,44906000000.0,44293000000.0,46271000000.0,
Operating Revenue,50318000000.0,,45609000000.0,44906000000.0,44293000000.0,46271000000.0,
